Hospital,Sim City,Patients,Total Billed,Billed per Patient,Billed per Encounter,Encounters per Patient,Rank by Total,Rank by Cost per Patient
"CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS (SAN FRANCISCO, CA)",SAN FRANCISCO,5786,370232650,63988,4134,15.5,66,87
"KINDRED THC NORTH SHORE LLC (CHICAGO, IL)",CHICAGO,6646,424107186,63814,3458,18.5,54,88
"SOUTH SHORE HOSPITAL CORPORATION (CHICAGO, IL)",CHICAGO,7037,447813796,63637,3467,18.4,46,89
"ALEXIAN BROTHERS MEDICAL CENTER (ELK GROVE VILLAGE, IL)",CHICAGO,4216,267932670,63551,3460,18.4,95,90
"MADISON COMMUNITY HOSPITAL INC. (DETROIT, MI)",DETROIT,6479,411174667,63463,3207,19.8,58,91
"LARABIDA CHILDRENS HOSPITAL (CHICAGO, IL)",CHICAGO,4797,304226971,63420,3385,18.7,83,92
"VHS SINAI GRACE HOSPITAL INC (DETROIT, MI)",DETROIT,11025,698585312,63364,3151,20.1,24,93
"MOUNT AUBURN HOSPITAL (CAMBRIDGE, MA)",BOSTON,2053,129911071,63279,3280,19.3,182,94
"GARFIELD PARK HOSPITAL LLC (CHICAGO, IL)",CHICAGO,6824,431404241,63219,3492,18.1,50,95
"BETH ISRAEL DEACONESS HOSPITAL MILTON INC (MILTON, MA)",BOSTON,3796,239739423,63156,3571,17.7,108,96
"HOLY CROSS HOSPITAL (CHICAGO, IL)",CHICAGO,13101,826099118,63056,3289,19.2,16,97
"THE CHILDRENS HOME OF PITTSBURGH (PITTSBURGH, PA)",PITTSBURGH,1671,105349484,63046,2986,21.1,210,98
"UPMC PRESBYTERIAN SHADYSIDE (WILKINSBURG, PA)",PITTSBURGH,1894,118952885,62805,3237,19.4,195,99
"McCafferty Vet Center Outstation (Cleveland, OH)",CLEVELAND,3912,245581343,62776,2083,30.1,104,100
"GOTTLIEB COMMUNITY HEALTH SERVICES CORPORATION (BERWYN, IL)",CHICAGO,4715,295979563,62774,3357,18.7,86,101
"METHODIST HOSPITAL OF CHICAGO (CHICAGO, IL)",CHICAGO,3699,232114570,62751,3330,18.8,110,102
"JOHN H STROGER JR HOSPITAL (ROBBINS, IL)",CHICAGO,2659,166701810,62693,3249,19.3,158,103
"COMMUNITY FIRST MEDICAL CENTER (CHICAGO, IL)",CHICAGO,10257,642861929,62675,3483,18.0,27,104
"PIPELINE - WEISS MEMORIAL HOSPITAL  LLC (CHICAGO, IL)",CHICAGO,3060,191582955,62609,3197,19.6,136,105
"COOK COUNTY (CHICAGO, IL)",CHICAGO,6249,389973538,62406,3291,19.0,60,106
"NORTHSHORE UNIVERSITY HEALTHSYSTEM (EVANSTON, IL)",CHICAGO,2119,132103492,62342,3403,18.3,179,107
"NORTHWESTERN MEMORIAL HOSPITAL (CHICAGO, IL)",CHICAGO,13353,832296679,62330,3421,18.2,14,108
"RUSH UNIVERSITY MEDICAL CENTER (CHICAGO, IL)",CHICAGO,5847,364164910,62282,3239,19.2,69,109
"HUMBOLDT PARK HEALTH (CHICAGO, IL)",CHICAGO,5190,322906295,62217,3259,19.1,80,110
"VANDERBILT UNIVERSITY MEDICAL CENTER (NASHVILLE, TN)",NASHVILLE,1961,121783573,62103,2968,20.9,190,111
"ILLINOIS DEPARTMENT OF HUMAN SERVICES (CHICAGO, IL)",CHICAGO,5439,337622213,62074,3385,18.3,77,112
"SWEDISH HOSPITAL (NILES, IL)",CHICAGO,4662,288631780,61912,3420,18.1,90,113
"SAINT ANTHONY HOSPITAL (CHICAGO, IL)",CHICAGO,9826,608300576,61907,3421,18.1,30,114
"FRANCISCAN HOSPITAL FOR CHILDREN INC (BOSTON, MA)",BOSTON,4171,257757348,61797,3364,18.4,100,115
"HENRY FORD HEALTH SYSTEM (FERNDALE, MI)",DETROIT,3723,229990284,61776,3054,20.2,112,116
"DIGNITY HEALTH (SAN FRANCISCO, CA)",SAN FRANCISCO,3838,236990995,61749,4377,14.1,109,117
"INSIGHT SURGICAL HOSPITAL (WARREN, MI)",DETROIT,2950,181541334,61539,3196,19.3,144,118
"STRAITH HOSPITAL FOR SPECIAL SURGERY (SOUTHFIELD, MI)",DETROIT,2129,130837611,61455,2858,21.5,180,119
"TUFTS MEDICAL CENTER  INC (BOSTON, MA)",BOSTON,6084,373490794,61389,3278,18.7,65,120
"BOSTON MEDICAL CENTER CORPORATION- (WINTHROP, MA)",BOSTON,7726,472588706,61169,3550,17.2,44,121
"LEMUEL SHATTUCK HOSPITAL (JAMAICA PLAIN, MA)",BOSTON,6052,369652400,61079,3228,18.9,67,122
"Austin Outpatient Clinic (Austin, TX)",AUSTIN,1808,110383089,61053,2771,22.0,201,123
"SPAULDING HOSPITAL FOR CONTINUING MED CARE-CAMB (CAMBRIDGE, MA)",BOSTON,3210,195542614,60917,3365,18.1,130,124
"TEXAS NEURO REHABILITATION CENTER (AUSTIN, TX)",AUSTIN,1593,96976377,60877,3562,17.1,225,125
"UNIVERSITY OF UTAH (SALT LAKE CITY, UT)",SALT LAKE CITY,5155,310318820,60198,3623,16.6,82,126
"SHRINERS HOSPITALS FOR CHILDREN (CHICAGO, IL)",CHICAGO,3286,197480717,60098,3425,17.5,129,127
"ST DAVID'S MEDICAL CENTER (WEST LAKE HILLS, TX)",AUSTIN,3001,180192651,60044,3943,15.2,149,128
"DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER (BOSTON, MA)",BOSTON,10055,602516927,59922,3284,18.2,31,129
"SCHWAB REHABILITATION HOSPITAL (CHICAGO, IL)",CHICAGO,2528,151413360,59895,3180,18.8,168,130
"ST MARK'S HOSPITAL (WEST VALLEY, UT)",SALT LAKE CITY,1751,104706010,59798,4116,14.5,213,131
"CAMBRIDGE PUBLIC HEALTH COMMISSION (SOMERVILLE, MA)",BOSTON,3470,207279815,59735,3356,17.8,128,132
"SALT LAKE BEHAVIORAL HEALTH (SALT LAKE CITY, UT)",SALT LAKE CITY,1726,103089244,59727,3758,15.9,215,133
"ASCENSION PROVIDENCE HOSPITAL (SOUTHFIELD, MI)",DETROIT,1332,79475317,59666,3021,19.8,244,134
"THE SHRINERS HOSPITAL FOR CHILDREN (BOSTON, MA)",BOSTON,7463,442073619,59235,3443,17.2,48,135
"CUMBERLAND BEHAVIORAL HEALTH  LLC (NASHVILLE, TN)",NASHVILLE,6365,376851363,59207,3313,17.9,63,136
"WEST PENN ALLEGHENY HEALTH SYSTEM  INC. (PITTSBURGH, PA)",PITTSBURGH,1653,97563071,59022,3249,18.2,223,137
"STATE OF TENNESSEE (NASHVILLE, TN)",NASHVILLE,2019,119141161,59010,3157,18.7,193,138
"ENCOMPASS HEALTH REHABILITATION HOSPITAL OF FRANKL (FRANKLIN, TN)",NASHVILLE,1524,89716668,58869,3125,18.8,232,139
"SAINT THOMAS WEST HOSPITAL (NASHVILLE, TN)",NASHVILLE,9228,540162742,58535,3252,18.0,36,140
"SALT LAKE REGIONAL MEDICAL CENTER LP (SALT LAKE CITY, UT)",SALT LAKE CITY,3091,180777268,58485,3525,16.6,148,141
"HCA HEALTH SERVICES OF TENNESSEE  INC (HERMITAGE, TN)",NASHVILLE,2363,137741992,58291,3036,19.2,176,142
"VANDERBILT STALLWORTH REHABILITATION HOSPITAL LP (NASHVILLE, TN)",NASHVILLE,4457,258772044,58060,3290,17.6,99,143
"UPMC ST MARGARET (PITTSBURGH, PA)",PITTSBURGH,2684,155814376,58053,2898,20.0,164,144
"UPMC MERCY (PITTSBURGH, PA)",PITTSBURGH,3125,181127227,57961,3067,18.9,146,145
"ASCENSION SETON MEDICAL CENTER AUSTIN (AUSTIN, TX)",AUSTIN,2416,139931759,57919,3707,15.6,173,146
"MARIN GENERAL HOSPITAL (LARKSPUR, CA)",SAN FRANCISCO,1672,96716315,57845,4730,12.2,226,147
"MOUNT SINAI MEDICAL CENTER OF FLORIDA  INC (MIAMI BEACH, FL)",MIAMI,3733,215155904,57636,3936,14.6,125,148
"JORDAN VALLEY MEDICAL CENTER LP (WEST VALLEY CITY, UT)",SALT LAKE CITY,3247,186281504,57370,3684,15.6,141,149
"HARPER UNIVERSITY HOSPITAL (DETROIT, MI)",DETROIT,8957,513649399,57346,2978,19.3,38,150
"Austin Vet Center (Austin, TX)",AUSTIN,1838,104868285,57056,2375,24.0,212,151
"INTERNAL MEDICINE ASSOCIATES PLC (ORLANDO, FL)",MIAMI,2875,163826897,56983,6513,8.7,160,152
"HTI MEMORIAL HOSPITAL CORPORATION (MADISON, TN)",NASHVILLE,3931,222795592,56677,3221,17.6,119,153
"INTERNAL MEDICINE ASSOCIATES PLC (ORLANDO, FL)",TAMPA,2271,128523417,56593,7482,7.6,183,154
"TRISTAR STONECREST MEDICAL CENTER (SMYRNA, TN)",NASHVILLE,3416,193264619,56576,3073,18.4,135,155
"CITY & COUNTY OF SAN FRANCISCO (SAN FRANCISCO, CA)",SAN FRANCISCO,13954,784601419,56228,4386,12.8,19,156
"McCafferty Community Based Outpatient Clinic (Cleveland, OH)",CLEVELAND,3880,217697226,56108,1925,29.1,123,157
"LAGUNA HONDA HOSPITAL & REHABILITATION CENTER (SAN FRANCISCO, CA)",SAN FRANCISCO,7669,428633177,55892,4375,12.8,52,158
"CURAHEALTH NASHVILLE  LLC (NASHVILLE, TN)",NASHVILLE,4352,242598686,55744,3106,18.0,105,159
"CLEVELAND EAST VASCULAR CARE  LLC (BEACHWOOD, OH)",CLEVELAND,7807,435099921,55732,2676,20.8,49,160
"CLEVELAND CLINIC HEALTH SYSTEM - EAST REGION (MAYFIELD HTS, OH)",CLEVELAND,1804,100126277,55502,2793,19.9,221,161
"PRESENCE CHICAGO HOSPITALS NETWORK (CHICAGO, IL)",CHICAGO,14261,790727310,55447,3317,16.7,18,162
"CLEVELAND CLINIC HEALTH SYSTEM - EAST REGION (EUCLID, OH)",CLEVELAND,38107,2105342373,55248,2646,20.9,4,163
"SOUTHWEST GENERAL HEALTH CENTER (STRONGSVILLE, OH)",CLEVELAND,1079,59558848,55198,2650,20.8,268,164
"SELECT SPECIALTY HOSPITAL - CLEVELAND  LLC (CLEVELAND, OH)",CLEVELAND,24278,1336778280,55061,2602,21.2,7,165
"SOUTHWEST GENERAL HEALTH CENTER (MIDDLEBURG HEIGHTS, OH)",CLEVELAND,27746,1521326043,54830,2630,20.9,6,166
"ST VINCENT CHARITY MEDICAL CENTER (CLEVELAND, OH)",CLEVELAND,43254,2368623268,54761,2661,20.6,1,167
"PARMA COMMUNITY GENERAL HOSPITAL (SEVEN HILLS, OH)",CLEVELAND,13967,763671012,54677,2578,21.2,20,168
"HOLLYWOOD CROSS MEDICAL CLINIC (LOS ANGELES, CA)",SAN FRANCISCO,5303,289822732,54653,6933,7.9,88,169
"GRACE HOSPITAL (PARMA, OH)",CLEVELAND,20253,1106445511,54631,2658,20.6,8,170
"MARIN GENERAL HOSPITAL (GREENBRAE, CA)",SAN FRANCISCO,1690,91978046,54425,4331,12.6,228,171
"LUTHERAN HOSPITAL (CLEVELAND, OH)",CLEVELAND,36789,1990451710,54105,2601,20.8,5,172
"NEW MANNA CLG LLC (BEACHWOOD, OH)",CLEVELAND,5291,285819358,54020,2563,21.1,91,173
"SELECT SPECIALTY HOSPITAL-MIAMI (MIAMI, FL)",MIAMI,6438,347586579,53990,3915,13.8,75,174
"CLEVELAND CLINIC HEALTH SYSTEM - EAST REGION (WARRENSVILLE HEIGHTS, OH)",CLEVELAND,9848,528342290,53650,2582,20.8,37,175
"UNIVERSITY HOSPITALS CLEVELAND MEDICAL CENTER (CLEVELAND, OH)",CLEVELAND,42505,2261695547,53210,2570,20.7,2,176
"PARMA COMMUNITY GENERAL HOSPITAL ASSOCIATION (PARMA, OH)",CLEVELAND,7097,375211694,52869,2595,20.4,64,177
"WEST KENDALL BAPTIST HOSPITAL (MIAMI, FL)",MIAMI,6450,337689787,52355,3859,13.6,76,178
"MARYMOUNT HOSPITAL INC (GARFIELD HEIGHTS, OH)",CLEVELAND,19765,1034080226,52319,2495,21.0,9,179
"STATE OF OHIO OFFICE OF BUDGET AND MANAGEMENT STATE ACCOUNTING (NORTHFIELD, OH)",CLEVELAND,2362,123528355,52298,2630,19.9,187,180
"SELECT SPECIALTY HOSPITAL-NASHVILLE (NASHVILLE, TN)",NASHVILLE,3263,170585240,52279,2859,18.3,154,181
"BEACHWOOD RH LLC (BEACHWOOD, OH)",CLEVELAND,2051,106895749,52119,2530,20.6,209,182
"TRISTAR SUMMIT MEDICAL CENTER (MT JULIET, TN)",NASHVILLE,2597,134622246,51838,2858,18.1,177,183
"WINDMOOR HEALTHCARE OF CLEARWATER (TAMPA, FL)",TAMPA,1172,59621151,50871,4723,10.8,266,184
"INSIGHT CHICAGO INC (CHICAGO, IL)",CHICAGO,12100,610222435,50432,3421,14.7,29,185
"WEST FLORIDA MHT LLC (TAMPA, FL)",TAMPA,1319,65801957,49888,4246,11.7,258,186
"ST DAVIDS HEALTHCARE PARTNERSHIP LP LLP (ROUND ROCK, TX)",AUSTIN,1581,78247290,49492,4186,11.8,245,187
"HENRY FORD WYANDOTTE HOSPITAL (WYANDOTTE, MI)",DETROIT,2324,114988803,49479,3259,15.2,199,188
"ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR (SAN FRANCISCO, CA)",SAN FRANCISCO,7310,358169053,48997,4157,11.8,71,189
"PFLUGERVILLE EMERGENCY CENTER  LLC (PFLUGERVILLE, TX)",AUSTIN,1329,65006555,48914,3980,12.3,259,190
"THE METROHEALTH SYSTEM (CLEVELAND, OH)",CLEVELAND,44251,2146483607,48507,2572,18.9,3,191
"COLLIN COUNTY ADULT CLINIC (PLANO, TX)",AUSTIN,4736,228988036,48351,6339,7.6,113,192
"KAISER FOUNDATION HOSPITAL - SAN FRANCISCO (SAN FRANCISCO, CA)",SAN FRANCISCO,1862,88547238,47555,4276,11.1,236,193
"ASCENSION ST JOHN HOSPITAL (DETROIT, MI)",DETROIT,3341,155982863,46687,3060,15.3,163,194
"MERCER MANOR REHABILITATION LLC (ALEDO, IL)",CHICAGO,17362,804564661,46341,5899,7.9,17,195
"GOTTLIEB MEMORIAL HOSPITAL (MELROSE PARK, IL)",CHICAGO,3909,179698969,45971,3716,12.4,150,196
"MOUNT SINAI MEDICAL CENTER (MIAMI BEACH, FL)",MIAMI,2734,122526168,44816,3729,12.0,188,197
"MOUNT SINAI HOSPITAL MEDICAL CENTER (CHICAGO, IL)",CHICAGO,6230,275333712,44195,3316,13.3,92,198
"JOHNS HOPKINS ALL CHILDREN'S HOSPITAL  INC (TAMPA, FL)",TAMPA,1139,49708566,43642,4459,9.8,286,199
"METRO NASHVILLE GENERAL HOSPITAL (NASHVILLE, TN)",NASHVILLE,2368,102557126,43310,3220,13.4,216,200
"HCA HEALTH SERVICES OF TENNESSEE  INC (NASHVILLE, TN)",NASHVILLE,6982,300980593,43108,3239,13.3,84,201
"HCA FLORIDA SOUTH TAMPA HOSPITAL (TAMPA, FL)",TAMPA,1760,75319150,42795,3855,11.1,248,202
"ST CLAIR MEMORIAL HOSPITAL (PITTSBURGH, PA)",PITTSBURGH,2431,103604295,42618,3414,12.5,214,203
"FARMBROOK INTERNAL MEDICINE INC (BINGHAM FARMS, MI)",DETROIT,4211,179407989,42605,5401,7.9,151,204
"ST MARY'S MEDICAL CENTER (SAN FRANCISCO, CA)",SAN FRANCISCO,5319,226195994,42526,4188,10.2,116,205
"VALLEY MEDICAL FACILITIES INC (MC KEES ROCKS, PA)",PITTSBURGH,2959,125823676,42522,3386,12.6,186,206
"MT SINAI HOSPITAL MEDICAL CENTER (CHICAGO, IL)",CHICAGO,6246,265295289,42474,3229,13.2,97,207
"SELECT SPECIALTY HOSPITAL - MACOMB COUNTY INC (DETROIT, MI)",DETROIT,2091,88568035,42357,3485,12.2,235,208
"ADVOCATE HEALTH AND HOSPITALS CORPORATION (PARK RIDGE, IL)",CHICAGO,5103,215974168,42323,3317,12.8,124,209
"HEBREW REHABILITATION CENTER (ROSLINDALE, MA)",BOSTON,2346,99080649,42234,3346,12.6,222,210
"CARNEY HOSPITAL (QUINCY, MA)",BOSTON,1416,59128117,41757,3690,11.3,269,211
"MOUNTAIN VIEW REGIONAL HOME HEALTH (YORK, PA)",PITTSBURGH,2148,89305385,41576,5532,7.5,234,212
"SAINT FRANCIS HOSPITAL-BARTLETT  INC. (MILLINGTON, TN)",NASHVILLE,3823,158595340,41485,5343,7.8,161,213
"UPMC PRESBYTERIAN SHADYSIDE (PITTSBURGH, PA)",PITTSBURGH,3750,153956590,41055,3166,13.0,167,214
"BRIGHAM AND WOMEN'S FAULKNER HOSPITAL  INC. (BOSTON, MA)",BOSTON,1906,78032086,40940,3514,11.6,246,215
"ST CLAIR HOSPITAL (PITTSBURGH, PA)",PITTSBURGH,2485,101550197,40865,3153,13.0,218,216
