Condition,Total billed,People affected,Cost per person
Sprain (morphologic abnormality),28910321,85452,338
Neoplasm of prostate,27681488,2867,9655
Non-small cell lung cancer (disorder),26749896,2340,11432
Misuses drugs (finding),25972158,18264,1422
Sinusitis (disorder),22130305,35702,620
Sleep disorder (disorder),22082501,7676,2877
Primary malignant neoplasm of colon,21652998,2147,10085
Acute allergic reaction,21341896,8089,2638
Torus palatinus (disorder),20832131,9560,2179
Fracture of mandible (disorder),20682828,2210,9359
Acute infective cystitis (disorder),19153973,63850,300
Diabetes mellitus type 2 (disorder),18852314,10947,1722
Acute bacterial sinusitis (disorder),18827800,35307,533
Prediabetes (finding),18460497,13859,1332
Familial Alzheimer's disease of early onset (disorder),18098657,3284,5511
Drug overdose,16337161,74549,219
Asthma,15536331,40633,382
Blighted ovum,15143408,10165,1490
Injury of tendon of the rotator cuff of shoulder,14896255,8596,1733
Traumatic dislocation of temporomandibular joint (disorder),14184060,2248,6310
Acute Cholecystitis,14009934,1252,11190
Resorption of alveolar process due to dental trauma (disorder),13288872,6532,2034
Childhood asthma,12609303,21822,578
Pyelonephritis,12037111,1768,6808
Hypertriglyceridemia (disorder),12020683,8397,1432
Preinfarction syndrome (disorder),11841306,609,19444
Burn injury (morphologic abnormality),11296078,23049,490
Hyperglycemia (disorder),11291331,5969,1892
Neuropathy due to type 2 diabetes mellitus (disorder),11144686,3989,2794
Injury of knee (disorder),10815323,13210,819
Injury of neck (disorder),9148052,27424,334
Bleeding from anus,8354290,752,11109
Pneumonia (disorder),7455752,2028,3676
Cystic Fibrosis,6927062,91,76122
Cerebral palsy (disorder),6874878,1749,3931
Fetus with chromosomal abnormality,6173015,4197,1471
Concussion injury of brain (disorder),5904521,45319,130
Small cell carcinoma of lung (disorder),5039500,424,11886
Retinopathy due to type 2 diabetes mellitus (disorder),4803188,3131,1534
Recurrent urinary tract infection (disorder),4319555,1766,2446
Chronic intractable migraine without aura,3669109,6944,528
Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder),3014196,1932,1560
Congenital uterine anomaly,2569367,1774,1448
Concussion with no loss of consciousness,2489932,34102,73
Kidney transplant failure and rejection (disorder),2435429,1558,1563
Osteoarthritis of knee,2150161,9285,232
Opioid abuse (disorder),1911971,948,2017
Complication occuring during pregnancy,1608983,1079,1491
Gout,1566703,2885,543
Tongue tie (disorder),1529864,763,2005
Fracture of forearm,1508496,20720,73
Atopic dermatitis,1351579,5219,259
Fracture of clavicle,1286089,17837,72
Acquired immune deficiency syndrome (disorder),1206890,59,20456
Fracture of ankle,1175573,16125,73
Fracture subluxation of wrist,1149409,15769,73
Primary fibromyalgia syndrome,1126346,3456,326
Macular edema and retinopathy due to type 2 diabetes mellitus (disorder),1059720,673,1575
Gunshot wound (disorder),1040724,1834,567
Non-small cell carcinoma of lung  TNM stage 2 (disorder),1004610,1,1004610
Epidermal burn of skin (disorder),959494,13306,72
Infectious mediastinitis (disorder),958964,1053,911
Body mass index 40+ - severely obese (finding),923325,631,1463
Localized  primary osteoarthritis of the hand,890888,3850,231
Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder),832338,539,1544
Osteoarthritis of hip,787098,3403,231
Perennial allergic rhinitis with seasonal variation,764414,4270,179
Torus mandibularis (disorder),759904,383,1984
Perennial allergic rhinitis,718899,4096,176
Posttraumatic stress disorder,693574,356,1948
Concussion with loss of consciousness,653037,9027,72
Second degree burn,646754,8789,74
Smokes tobacco daily,646753,444,1457
Mitral valve regurgitation (disorder),594418,1035,574
Fracture of rib,576170,7964,72
Postoperative renal failure (disorder),561153,7,80165
Alcoholism,476379,364,1309
Acute myeloid leukemia  disease (disorder),439525,181,2428
Closed fracture of hip,428175,5832,73
Contact dermatitis,410648,2205,186
Postoperative myocardial infarction (disorder),384629,6,64105
Seasonal allergic rhinitis,384364,2037,189
Anticoagulant-induced bleeding (disorder),360070,13,27698
Major depression disorder,296512,255,1163
Acute renal failure on dialysis (disorder),276403,3,92134
Rheumatoid arthritis,200663,708,283
Major depression  single episode,200123,286,700
Meningomyelocele (disorder),187511,121,1550
Traumatic injury of spinal cord and/or vertebral column (disorder),164018,868,189
Bullet wound,162540,1834,89
Excessive salivation (disorder),136422,140,974
Tricuspid valve regurgitation (disorder),121101,165,734
Acute respiratory insufficiency (disorder),110501,3,36834
Leukemia  disease (disorder),100706,812,124
Suicidal deliberate poisoning,82304,31,2655
Fracture of vertebral column without spinal cord injury,69530,672,103
Third degree burn,66330,925,72
Multiple myeloma (disorder),51885,419,124
Blindness due to type 2 diabetes mellitus (disorder),44326,20,2216
Renal dysplasia (disorder),41182,83,496
Lupus erythematosus,38016,115,331
Acute respiratory failure (disorder),31461,17,1851
Attempted suicide - cut/stab,30512,11,2774
Attempted suicide - suffocation,26719,11,2429
Pulmonic valve regurgitation (disorder),26457,55,481
Fracture of the vertebral column with spinal cord injury,25017,220,114
Traumatic brain injury (disorder),22606,18,1256
Cardiac arrest (disorder),11737,92,128
Sepsis caused by Pseudomonas (disorder),8776,7,1254
Proteinuria due to type 2 diabetes mellitus (disorder),3633,4,908
Spina bifida occulta (disorder),2716,23,118
Sepsis caused by Staphylococcus aureus,1111,1,1111
Meningocele (disorder),1039,9,115
Mitral valve stenosis (disorder),695,1,695
Idiopathic atrophic hypothyroidism,537,1825,0
At risk for suicide (finding),504,3,168
Postoperative complication,157,1,157
