Condition,What was billed,Kind of item,Times billed,Total billed,% of this condition's cost,Average price each time
Normal pregnancy,Abuse-Deterrent 12 HR Oxycodone Hydrochloride 10 MG Extended Release Oral Tablet [Oxycontin],Medication or vaccine,18,4417,0.00,245.39
Normal pregnancy,tramadol hydrochloride 50 MG Oral Tablet,Medication or vaccine,14,3551,0.00,253.67
Normal pregnancy,120 ACTUAT fluticasone propionate 0.044 MG/ACTUAT Metered Dose Inhaler [Flovent],Medication or vaccine,12,2795,0.00,232.95
Normal pregnancy,NDA020983 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Ventolin],Medication or vaccine,7,1918,0.00,274.00
Normal pregnancy,budesonide 0.25 MG/ML Inhalation Suspension,Medication or vaccine,7,1841,0.00,263.02
Normal pregnancy,120 ACTUAT fluticasone propionate 0.11 MG/ACTUAT Metered Dose Inhaler [Flovent],Medication or vaccine,4,1307,0.00,326.67
Normal pregnancy,Acetaminophen 300 MG / Codeine Phosphate 15 MG Oral Tablet,Medication or vaccine,5,1265,0.00,252.96
Normal pregnancy,Acetaminophen 300 MG / Hydrocodone Bitartrate 5 MG Oral Tablet,Medication or vaccine,26,1004,0.00,38.63
Normal pregnancy,budesonide 0.125 MG/ML Inhalation Suspension [Pulmicort],Medication or vaccine,4,983,0.00,245.77
Normal pregnancy,albuterol 0.21 MG/ML Inhalation Solution,Medication or vaccine,3,701,0.00,233.51
Normal pregnancy,budesonide 0.125 MG/ML Inhalation Suspension,Medication or vaccine,2,674,0.00,337.08
Normal pregnancy,albuterol 5 MG/ML Inhalation Solution,Medication or vaccine,8,638,0.00,79.80
Normal pregnancy,buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet,Medication or vaccine,2,485,0.00,242.28
Normal pregnancy,NDA021457 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [ProAir],Medication or vaccine,1,366,0.00,365.89
Normal pregnancy,losartan potassium 50 MG Oral Tablet,Medication or vaccine,1,283,0.00,282.54
Normal pregnancy,carvedilol 25 MG Oral Tablet,Medication or vaccine,1,283,0.00,282.54
Normal pregnancy,lisinopril 20 MG Oral Tablet,Medication or vaccine,1,283,0.00,282.54
Normal pregnancy,sacubitril 97 MG / valsartan 103 MG Oral Tablet,Medication or vaccine,1,283,0.00,282.54
Normal pregnancy,NDA020503 200 ACTUAT albuterol 0.09 MG/ACTUAT Metered Dose Inhaler [Proventil],Medication or vaccine,1,220,0.00,220.16
Normal pregnancy,bictegravir 50 MG / emtricitabine 200 MG / tenofovir alafenamide 25 MG Oral Tablet,Medication or vaccine,1,209,0.00,208.99
Normal pregnancy,Breath-Actuated 120 ACTUAT beclomethasone dipropionate 0.04 MG/ACTUAT Metered Dose Inhaler [Qvar],Medication or vaccine,1,209,0.00,208.99
Normal pregnancy,amLODIPine 2.5 MG Oral Tablet,Medication or vaccine,74,150,0.00,2.02
Normal pregnancy,lisinopril 10 MG Oral Tablet,Medication or vaccine,67,119,0.00,1.78
Normal pregnancy,Hydrochlorothiazide 25 MG Oral Tablet,Medication or vaccine,84,92,0.00,1.09
Normal pregnancy,24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet,Medication or vaccine,8,87,0.00,10.87
Normal pregnancy,losartan potassium 25 MG Oral Tablet,Medication or vaccine,6,32,0.00,5.33
Normal pregnancy,Furosemide 40 MG Oral Tablet,Medication or vaccine,1,3,0.00,2.65
