Rank by total spend,Condition code,Condition,Total billed,% of all spending,Number of claims,% of all claims,Spend share minus claim share,People affected,Claims per person,Cost per claim,Cost per person,How many more people than a typical condition,How many more visits each than typical,How much dearer per claim than typical,What drives its cost,Size of that driver,% of the bill patients pay
37,87433001,Pulmonary emphysema (disorder),136317695,0.188,11192,0.033,0.15,5904,1.90,12179.92,23089.04,1.42,0.90,16.65,Price - expensive per claim,16.7,9.3
38,401314000,Acute non-ST segment elevation myocardial infarction (disorder),130676973,0.180,49947,0.148,0.03,6922,7.22,2616.31,18878.50,1.66,3.41,3.58,Price - expensive per claim,3.6,9.3
39,64859006,Osteoporosis (disorder),126370796,0.174,55210,0.164,0.01,12486,4.42,2288.91,10121.00,3.00,2.09,3.13,Price - expensive per claim,3.1,15.2
40,840544004,Suspected COVID-19,123197609,0.169,203820,0.606,-0.44,121188,1.68,604.44,1016.58,29.08,0.79,0.83,Reach - affects many people,29.1,39.0
41,271737000,Anemia (disorder),121478486,0.167,129713,0.386,-0.22,67419,1.92,936.52,1801.84,16.18,0.91,1.28,Reach - affects many people,16.2,38.9
42,401303003,Acute ST segment elevation myocardial infarction (disorder),109734749,0.151,41071,0.122,0.03,8227,4.99,2671.83,13338.37,1.97,2.36,3.65,Price - expensive per claim,3.7,9.6
43,185086009,Chronic obstructive bronchitis (disorder),107625431,0.148,8998,0.027,0.12,4815,1.87,11961.04,22352.11,1.16,0.88,16.35,Price - expensive per claim,16.4,9.2
44,444814009,Viral sinusitis (disorder),105288113,0.145,752414,2.237,-2.09,494629,1.52,139.93,212.86,118.70,0.72,0.19,Reach - affects many people,118.7,51.7
45,43878008,Streptococcal sore throat (disorder),104575267,0.144,167955,0.499,-0.36,83554,2.01,622.64,1251.59,20.05,0.95,0.85,Reach - affects many people,20.1,39.4
46,59621000,Essential hypertension (disorder),91383065,0.126,381925,1.135,-1.01,62669,6.09,239.27,1458.19,15.04,2.88,0.33,Reach - affects many people,15.0,51.8
47,162864005,Body mass index 30+ - obesity (finding),76393125,0.105,125892,0.374,-0.27,59466,2.12,606.81,1284.65,14.27,1.00,0.83,Reach - affects many people,14.3,56.0
48,444448004,Injury of medial collateral ligament of knee,68226232,0.094,7305,0.022,0.07,4121,1.77,9339.66,16555.75,0.99,0.84,12.77,Price - expensive per claim,12.8,24.7
49,55822004,Hyperlipidemia,66444075,0.091,996227,2.961,-2.87,111663,8.92,66.70,595.04,26.80,4.21,0.09,Reach - affects many people,26.8,37.5
50,74400008,Appendicitis,65360251,0.090,11053,0.033,0.06,5515,2.00,5913.35,11851.36,1.32,0.95,8.09,Price - expensive per claim,8.1,30.0
51,49436004,Atrial fibrillation (disorder),63363449,0.087,18474,0.055,0.03,2642,6.99,3429.87,23983.14,0.63,3.30,4.69,Price - expensive per claim,4.7,12.2
52,80583007,Severe anxiety (panic) (finding),60576965,0.083,136166,0.405,-0.32,40629,3.35,444.88,1490.98,9.75,1.58,0.61,Reach - affects many people,9.8,30.1
53,61804006,Alveolitis of jaw (disorder),60030421,0.083,23884,0.071,0.01,23293,1.03,2513.42,2577.19,5.59,0.48,3.44,Reach - affects many people,5.6,17.2
54,10939881000119105,Unhealthy alcohol drinking behavior (finding),59549814,0.082,130756,0.389,-0.31,39960,3.27,455.43,1490.24,9.59,1.55,0.62,Reach - affects many people,9.6,38.1
55,30832001,Rupture of patellar tendon,56240424,0.077,5978,0.018,0.06,3358,1.78,9407.90,16748.19,0.81,0.84,12.86,Price - expensive per claim,12.9,24.3
56,86406008,Human immunodeficiency virus infection (disorder),55032804,0.076,30215,0.090,-0.01,2514,12.02,1821.37,21890.53,0.60,5.68,2.49,Frequency - many visits each,5.7,33.4
57,431855005,Chronic kidney disease stage 1 (disorder),54504254,0.075,130940,0.389,-0.31,31824,4.11,416.25,1712.68,7.64,1.94,0.57,Reach - affects many people,7.6,33.6
58,128613002,Seizure disorder,53915127,0.074,10190,0.030,0.04,3868,2.63,5290.98,13938.76,0.93,1.24,7.23,Price - expensive per claim,7.2,19.8
59,60573004,Aortic valve stenosis (disorder),53214478,0.073,22539,0.067,0.01,3763,5.99,2361.00,14141.50,0.90,2.83,3.23,Price - expensive per claim,3.2,11.2
60,444470001,Injury of anterior cruciate ligament,48959098,0.067,5352,0.016,0.05,3006,1.78,9147.81,16287.13,0.72,0.84,12.51,Price - expensive per claim,12.5,24.1
61,431856006,Chronic kidney disease stage 2 (disorder),48255449,0.066,123778,0.368,-0.30,30219,4.10,389.85,1596.86,7.25,1.93,0.53,Reach - affects many people,7.3,30.6
62,65363002,Otitis media,46826486,0.064,279291,0.830,-0.77,79046,3.53,167.66,592.40,18.97,1.67,0.23,Reach - affects many people,19.0,61.5
63,15777000,Prediabetes,45844294,0.063,72690,0.216,-0.15,36093,2.01,630.68,1270.17,8.66,0.95,0.86,Reach - affects many people,8.7,51.6
64,433144002,Chronic kidney disease stage 3 (disorder),38117051,0.052,102698,0.305,-0.25,24836,4.14,371.16,1534.75,5.96,1.95,0.51,Reach - affects many people,6.0,24.8
65,237602007,Metabolic syndrome X (disorder),37067922,0.051,88155,0.262,-0.21,25417,3.47,420.49,1458.39,6.10,1.64,0.57,Reach - affects many people,6.1,40.3
66,94260004,Secondary malignant neoplasm of colon,34001317,0.047,7032,0.021,0.03,598,11.76,4835.23,56858.39,0.14,5.55,6.61,Price - expensive per claim,6.6,8.1
67,156073000,Complete miscarriage (disorder),31900370,0.044,22099,0.066,-0.02,20828,1.06,1443.52,1531.61,5.00,0.50,1.97,Reach - affects many people,5.0,17.3
68,60234000,Aortic valve regurgitation (disorder),31884307,0.044,18700,0.056,-0.01,3046,6.14,1705.04,10467.60,0.73,2.90,2.33,Frequency - many visits each,2.9,18.3
69,79586000,Tubal pregnancy,29230396,0.040,8350,0.025,0.02,4167,2.00,3500.65,7014.73,1.00,0.95,4.79,Price - expensive per claim,4.8,15.8
70,384709000,Sprain (morphologic abnormality),28910321,0.040,175102,0.520,-0.48,85452,2.05,165.11,338.32,20.51,0.97,0.23,Reach - affects many people,20.5,55.4
71,126906006,Neoplasm of prostate,27681488,0.038,9964,0.030,0.01,2867,3.48,2778.15,9655.21,0.69,1.64,3.80,Price - expensive per claim,3.8,7.7
72,254637007,Non-small cell lung cancer (disorder),26749896,0.037,3480,0.010,0.03,2340,1.49,7686.75,11431.58,0.56,0.70,10.51,Price - expensive per claim,10.5,8.6
73,361055000,Misuses drugs (finding),25972158,0.036,54028,0.161,-0.12,18264,2.96,480.72,1422.04,4.38,1.40,0.66,Reach - affects many people,4.4,43.8
74,36971009,Sinusitis (disorder),22130305,0.030,90336,0.269,-0.24,35702,2.53,244.98,619.86,8.57,1.20,0.33,Reach - affects many people,8.6,39.8
75,39898005,Sleep disorder (disorder),22082501,0.030,22889,0.068,-0.04,7676,2.98,964.76,2876.82,1.84,1.41,1.32,Balanced,1.8,30.3
76,93761005,Primary malignant neoplasm of colon,21652998,0.030,2572,0.008,0.02,2147,1.20,8418.74,10085.23,0.52,0.57,11.51,Price - expensive per claim,11.5,5.3
77,241929008,Acute allergic reaction,21341896,0.029,16806,0.050,-0.02,8089,2.08,1269.90,2638.39,1.94,0.98,1.74,Balanced,1.9,33.2
78,46752004,Torus palatinus (disorder),20832131,0.029,9576,0.028,0.00,9560,1.00,2175.45,2179.09,2.29,0.47,2.97,Price - expensive per claim,3.0,17.0
79,263172003,Fracture of mandible (disorder),20682828,0.028,11131,0.033,0.00,2210,5.04,1858.13,9358.75,0.53,2.38,2.54,Price - expensive per claim,2.5,31.0
80,44054006,Diabetes mellitus type 2 (disorder),18852314,0.026,31530,0.094,-0.07,10947,2.88,597.92,1722.14,2.63,1.36,0.82,Reach - affects many people,2.6,39.4
81,75498004,Acute bacterial sinusitis (disorder),18827800,0.026,81158,0.241,-0.22,35307,2.30,231.99,533.26,8.47,1.09,0.32,Reach - affects many people,8.5,39.2
82,714628002,Prediabetes (finding),18460497,0.025,27665,0.082,-0.06,13859,2.00,667.29,1332.02,3.33,0.94,0.91,Reach - affects many people,3.3,62.2
83,230265002,Familial Alzheimer's disease of early onset (disorder),18098657,0.025,11558,0.034,-0.01,3284,3.52,1565.90,5511.16,0.79,1.66,2.14,Price - expensive per claim,2.1,8.7
84,55680006,Drug overdose,16337161,0.022,135687,0.403,-0.38,74549,1.82,120.40,219.15,17.89,0.86,0.16,Reach - affects many people,17.9,50.1
85,195967001,Asthma,15536331,0.021,127420,0.379,-0.36,40633,3.14,121.93,382.36,9.75,1.48,0.17,Reach - affects many people,9.8,57.5
86,35999006,Blighted ovum,15143408,0.021,10468,0.031,-0.01,10165,1.03,1446.64,1489.76,2.44,0.49,1.98,Reach - affects many people,2.4,17.6
87,307731004,Injury of tendon of the rotator cuff of shoulder,14896255,0.020,11015,0.033,-0.01,8596,1.28,1352.36,1732.93,2.06,0.61,1.85,Reach - affects many people,2.1,24.5
88,81629009,Traumatic dislocation of temporomandibular joint (disorder),14184060,0.020,10332,0.031,-0.01,2248,4.60,1372.83,6309.64,0.54,2.17,1.88,Frequency - many visits each,2.2,34.8
89,65275009,Acute Cholecystitis,14009934,0.019,16130,0.048,-0.03,1252,12.88,868.56,11190.04,0.30,6.09,1.19,Frequency - many visits each,6.1,20.6
90,1255252008,Resorption of alveolar process due to dental trauma (disorder),13288872,0.018,6557,0.019,0.00,6532,1.00,2026.67,2034.43,1.57,0.47,2.77,Price - expensive per claim,2.8,17.3
91,233678006,Childhood asthma,12609303,0.017,72530,0.216,-0.20,21822,3.32,173.85,577.83,5.24,1.57,0.24,Reach - affects many people,5.2,53.0
92,45816000,Pyelonephritis,12037111,0.017,5284,0.016,0.00,1768,2.99,2278.03,6808.32,0.42,1.41,3.11,Price - expensive per claim,3.1,29.6
93,302870006,Hypertriglyceridemia (disorder),12020683,0.017,23895,0.071,-0.05,8397,2.85,503.06,1431.54,2.02,1.34,0.69,Reach - affects many people,2.0,40.1
94,4557003,Preinfarction syndrome (disorder),11841306,0.016,4483,0.013,0.00,609,7.36,2641.38,19443.85,0.15,3.48,3.61,Price - expensive per claim,3.6,10.4
95,48333001,Burn injury (morphologic abnormality),11296078,0.016,63264,0.188,-0.17,23049,2.74,178.55,490.09,5.53,1.30,0.24,Reach - affects many people,5.5,50.7
96,80394007,Hyperglycemia (disorder),11291331,0.016,22488,0.067,-0.05,5969,3.77,502.10,1891.66,1.43,1.78,0.69,Balanced,1.8,36.7
97,368581000119106,Neuropathy due to type 2 diabetes mellitus (disorder),11144686,0.015,13530,0.040,-0.02,3989,3.39,823.70,2793.85,0.96,1.60,1.13,Balanced,1.6,22.1
98,125601008,Injury of knee (disorder),10815323,0.015,26270,0.078,-0.06,13210,1.99,411.70,818.72,3.17,0.94,0.56,Reach - affects many people,3.2,45.5
99,90460009,Injury of neck (disorder),9148052,0.013,54780,0.163,-0.15,27424,2.00,167.00,333.58,6.58,0.94,0.23,Reach - affects many people,6.6,54.2
100,6072007,Bleeding from anus,8354290,0.011,1502,0.004,0.01,752,2.00,5562.11,11109.43,0.18,0.94,7.61,Price - expensive per claim,7.6,24.7
101,233604007,Pneumonia (disorder),7455752,0.010,6044,0.018,-0.01,2028,2.98,1233.58,3676.41,0.49,1.41,1.69,Balanced,1.7,5.5
102,190905008,Cystic Fibrosis,6927062,0.010,1501,0.004,0.01,91,16.49,4614.96,76121.56,0.02,7.79,6.31,Frequency - many visits each,7.8,6.1
103,128188000,Cerebral palsy (disorder),6874878,0.009,12330,0.037,-0.03,1749,7.05,557.57,3930.75,0.42,3.33,0.76,Frequency - many visits each,3.3,15.4
104,267253006,Fetus with chromosomal abnormality,6173015,0.008,4244,0.013,0.00,4197,1.01,1454.53,1470.82,1.01,0.48,1.99,Balanced,2.0,16.1
105,110030002,Concussion injury of brain (disorder),5904521,0.008,48312,0.144,-0.14,45319,1.07,122.22,130.29,10.88,0.50,0.17,Reach - affects many people,10.9,61.8
106,254632001,Small cell carcinoma of lung (disorder),5039500,0.007,637,0.002,0.01,424,1.50,7911.30,11885.61,0.10,0.71,10.82,Price - expensive per claim,10.8,9.5
107,422034002,Retinopathy due to type 2 diabetes mellitus (disorder),4803188,0.007,10896,0.032,-0.03,3131,3.48,440.82,1534.07,0.75,1.64,0.60,Balanced,1.6,32.7
108,197927001,Recurrent urinary tract infection (disorder),4319555,0.006,2915,0.009,0.00,1766,1.65,1481.84,2445.95,0.42,0.78,2.03,Price - expensive per claim,2.0,28.7
109,124171000119105,Chronic intractable migraine without aura,3669109,0.005,57197,0.170,-0.16,6944,8.24,64.15,528.39,1.67,3.89,0.09,Frequency - many visits each,3.9,53.9
110,1551000119108,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder),3014196,0.004,6932,0.021,-0.02,1932,3.59,434.82,1560.14,0.46,1.69,0.59,Balanced,1.7,28.1
111,37849005,Congenital uterine anomaly,2569367,0.004,1780,0.005,0.00,1774,1.00,1443.46,1448.35,0.43,0.47,1.97,Balanced,2.0,16.0
112,62106007,Concussion with no loss of consciousness,2489932,0.003,34575,0.103,-0.10,34102,1.01,72.02,73.01,8.18,0.48,0.10,Reach - affects many people,8.2,67.6
113,213150003,Kidney transplant failure and rejection (disorder),2435429,0.003,4663,0.014,-0.01,1558,2.99,522.29,1563.18,0.37,1.41,0.71,Balanced,1.4,12.8
114,239873007,Osteoarthritis of knee,2150161,0.003,9311,0.028,-0.02,9285,1.00,230.93,231.57,2.23,0.47,0.32,Reach - affects many people,2.2,51.8
115,5602001,Opioid abuse (disorder),1911971,0.003,4233,0.013,-0.01,948,4.47,451.68,2016.85,0.23,2.11,0.62,Frequency - many visits each,2.1,32.3
116,609496007,Complication occuring during pregnancy,1608983,0.002,1082,0.003,0.00,1079,1.00,1487.05,1491.18,0.26,0.47,2.03,Price - expensive per claim,2.0,15.6
117,90560007,Gout,1566703,0.002,6239,0.019,-0.02,2885,2.16,251.11,543.05,0.69,1.02,0.34,Balanced,1.0,41.8
118,67787004,Tongue tie (disorder),1529864,0.002,763,0.002,0.00,763,1.00,2005.06,2005.06,0.18,0.47,2.74,Price - expensive per claim,2.7,17.0
119,65966004,Fracture of forearm,1508496,0.002,21041,0.063,-0.06,20720,1.02,71.69,72.80,4.97,0.48,0.10,Reach - affects many people,5.0,50.6
120,24079001,Atopic dermatitis,1351579,0.002,8661,0.026,-0.02,5219,1.66,156.05,258.97,1.25,0.78,0.21,Balanced,1.3,25.8
121,58150001,Fracture of clavicle,1286089,0.002,18002,0.054,-0.05,17837,1.01,71.44,72.10,4.28,0.48,0.10,Reach - affects many people,4.3,54.3
122,62479008,Acquired immune deficiency syndrome (disorder),1206890,0.002,714,0.002,0.00,59,12.10,1690.32,20455.76,0.01,5.72,2.31,Frequency - many visits each,5.7,18.4
123,16114001,Fracture of ankle,1175573,0.002,16311,0.048,-0.05,16125,1.01,72.07,72.90,3.87,0.48,0.10,Reach - affects many people,3.9,53.4
124,263102004,Fracture subluxation of wrist,1149409,0.002,15981,0.048,-0.05,15769,1.01,71.92,72.89,3.78,0.48,0.10,Reach - affects many people,3.8,54.3
125,95417003,Primary fibromyalgia syndrome,1126346,0.002,9867,0.029,-0.03,3456,2.86,114.15,325.91,0.83,1.35,0.16,Balanced,1.3,26.7
126,97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder),1059720,0.001,2535,0.008,-0.01,673,3.77,418.04,1574.62,0.16,1.78,0.57,Balanced,1.8,21.3
127,283545005,Gunshot wound (disorder),1040724,0.001,3570,0.011,-0.01,1834,1.95,291.52,567.46,0.44,0.92,0.40,Balanced,0.9,49.5
128,425048006,Non-small cell carcinoma of lung  TNM stage 2 (disorder),1004610,0.001,180,0.001,0.00,1,180.00,5581.17,1004609.77,0.00,85.02,7.63,Frequency - many visits each,85.0,0.0
129,403190006,Epidermal burn of skin (disorder),959494,0.001,13414,0.040,-0.04,13306,1.01,71.53,72.11,3.19,0.48,0.10,Reach - affects many people,3.2,42.7
130,312157006,Infectious mediastinitis (disorder),958964,0.001,1058,0.003,0.00,1053,1.00,906.39,910.70,0.25,0.47,1.24,Balanced,1.2,8.5
131,408512008,Body mass index 40+ - severely obese (finding),923325,0.001,1070,0.003,0.00,631,1.70,862.92,1463.27,0.15,0.80,1.18,Balanced,1.2,59.3
132,201834006,Localized  primary osteoarthritis of the hand,890888,0.001,3877,0.012,-0.01,3850,1.01,229.79,231.40,0.92,0.48,0.31,Balanced,0.9,52.6
133,1501000119109,Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder),832338,0.001,2017,0.006,0.00,539,3.74,412.66,1544.23,0.13,1.77,0.56,Balanced,1.8,21.6
134,239872002,Osteoarthritis of hip,787098,0.001,3419,0.010,-0.01,3403,1.00,230.21,231.30,0.82,0.47,0.31,Balanced,0.8,51.6
135,232353008,Perennial allergic rhinitis with seasonal variation,764414,0.001,5276,0.016,-0.01,4270,1.24,144.89,179.02,1.02,0.58,0.20,Balanced,1.0,71.2
136,11625007,Torus mandibularis (disorder),759904,0.001,383,0.001,0.00,383,1.00,1984.08,1984.08,0.09,0.47,2.71,Price - expensive per claim,2.7,18.9
137,446096008,Perennial allergic rhinitis,718899,0.001,5037,0.015,-0.01,4096,1.23,142.72,175.51,0.98,0.58,0.20,Balanced,1.0,70.0
138,47505003,Posttraumatic stress disorder,693574,0.001,8757,0.026,-0.03,356,24.60,79.20,1948.24,0.09,11.62,0.11,Frequency - many visits each,11.6,35.0
139,62564004,Concussion with loss of consciousness,653037,0.001,9076,0.027,-0.03,9027,1.01,71.95,72.34,2.17,0.47,0.10,Reach - affects many people,2.2,67.9
140,403191005,Second degree burn,646754,0.001,8871,0.026,-0.03,8789,1.01,72.91,73.59,2.11,0.48,0.10,Reach - affects many people,2.1,41.9
141,449868002,Smokes tobacco daily,646753,0.001,1168,0.003,0.00,444,2.63,553.73,1456.65,0.11,1.24,0.76,Balanced,1.2,37.4
142,48724000,Mitral valve regurgitation (disorder),594418,0.001,1087,0.003,0.00,1035,1.05,546.84,574.32,0.25,0.50,0.75,Balanced,0.7,23.0
143,33737001,Fracture of rib,576170,0.001,8021,0.024,-0.02,7964,1.01,71.83,72.35,1.91,0.48,0.10,Balanced,1.9,46.2
144,275408006,Postoperative renal failure (disorder),561153,0.001,15,0.000,0.00,7,2.14,37410.18,80164.66,0.00,1.01,51.15,Price - expensive per claim,51.2,4.1
145,7200002,Alcoholism,476379,0.001,1007,0.003,0.00,364,2.77,473.07,1308.73,0.09,1.31,0.65,Balanced,1.3,40.2
146,91861009,Acute myeloid leukemia  disease (disorder),439525,0.001,389,0.001,0.00,181,2.15,1129.88,2428.31,0.04,1.02,1.54,Balanced,1.5,44.2
147,359817006,Closed fracture of hip,428175,0.001,5912,0.018,-0.02,5832,1.01,72.42,73.42,1.40,0.48,0.10,Balanced,1.4,45.1
148,40275004,Contact dermatitis,410648,0.001,2205,0.007,-0.01,2205,1.00,186.24,186.24,0.53,0.47,0.25,Balanced,0.5,62.1
149,129574000,Postoperative myocardial infarction (disorder),384629,0.001,10,0.000,0.00,6,1.67,38462.85,64104.75,0.00,0.79,52.59,Price - expensive per claim,52.6,0.3
150,367498001,Seasonal allergic rhinitis,384364,0.001,2560,0.008,-0.01,2037,1.26,150.14,188.69,0.49,0.59,0.21,Balanced,0.6,68.4
151,278365007,Anticoagulant-induced bleeding (disorder),360070,0.000,21,0.000,0.00,13,1.62,17146.17,27697.66,0.00,0.76,23.44,Price - expensive per claim,23.4,0.1
152,370143000,Major depression disorder,296512,0.000,776,0.002,0.00,255,3.04,382.10,1162.79,0.06,1.44,0.52,Balanced,1.4,47.7
153,129721000119106,Acute renal failure on dialysis (disorder),276403,0.000,7,0.000,0.00,3,2.33,39486.12,92134.28,0.00,1.10,53.99,Price - expensive per claim,54.0,13.6
154,69896004,Rheumatoid arthritis,200663,0.000,1430,0.004,0.00,708,2.02,140.32,283.42,0.17,0.95,0.19,Balanced,1.0,50.0
155,36923009,Major depression  single episode,200123,0.000,833,0.002,0.00,286,2.91,240.24,699.73,0.07,1.38,0.33,Balanced,1.4,78.8
156,414667000,Meningomyelocele (disorder),187511,0.000,679,0.002,0.00,121,5.61,276.16,1549.68,0.03,2.65,0.38,Frequency - many visits each,2.7,49.5
157,262521009,Traumatic injury of spinal cord and/or vertebral column (disorder),164018,0.000,868,0.003,0.00,868,1.00,188.96,188.96,0.21,0.47,0.26,Balanced,0.5,56.0
158,262574004,Bullet wound,162540,0.000,1840,0.005,-0.01,1834,1.00,88.34,88.63,0.44,0.47,0.12,Balanced,0.5,46.5
159,53827007,Excessive salivation (disorder),136422,0.000,351,0.001,0.00,140,2.51,388.67,974.44,0.03,1.18,0.53,Balanced,1.2,8.5
160,111287006,Tricuspid valve regurgitation (disorder),121101,0.000,189,0.001,0.00,165,1.15,640.75,733.95,0.04,0.54,0.88,Balanced,0.9,18.8
161,111282000,Acute respiratory insufficiency (disorder),110501,0.000,7,0.000,0.00,3,2.33,15785.83,36833.60,0.00,1.10,21.58,Price - expensive per claim,21.6,0.3
162,93143009,Leukemia  disease (disorder),100706,0.000,813,0.002,0.00,812,1.00,123.87,124.02,0.19,0.47,0.17,Balanced,0.5,19.6
163,86849004,Suicidal deliberate poisoning,82304,0.000,64,0.000,0.00,31,2.06,1286.00,2654.98,0.01,0.98,1.76,Balanced,1.8,34.2
