Condition Code,Condition Name,Code Category,Payer Name,Payer Type,Total Billed,Total Paid,Avg Cost per Claim,% Borne by Patient,Number of Claims
192127007,Child attention deficit disorder,Condition,Humana,Commercial,"$73,369,928","$73,369,928","$9,701",12.3%,"7,563"
37320007,Loss of teeth (disorder),Condition,Medicare,Government,"$72,698,121","$72,698,121","$1,004",4.9%,"72,376"
73595000,Stress (finding),Condition,Medicaid,Government,"$72,439,088","$72,439,088",$382,9.0%,"189,867"
46177005,End-stage renal disease (disorder),Condition,Humana,Commercial,"$69,619,400","$69,619,400",$465,8.4%,"149,748"
185086009,Chronic obstructive bronchitis (disorder),Condition,Medicare,Government,"$69,435,107","$69,435,107","$17,136",2.8%,"4,052"
312608009,Laceration - injury (disorder),Condition,Cigna Health,Commercial,"$69,152,482","$69,152,482","$4,761",44.5%,"14,524"
312608009,Laceration - injury (disorder),Condition,Aetna,Commercial,"$68,907,727","$68,907,727","$4,816",56.0%,"14,307"
73595000,Stress (finding),Condition,Dual Eligible,Government,"$67,722,559","$67,722,559",$396,4.6%,"171,230"
230690007,Stroke,Condition,Dual Eligible,Government,"$67,679,904","$67,679,904","$68,226",0.0%,992
22298006,Myocardial infarction (disorder),Condition,Medicare,Government,"$66,468,514","$66,468,514","$3,630",3.9%,"18,311"
312608009,Laceration - injury (disorder),Condition,Anthem,Commercial,"$65,664,662","$65,664,662","$4,825",23.6%,"13,608"
88805009,Chronic congestive heart failure (disorder),Condition,Dual Eligible,Government,"$65,537,197","$65,537,197",$628,3.5%,"104,428"
840539006,COVID-19,Condition,Cigna Health,Commercial,"$64,319,707","$64,319,707","$1,008",20.0%,"63,814"
840539006,COVID-19,Condition,Aetna,Commercial,"$63,387,243","$63,387,243","$1,034",20.5%,"61,280"
230690007,Stroke,Condition,Medicaid,Government,"$62,698,278","$62,698,278","$61,650",0.1%,"1,017"
192127007,Child attention deficit disorder,Condition,UnitedHealthcare,Commercial,"$61,941,143","$61,941,143","$9,475",10.6%,"6,537"
192127007,Child attention deficit disorder,Condition,Aetna,Commercial,"$61,289,704","$61,289,704","$9,291",12.9%,"6,597"
10509002,Acute bronchitis (disorder),Condition,Humana,Commercial,"$61,005,983","$61,005,983",$968,62.6%,"62,991"
192127007,Child attention deficit disorder,Condition,Blue Cross Blue Shield,Commercial,"$59,750,672","$59,750,672","$9,626",11.4%,"6,207"
840539006,COVID-19,Condition,Anthem,Commercial,"$59,199,756","$59,199,756","$1,040",17.6%,"56,921"
307426000,Acute infective cystitis (disorder),Condition,Medicare,Government,"$58,622,578","$58,622,578","$2,327",4.1%,"25,190"
401314000,Acute non-ST segment elevation myocardial infarction (disorder),Condition,Medicare,Government,"$58,325,607","$58,325,607","$2,696",3.1%,"21,636"
192127007,Child attention deficit disorder,Condition,Anthem,Commercial,"$57,972,051","$57,972,051","$9,378",10.3%,"6,182"
68496003,Polyp of colon,Condition,Medicaid,Government,"$57,887,681","$57,887,681","$12,123",0.7%,"4,775"
125605004,Fracture of bone (disorder),Condition,Dual Eligible,Government,"$57,618,547","$57,618,547","$2,948",1.1%,"19,548"
192127007,Child attention deficit disorder,Condition,NO_INSURANCE,Self-Pay / Uninsured,"$57,313,802","$57,313,802","$9,431",100.0%,"6,077"
312608009,Laceration - injury (disorder),Condition,NO_INSURANCE,Self-Pay / Uninsured,"$57,102,446","$57,102,446","$4,805",100.0%,"11,884"
125605004,Fracture of bone (disorder),Condition,Medicaid,Government,"$56,733,677","$56,733,677","$1,321",4.5%,"42,945"
46177005,End-stage renal disease (disorder),Condition,Aetna,Commercial,"$55,843,235","$55,843,235",$453,9.6%,"123,313"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),Condition,Humana,Commercial,"$55,422,208","$55,422,208","$4,130",17.4%,"13,419"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),Condition,Humana,Commercial,"$55,088,132","$55,088,132","$5,966",1.2%,"9,234"
46177005,End-stage renal disease (disorder),Condition,Cigna Health,Commercial,"$54,683,726","$54,683,726",$451,9.1%,"121,177"
254837009,Malignant neoplasm of breast (disorder),Condition,NO_INSURANCE,Self-Pay / Uninsured,"$53,790,460","$53,790,460","$4,960",100.0%,"10,844"
6525002,Dependent drug abuse (disorder),Condition,Cigna Health,Commercial,"$53,276,089","$53,276,089",$452,62.7%,"117,828"
312608009,Laceration - injury (disorder),Condition,Blue Cross Blue Shield,Commercial,"$53,220,909","$53,220,909","$5,007",43.4%,"10,630"
68496003,Polyp of colon,Condition,Dual Eligible,Government,"$51,860,991","$51,860,991","$12,380",0.3%,"4,189"
401303003,Acute ST segment elevation myocardial infarction (disorder),Condition,Medicare,Government,"$51,696,726","$51,696,726","$2,802",3.3%,"18,451"
192127007,Child attention deficit disorder,Condition,Cigna Health,Commercial,"$51,555,077","$51,555,077","$9,279",12.0%,"5,556"
6525002,Dependent drug abuse (disorder),Condition,Aetna,Commercial,"$51,453,464","$51,453,464",$451,70.6%,"114,141"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),Condition,Cigna Health,Commercial,"$49,427,973","$49,427,973","$3,811",18.1%,"12,969"
840539006,COVID-19,Condition,NO_INSURANCE,Self-Pay / Uninsured,"$49,190,924","$49,190,924",$995,99.9%,"49,433"
10509002,Acute bronchitis (disorder),Condition,Aetna,Commercial,"$49,114,471","$49,114,471",$955,64.4%,"51,419"
6525002,Dependent drug abuse (disorder),Condition,Anthem,Commercial,"$48,978,016","$48,978,016",$455,38.6%,"107,686"
10509002,Acute bronchitis (disorder),Condition,Cigna Health,Commercial,"$48,752,147","$48,752,147",$935,53.6%,"52,148"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),Condition,Aetna,Commercial,"$48,126,667","$48,126,667","$3,728",19.2%,"12,910"
312608009,Laceration - injury (disorder),Condition,UnitedHealthcare,Commercial,"$47,226,056","$47,226,056","$4,921",23.4%,"9,597"
46177005,End-stage renal disease (disorder),Condition,Anthem,Commercial,"$47,029,276","$47,029,276",$454,9.4%,"103,702"
10509002,Acute bronchitis (disorder),Condition,Anthem,Commercial,"$46,647,053","$46,647,053",$949,29.0%,"49,129"
414545008,Ischemic heart disease (disorder),Condition,Humana,Commercial,"$46,563,714","$46,563,714","$2,746",42.4%,"16,954"
254837009,Malignant neoplasm of breast (disorder),Condition,Aetna,Commercial,"$46,112,920","$46,112,920","$6,035",6.4%,"7,641"
67811000119102,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),Condition,NO_INSURANCE,Self-Pay / Uninsured,"$45,166,338","$45,166,338","$5,621",99.9%,"8,035"
91302008,Sepsis (disorder),Condition,Medicaid,Government,"$44,478,794","$44,478,794","$10,234",0.4%,"4,346"
312608009,Laceration - injury (disorder),Condition,Dual Eligible,Government,"$44,315,160","$44,315,160","$4,569",0.8%,"9,700"
254837009,Malignant neoplasm of breast (disorder),Condition,Cigna Health,Commercial,"$43,853,813","$43,853,813","$5,858",5.8%,"7,486"
26929004,Alzheimer's disease (disorder),Condition,Dual Eligible,Government,"$42,335,707","$42,335,707","$2,371",1.0%,"17,852"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),Condition,Anthem,Commercial,"$42,063,342","$42,063,342","$3,823",18.3%,"11,004"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),Condition,NO_INSURANCE,Self-Pay / Uninsured,"$41,584,112","$41,584,112","$3,837",100.0%,"10,839"
10509002,Acute bronchitis (disorder),Condition,NO_INSURANCE,Self-Pay / Uninsured,"$41,154,497","$41,154,497",$937,100.0%,"43,903"
414545008,Ischemic heart disease (disorder),Condition,Aetna,Commercial,"$41,154,280","$41,154,280","$2,565",43.0%,"16,043"
307426000,Acute infective cystitis (disorder),Condition,Humana,Commercial,"$40,737,275","$40,737,275","$2,476",55.7%,"16,450"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),Condition,Aetna,Commercial,"$40,645,487","$40,645,487","$5,740",2.1%,"7,081"
414545008,Ischemic heart disease (disorder),Condition,Cigna Health,Commercial,"$40,334,758","$40,334,758","$2,561",36.0%,"15,752"
840539006,COVID-19,Condition,Blue Cross Blue Shield,Commercial,"$39,874,455","$39,874,455",$992,21.0%,"40,194"
6525002,Dependent drug abuse (disorder),Condition,NO_INSURANCE,Self-Pay / Uninsured,"$39,170,904","$39,170,904",$455,100.0%,"86,149"
414545008,Ischemic heart disease (disorder),Condition,Anthem,Commercial,"$38,629,887","$38,629,887","$2,679",21.8%,"14,419"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),Condition,Cigna Health,Commercial,"$38,516,271","$38,516,271","$5,726",1.2%,"6,727"
46177005,End-stage renal disease (disorder),Condition,Blue Cross Blue Shield,Commercial,"$37,804,535","$37,804,535",$481,8.6%,"78,639"
10509002,Acute bronchitis (disorder),Condition,Blue Cross Blue Shield,Commercial,"$36,925,825","$36,925,825",$964,52.2%,"38,311"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),Condition,Anthem,Commercial,"$36,818,295","$36,818,295","$5,631",2.0%,"6,538"
46177005,End-stage renal disease (disorder),Condition,UnitedHealthcare,Commercial,"$35,781,469","$35,781,469",$467,8.7%,"76,571"
363406005,Malignant tumor of colon,Condition,Dual Eligible,Government,"$35,378,404","$35,378,404","$5,118",0.3%,"6,913"
840539006,COVID-19,Condition,UnitedHealthcare,Commercial,"$35,346,779","$35,346,779",$993,17.5%,"35,610"
363406005,Malignant tumor of colon,Condition,Medicaid,Government,"$35,188,906","$35,188,906","$5,276",0.4%,"6,670"
82423001,Chronic pain (finding),Condition,Humana,Commercial,"$35,136,369","$35,136,369","$1,408",30.1%,"24,962"
10509002,Acute bronchitis (disorder),Condition,UnitedHealthcare,Commercial,"$34,759,239","$34,759,239",$971,29.0%,"35,788"
254837009,Malignant neoplasm of breast (disorder),Condition,Humana,Commercial,"$34,307,567","$34,307,567","$4,139",7.9%,"8,288"
64859006,Osteoporosis (disorder),Condition,Medicare,Government,"$34,139,837","$34,139,837","$2,283",4.7%,"14,956"
49436004,Atrial fibrillation (disorder),Condition,Medicare,Government,"$33,985,757","$33,985,757","$3,432",4.3%,"9,904"
192127007,Child attention deficit disorder,Condition,Medicare,Government,"$33,875,391","$33,875,391","$9,312",1.3%,"3,638"
414545008,Ischemic heart disease (disorder),Condition,NO_INSURANCE,Self-Pay / Uninsured,"$33,039,136","$33,039,136","$2,735",100.0%,"12,080"
196416002,Impacted molars,Condition,Cigna Health,Commercial,"$32,972,328","$32,972,328","$5,661",33.4%,"5,824"
37320007,Loss of teeth (disorder),Condition,Medicaid,Government,"$32,648,625","$32,648,625",$948,3.4%,"34,426"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),Condition,Blue Cross Blue Shield,Commercial,"$32,529,063","$32,529,063","$4,249",17.9%,"7,655"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),Condition,Blue Cross Blue Shield,Commercial,"$32,295,815","$32,295,815","$5,950",1.3%,"5,428"
73595000,Stress (finding),Condition,Humana,Commercial,"$31,877,333","$31,877,333",$419,68.1%,"75,993"
196416002,Impacted molars,Condition,Aetna,Commercial,"$31,480,374","$31,480,374","$5,608",41.3%,"5,613"
307426000,Acute infective cystitis (disorder),Condition,Cigna Health,Commercial,"$31,107,854","$31,107,854","$2,422",47.7%,"12,844"
230690007,Stroke,Condition,Humana,Commercial,"$31,059,324","$31,059,324","$69,796",30.4%,445
307426000,Acute infective cystitis (disorder),Condition,Aetna,Commercial,"$31,051,374","$31,051,374","$2,401",59.0%,"12,932"
196416002,Impacted molars,Condition,Anthem,Commercial,"$30,672,962","$30,672,962","$5,622",21.2%,"5,456"
67811000119102,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),Condition,Medicaid,Government,"$30,606,019","$30,606,019","$5,491",0.8%,"5,574"
307426000,Acute infective cystitis (disorder),Condition,Anthem,Commercial,"$30,259,045","$30,259,045","$2,437",24.9%,"12,415"
10509002,Acute bronchitis (disorder),Condition,Dual Eligible,Government,"$30,186,303","$30,186,303",$838,3.9%,"36,013"
195662009,Acute viral pharyngitis (disorder),Condition,Humana,Commercial,"$30,152,613","$30,152,613",$823,76.9%,"36,647"
307426000,Acute infective cystitis (disorder),Condition,NO_INSURANCE,Self-Pay / Uninsured,"$29,733,234","$29,733,234","$2,530",100.0%,"11,754"
60573004,Aortic valve stenosis (disorder),Condition,Medicare,Government,"$29,262,158","$29,262,158","$2,894",3.4%,"10,112"
73595000,Stress (finding),Condition,Cigna Health,Commercial,"$28,688,016","$28,688,016",$405,64.7%,"70,762"
230690007,Stroke,Condition,NO_INSURANCE,Self-Pay / Uninsured,"$28,244,987","$28,244,987","$66,773",100.0%,423
73595000,Stress (finding),Condition,NO_INSURANCE,Self-Pay / Uninsured,"$28,131,344","$28,131,344",$392,100.0%,"71,702"
73595000,Stress (finding),Condition,Aetna,Commercial,"$27,954,356","$27,954,356",$403,67.6%,"69,303"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),Condition,UnitedHealthcare,Commercial,"$27,911,183","$27,911,183","$4,081",18.2%,"6,840"
230690007,Stroke,Condition,Aetna,Commercial,"$27,670,160","$27,670,160","$71,499",31.6%,387
230690007,Stroke,Condition,Anthem,Commercial,"$27,018,278","$27,018,278","$71,288",16.8%,379
73595000,Stress (finding),Condition,Anthem,Commercial,"$26,667,453","$26,667,453",$409,53.0%,"65,266"
43878008,Streptococcal sore throat (disorder),Condition,Medicaid,Government,"$26,086,718","$26,086,718",$529,10.8%,"49,358"
68496003,Polyp of colon,Condition,Humana,Commercial,"$26,071,968","$26,071,968","$13,467",53.9%,"1,936"
271737000,Anemia (disorder),Condition,Medicaid,Government,"$25,885,761","$25,885,761",$942,1.5%,"27,474"
230690007,Stroke,Condition,Cigna Health,Commercial,"$25,665,709","$25,665,709","$69,367",25.0%,370
254837009,Malignant neoplasm of breast (disorder),Condition,Anthem,Commercial,"$25,563,354","$25,563,354","$4,126",7.2%,"6,196"
87433001,Pulmonary emphysema (disorder),Condition,Dual Eligible,Government,"$25,483,262","$25,483,262","$14,662",0.2%,"1,738"
444814009,Viral sinusitis (disorder),Condition,Medicaid,Government,"$25,203,490","$25,203,490",$134,42.0%,"187,790"
109838007,Overlapping malignant neoplasm of colon,Condition,Dual Eligible,Government,"$25,149,023","$25,149,023","$6,411",0.3%,"3,923"
414545008,Ischemic heart disease (disorder),Condition,Blue Cross Blue Shield,Commercial,"$24,615,987","$24,615,987","$2,679",36.3%,"9,189"
195662009,Acute viral pharyngitis (disorder),Condition,Cigna Health,Commercial,"$24,346,562","$24,346,491",$793,69.4%,"30,697"
196416002,Impacted molars,Condition,Medicare,Government,"$24,260,767","$24,260,767","$5,683",5.0%,"4,269"
68496003,Polyp of colon,Condition,Cigna Health,Commercial,"$24,200,186","$24,200,186","$13,231",42.0%,"1,829"
196416002,Impacted molars,Condition,NO_INSURANCE,Self-Pay / Uninsured,"$24,170,970","$24,170,970","$5,643",100.0%,"4,283"
307426000,Acute infective cystitis (disorder),Condition,Blue Cross Blue Shield,Commercial,"$24,155,427","$24,155,427","$2,492",46.8%,"9,694"
91302008,Sepsis (disorder),Condition,Humana,Commercial,"$23,986,847","$23,986,847","$11,764",37.2%,"2,039"
195662009,Acute viral pharyngitis (disorder),Condition,Aetna,Commercial,"$23,857,495","$23,857,495",$790,79.1%,"30,217"
37320007,Loss of teeth (disorder),Condition,Dual Eligible,Government,"$23,687,856","$23,687,856",$933,1.9%,"25,381"
91302008,Sepsis (disorder),Condition,Cigna Health,Commercial,"$23,563,741","$23,563,741","$11,986",29.8%,"1,966"
195662009,Acute viral pharyngitis (disorder),Condition,Medicare,Government,"$23,234,893","$23,234,893",$394,8.5%,"58,933"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),Condition,UnitedHealthcare,Commercial,"$23,036,144","$23,036,144","$5,825",1.5%,"3,955"
307426000,Acute infective cystitis (disorder),Condition,UnitedHealthcare,Commercial,"$23,017,455","$23,017,455","$2,494",24.3%,"9,228"
414545008,Ischemic heart disease (disorder),Condition,UnitedHealthcare,Commercial,"$22,786,816","$22,786,816","$2,692",21.6%,"8,464"
91302008,Sepsis (disorder),Condition,Aetna,Commercial,"$22,721,432","$22,721,432","$12,396",37.6%,"1,833"
195662009,Acute viral pharyngitis (disorder),Condition,Anthem,Commercial,"$22,690,288","$22,690,288",$783,39.9%,"28,989"
68496003,Polyp of colon,Condition,Anthem,Commercial,"$22,283,374","$22,283,374","$13,024",23.3%,"1,711"
68496003,Polyp of colon,Condition,Aetna,Commercial,"$22,080,372","$22,080,372","$13,151",54.4%,"1,679"
82423001,Chronic pain (finding),Condition,Aetna,Commercial,"$21,891,694","$21,891,694","$1,103",30.2%,"19,850"
