Condition Code,Condition Name,Payer Name,Payer Type,Total Billed,Total Paid,Avg Cost per Claim,% Borne by Patient,Number of Claims
414545008,Ischemic heart disease (disorder),Medicaid,Government,"$105,616,462","$105,616,462","$1,783",1.6%,"59,236"
6525002,Dependent drug abuse (disorder),Medicare,Government,"$105,136,109","$105,136,109",$449,8.6%,"234,123"
82423001,Chronic pain (finding),Medicaid,Government,"$104,812,858","$104,812,858","$1,076",5.3%,"97,368"
10509002,Acute bronchitis (disorder),Medicare,Government,"$96,327,906","$96,327,906",$887,5.4%,"108,599"
840539006,COVID-19,Dual Eligible,Government,"$95,248,139","$95,248,139","$1,249",0.9%,"76,230"
427898007,Infection of tooth (disorder),Medicare,Government,"$88,965,530","$88,965,530","$3,875",3.1%,"22,956"
312608009,Laceration - injury (disorder),Humana,Commercial,"$87,370,739","$87,370,739","$4,965",55.1%,"17,598"
68496003,Polyp of colon,Humana,Commercial,"$87,133,403","$87,133,403","$21,077",47.4%,"4,134"
46177005,End-stage renal disease (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$85,253,258","$85,253,258",$437,100.0%,"194,935"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),Dual Eligible,Government,"$85,119,160","$85,119,160","$3,591",0.4%,"23,704"
87433001,Pulmonary emphysema (disorder),Medicare,Government,"$84,567,007","$84,567,007","$16,866",3.3%,"5,014"
414545008,Ischemic heart disease (disorder),Dual Eligible,Government,"$83,382,026","$83,382,026","$1,805",0.9%,"46,200"
6525002,Dependent drug abuse (disorder),Dual Eligible,Government,"$82,965,481","$82,965,481",$418,0.7%,"198,493"
195662009,Acute viral pharyngitis (disorder),Medicaid,Government,"$81,008,532","$81,008,532",$858,7.4%,"94,456"
18718003,Gingival disease (disorder),Dual Eligible,Government,"$79,229,261","$79,229,261","$3,482",1.0%,"22,752"
68496003,Polyp of colon,Cigna Health,Commercial,"$78,977,641","$78,977,641","$20,535",37.5%,"3,846"
18718003,Gingival disease (disorder),Humana,Commercial,"$78,901,142","$78,901,142","$3,881",63.8%,"20,332"
109838007,Overlapping malignant neoplasm of colon,Medicare,Government,"$76,692,196","$76,692,196","$6,794",2.4%,"11,289"
68496003,Polyp of colon,Aetna,Commercial,"$75,287,532","$75,287,532","$20,706",48.3%,"3,636"
840539006,COVID-19,Humana,Commercial,"$74,986,387","$74,986,387","$1,036",21.1%,"72,405"
192127007,Child attention deficit disorder,Humana,Commercial,"$73,369,928","$73,369,928","$9,701",12.3%,"7,563"
427898007,Infection of tooth (disorder),Medicaid,Government,"$73,147,600","$73,147,600","$3,671",1.4%,"19,928"
37320007,Loss of teeth (disorder),Medicare,Government,"$72,698,121","$72,698,121","$1,004",4.9%,"72,376"
68496003,Polyp of colon,Anthem,Commercial,"$70,819,415","$70,819,415","$20,211",22.2%,"3,504"
46177005,End-stage renal disease (disorder),Humana,Commercial,"$69,929,184","$69,929,184",$464,8.4%,"150,649"
185086009,Chronic obstructive bronchitis (disorder),Medicare,Government,"$69,463,612","$69,463,612","$16,926",2.8%,"4,104"
312608009,Laceration - injury (disorder),Cigna Health,Commercial,"$69,152,482","$69,152,482","$4,761",44.5%,"14,524"
312608009,Laceration - injury (disorder),Aetna,Commercial,"$68,907,727","$68,907,727","$4,816",56.0%,"14,307"
307426000,Acute infective cystitis (disorder),Medicare,Government,"$67,939,243","$67,939,243","$2,236",4.2%,"30,386"
230690007,Stroke,Dual Eligible,Government,"$67,751,993","$67,751,993","$68,024",0.0%,996
18718003,Gingival disease (disorder),Cigna Health,Commercial,"$66,880,087","$66,880,087","$3,726",50.9%,"17,949"
22298006,Myocardial infarction (disorder),Medicare,Government,"$66,468,514","$66,468,514","$3,630",3.9%,"18,311"
18718003,Gingival disease (disorder),Aetna,Commercial,"$66,131,386","$66,131,386","$3,746",64.8%,"17,654"
312608009,Laceration - injury (disorder),Anthem,Commercial,"$65,664,662","$65,664,662","$4,825",23.6%,"13,608"
109570002,Primary dental caries (disorder),Humana,Commercial,"$65,560,124","$65,560,124","$2,817",73.5%,"23,272"
88805009,Chronic congestive heart failure (disorder),Dual Eligible,Government,"$65,537,197","$65,537,197",$628,3.5%,"104,428"
840539006,COVID-19,Cigna Health,Commercial,"$64,319,707","$64,319,707","$1,008",20.0%,"63,814"
840539006,COVID-19,Aetna,Commercial,"$63,387,243","$63,387,243","$1,034",20.5%,"61,280"
18718003,Gingival disease (disorder),Anthem,Commercial,"$62,846,842","$62,846,842","$3,766",21.6%,"16,686"
230690007,Stroke,Medicaid,Government,"$62,698,278","$62,698,278","$61,650",0.1%,"1,017"
64859006,Osteoporosis (disorder),Medicare,Government,"$62,100,781","$62,100,781","$2,283",4.7%,"27,198"
192127007,Child attention deficit disorder,UnitedHealthcare,Commercial,"$61,941,143","$61,941,143","$9,475",10.6%,"6,537"
192127007,Child attention deficit disorder,Aetna,Commercial,"$61,289,704","$61,289,704","$9,291",12.9%,"6,597"
10509002,Acute bronchitis (disorder),Humana,Commercial,"$61,005,983","$61,005,983",$968,62.6%,"62,991"
68496003,Polyp of colon,NO_INSURANCE,Self-Pay / Uninsured,"$60,620,274","$60,620,274","$20,619",100.0%,"2,940"
18718003,Gingival disease (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$60,558,517","$60,558,517","$3,763",100.0%,"16,095"
192127007,Child attention deficit disorder,Blue Cross Blue Shield,Commercial,"$59,750,672","$59,750,672","$9,626",11.4%,"6,207"
840539006,COVID-19,Anthem,Commercial,"$59,199,756","$59,199,756","$1,040",17.6%,"56,921"
401314000,Acute non-ST segment elevation myocardial infarction (disorder),Medicare,Government,"$58,325,607","$58,325,607","$2,696",3.1%,"21,636"
192127007,Child attention deficit disorder,Anthem,Commercial,"$57,972,051","$57,972,051","$9,378",10.3%,"6,182"
125605004,Fracture of bone (disorder),Dual Eligible,Government,"$57,618,547","$57,618,547","$2,948",1.1%,"19,548"
192127007,Child attention deficit disorder,NO_INSURANCE,Self-Pay / Uninsured,"$57,313,802","$57,313,802","$9,431",100.0%,"6,077"
312608009,Laceration - injury (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$57,102,446","$57,102,446","$4,805",100.0%,"11,884"
125605004,Fracture of bone (disorder),Medicaid,Government,"$56,733,677","$56,733,677","$1,321",4.5%,"42,945"
109570002,Primary dental caries (disorder),Dual Eligible,Government,"$56,356,831","$56,356,831","$2,527",1.4%,"22,301"
46177005,End-stage renal disease (disorder),Aetna,Commercial,"$56,103,195","$56,103,195",$452,9.6%,"124,019"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),Humana,Commercial,"$55,422,208","$55,422,208","$4,130",17.4%,"13,419"
109570002,Primary dental caries (disorder),Aetna,Commercial,"$55,401,328","$55,401,328","$2,720",73.5%,"20,371"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),Humana,Commercial,"$55,088,132","$55,088,132","$5,966",1.2%,"9,234"
46177005,End-stage renal disease (disorder),Cigna Health,Commercial,"$54,932,009","$54,932,009",$450,9.1%,"121,948"
109570002,Primary dental caries (disorder),Cigna Health,Commercial,"$54,908,119","$54,908,119","$2,710",62.4%,"20,262"
254837009,Malignant neoplasm of breast (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$54,757,070","$54,757,070","$4,982",100.0%,"10,992"
6525002,Dependent drug abuse (disorder),Cigna Health,Commercial,"$53,276,089","$53,276,089",$452,62.7%,"117,828"
312608009,Laceration - injury (disorder),Blue Cross Blue Shield,Commercial,"$53,220,909","$53,220,909","$5,007",43.4%,"10,630"
109570002,Primary dental caries (disorder),Anthem,Commercial,"$51,703,026","$51,703,026","$2,726",23.2%,"18,965"
401303003,Acute ST segment elevation myocardial infarction (disorder),Medicare,Government,"$51,696,726","$51,696,726","$2,802",3.3%,"18,451"
192127007,Child attention deficit disorder,Cigna Health,Commercial,"$51,555,077","$51,555,077","$9,279",12.0%,"5,556"
6525002,Dependent drug abuse (disorder),Aetna,Commercial,"$51,453,464","$51,453,464",$451,70.6%,"114,141"
414545008,Ischemic heart disease (disorder),Humana,Commercial,"$49,672,596","$49,672,596","$2,024",45.1%,"24,543"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),Cigna Health,Commercial,"$49,427,973","$49,427,973","$3,811",18.1%,"12,969"
840539006,COVID-19,NO_INSURANCE,Self-Pay / Uninsured,"$49,190,924","$49,190,924",$995,99.9%,"49,433"
109570002,Primary dental caries (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$49,183,607","$49,183,199","$2,729",100.0%,"18,024"
10509002,Acute bronchitis (disorder),Aetna,Commercial,"$49,114,471","$49,114,471",$955,64.4%,"51,419"
6525002,Dependent drug abuse (disorder),Anthem,Commercial,"$48,978,016","$48,978,016",$455,38.6%,"107,686"
10509002,Acute bronchitis (disorder),Cigna Health,Commercial,"$48,752,147","$48,752,147",$935,53.6%,"52,148"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),Aetna,Commercial,"$48,126,667","$48,126,667","$3,728",19.2%,"12,910"
68496003,Polyp of colon,Blue Cross Blue Shield,Commercial,"$48,015,370","$48,015,370","$21,464",36.9%,"2,237"
18718003,Gingival disease (disorder),Blue Cross Blue Shield,Commercial,"$47,524,381","$47,524,381","$3,880",51.2%,"12,249"
254837009,Malignant neoplasm of breast (disorder),Aetna,Commercial,"$47,250,993","$47,250,993","$6,049",7.7%,"7,812"
312608009,Laceration - injury (disorder),UnitedHealthcare,Commercial,"$47,226,056","$47,226,056","$4,921",23.4%,"9,597"
46177005,End-stage renal disease (disorder),Anthem,Commercial,"$47,222,293","$47,222,293",$453,9.4%,"104,301"
307426000,Acute infective cystitis (disorder),Humana,Commercial,"$46,869,421","$46,869,421","$2,356",57.1%,"19,893"
10509002,Acute bronchitis (disorder),Anthem,Commercial,"$46,647,053","$46,647,053",$949,29.0%,"49,129"
67811000119102,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$45,166,338","$45,166,338","$5,621",99.9%,"8,035"
254837009,Malignant neoplasm of breast (disorder),Cigna Health,Commercial,"$44,998,955","$44,998,955","$5,877",6.8%,"7,657"
91302008,Sepsis (disorder),Medicaid,Government,"$44,478,794","$44,478,794","$10,234",0.4%,"4,346"
312608009,Laceration - injury (disorder),Dual Eligible,Government,"$44,315,160","$44,315,160","$4,569",0.8%,"9,700"
414545008,Ischemic heart disease (disorder),Aetna,Commercial,"$44,095,680","$44,095,680","$1,905",45.6%,"23,148"
18718003,Gingival disease (disorder),UnitedHealthcare,Commercial,"$43,411,717","$43,411,717","$3,865",21.9%,"11,232"
414545008,Ischemic heart disease (disorder),Cigna Health,Commercial,"$43,267,564","$43,267,564","$1,891",38.9%,"22,882"
68496003,Polyp of colon,UnitedHealthcare,Commercial,"$42,510,107","$42,510,107","$21,202",21.8%,"2,005"
26929004,Alzheimer's disease (disorder),Dual Eligible,Government,"$42,498,327","$42,498,327","$2,322",1.1%,"18,306"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),Anthem,Commercial,"$42,063,342","$42,063,342","$3,823",18.3%,"11,004"
278602001,Loose dental filling (finding),Medicare,Government,"$41,953,349","$41,953,349","$2,737",3.3%,"15,326"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),NO_INSURANCE,Self-Pay / Uninsured,"$41,584,112","$41,584,112","$3,837",100.0%,"10,839"
414545008,Ischemic heart disease (disorder),Anthem,Commercial,"$41,393,285","$41,393,285","$1,952",23.6%,"21,207"
278598003,Leaking dental filling (finding),Medicare,Government,"$41,347,167","$41,347,167","$2,719",3.3%,"15,205"
278558000,Dental filling lost (finding),Medicare,Government,"$41,295,302","$41,295,302","$2,735",3.3%,"15,097"
10509002,Acute bronchitis (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$41,154,497","$41,154,497",$937,100.0%,"43,903"
109570002,Primary dental caries (disorder),Blue Cross Blue Shield,Commercial,"$41,003,643","$41,003,643","$2,801",63.2%,"14,641"
278588009,Fractured dental filling (finding),Medicare,Government,"$40,859,167","$40,859,167","$2,729",3.3%,"14,973"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),Aetna,Commercial,"$40,645,487","$40,645,487","$5,740",2.1%,"7,081"
840539006,COVID-19,Blue Cross Blue Shield,Commercial,"$39,874,455","$39,874,455",$992,21.0%,"40,194"
6525002,Dependent drug abuse (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$39,170,904","$39,170,904",$455,100.0%,"86,149"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),Cigna Health,Commercial,"$38,516,271","$38,516,271","$5,726",1.2%,"6,727"
109570002,Primary dental caries (disorder),UnitedHealthcare,Commercial,"$38,015,053","$38,015,053","$2,806",23.2%,"13,547"
46177005,End-stage renal disease (disorder),Blue Cross Blue Shield,Commercial,"$37,968,189","$37,968,189",$480,8.6%,"79,130"
10509002,Acute bronchitis (disorder),Blue Cross Blue Shield,Commercial,"$36,925,825","$36,925,825",$964,52.2%,"38,311"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),Anthem,Commercial,"$36,818,295","$36,818,295","$5,631",2.0%,"6,538"
46177005,End-stage renal disease (disorder),UnitedHealthcare,Commercial,"$35,938,078","$35,938,078",$467,8.7%,"77,030"
307426000,Acute infective cystitis (disorder),Cigna Health,Commercial,"$35,768,264","$35,768,264","$2,299",49.0%,"15,559"
254837009,Malignant neoplasm of breast (disorder),Humana,Commercial,"$35,535,155","$35,535,155","$4,192",9.7%,"8,476"
307426000,Acute infective cystitis (disorder),Aetna,Commercial,"$35,525,380","$35,525,380","$2,252",60.6%,"15,773"
363406005,Malignant tumor of colon,Dual Eligible,Government,"$35,378,404","$35,378,404","$5,118",0.3%,"6,913"
840539006,COVID-19,UnitedHealthcare,Commercial,"$35,346,779","$35,346,779",$993,17.5%,"35,610"
414545008,Ischemic heart disease (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$35,259,260","$35,259,260","$2,019",100.0%,"17,466"
363406005,Malignant tumor of colon,Medicaid,Government,"$35,188,906","$35,188,906","$5,276",0.4%,"6,670"
82423001,Chronic pain (finding),Humana,Commercial,"$35,136,369","$35,136,369","$1,408",30.1%,"24,962"
10509002,Acute bronchitis (disorder),UnitedHealthcare,Commercial,"$34,759,239","$34,759,239",$971,29.0%,"35,788"
307426000,Acute infective cystitis (disorder),Anthem,Commercial,"$34,497,615","$34,497,615","$2,305",25.7%,"14,968"
49436004,Atrial fibrillation (disorder),Medicare,Government,"$34,091,643","$34,091,643","$3,383",4.3%,"10,076"
192127007,Child attention deficit disorder,Medicare,Government,"$33,875,391","$33,875,391","$9,312",1.3%,"3,638"
307426000,Acute infective cystitis (disorder),NO_INSURANCE,Self-Pay / Uninsured,"$33,612,487","$33,612,487","$2,397",100.0%,"14,023"
196416002,Impacted molars,Cigna Health,Commercial,"$32,972,328","$32,972,328","$5,661",33.4%,"5,824"
37320007,Loss of teeth (disorder),Medicaid,Government,"$32,648,625","$32,648,625",$948,3.4%,"34,426"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),Blue Cross Blue Shield,Commercial,"$32,529,063","$32,529,063","$4,249",17.9%,"7,655"
424132000,Non-small cell carcinoma of lung  TNM stage 1 (disorder),Blue Cross Blue Shield,Commercial,"$32,295,815","$32,295,815","$5,950",1.3%,"5,428"
196416002,Impacted molars,Aetna,Commercial,"$31,480,374","$31,480,374","$5,608",41.3%,"5,613"
230690007,Stroke,Humana,Commercial,"$31,059,324","$31,059,324","$69,796",30.4%,445
196416002,Impacted molars,Anthem,Commercial,"$30,672,962","$30,672,962","$5,622",21.2%,"5,456"
67811000119102,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),Medicaid,Government,"$30,606,019","$30,606,019","$5,491",0.8%,"5,574"
10509002,Acute bronchitis (disorder),Dual Eligible,Government,"$30,186,303","$30,186,303",$838,3.9%,"36,013"
195662009,Acute viral pharyngitis (disorder),Humana,Commercial,"$30,152,613","$30,152,613",$823,76.9%,"36,647"
427898007,Infection of tooth (disorder),Dual Eligible,Government,"$29,928,079","$29,928,079","$3,617",1.0%,"8,274"
271737000,Anemia (disorder),Medicaid,Government,"$29,609,437","$29,609,437",$903,2.1%,"32,806"
840544004,Suspected COVID-19,Medicaid,Government,"$29,467,041","$29,467,041",$568,9.7%,"51,854"
427898007,Infection of tooth (disorder),Humana,Commercial,"$29,412,783","$29,412,783","$4,008",64.1%,"7,339"
60573004,Aortic valve stenosis (disorder),Medicare,Government,"$29,262,158","$29,262,158","$2,894",3.4%,"10,112"
230690007,Stroke,NO_INSURANCE,Self-Pay / Uninsured,"$28,244,987","$28,244,987","$66,773",100.0%,423
307426000,Acute infective cystitis (disorder),Blue Cross Blue Shield,Commercial,"$27,929,516","$27,929,516","$2,340",48.6%,"11,938"
274531002,Abnormal findings diagnostic imaging heart+coronary circulat (finding),UnitedHealthcare,Commercial,"$27,911,183","$27,911,183","$4,081",18.2%,"6,840"
230690007,Stroke,Aetna,Commercial,"$27,670,160","$27,670,160","$71,499",31.6%,387
278602001,Loose dental filling (finding),Medicaid,Government,"$27,559,821","$27,559,821","$2,572",2.0%,"10,716"
278558000,Dental filling lost (finding),Medicaid,Government,"$27,525,936","$27,525,936","$2,574",2.0%,"10,695"
278588009,Fractured dental filling (finding),Medicaid,Government,"$27,508,871","$27,508,871","$2,577",2.0%,"10,674"
55822004,Hyperlipidemia,Medicare,Government,"$27,467,033","$27,467,033",$63,8.6%,"435,044"
278598003,Leaking dental filling (finding),Medicaid,Government,"$27,340,751","$27,340,751","$2,568",2.0%,"10,645"
230690007,Stroke,Anthem,Commercial,"$27,018,278","$27,018,278","$71,288",16.8%,379
254837009,Malignant neoplasm of breast (disorder),Anthem,Commercial,"$26,569,851","$26,569,851","$4,183",7.8%,"6,352"
307426000,Acute infective cystitis (disorder),UnitedHealthcare,Commercial,"$26,434,834","$26,434,834","$2,353",25.1%,"11,233"
414545008,Ischemic heart disease (disorder),Blue Cross Blue Shield,Commercial,"$26,390,196","$26,390,196","$1,956",39.2%,"13,495"
43878008,Streptococcal sore throat (disorder),Medicaid,Government,"$26,086,718","$26,086,718",$529,10.8%,"49,358"
230690007,Stroke,Cigna Health,Commercial,"$25,665,709","$25,665,709","$69,367",25.0%,370
87433001,Pulmonary emphysema (disorder),Dual Eligible,Government,"$25,493,185","$25,493,185","$14,452",0.2%,"1,764"
444814009,Viral sinusitis (disorder),Medicaid,Government,"$25,203,490","$25,203,490",$134,42.0%,"187,790"
