Grain,Pct Entities,Pct Spend
Organisations,59,99.60
Organisations,60,99.64
Organisations,61,99.67
Organisations,62,99.70
Organisations,63,99.72
Organisations,64,99.75
Organisations,65,99.77
Organisations,66,99.79
Organisations,67,99.81
Organisations,68,99.83
Organisations,69,99.84
Organisations,70,99.86
Organisations,71,99.87
Organisations,72,99.88
Organisations,73,99.89
Organisations,74,99.90
Organisations,75,99.91
Organisations,76,99.92
Organisations,77,99.93
Organisations,78,99.94
Organisations,79,99.95
Organisations,80,99.95
Organisations,81,99.96
Organisations,82,99.96
Organisations,83,99.97
Organisations,84,99.97
Organisations,85,99.98
Organisations,86,99.98
Organisations,87,99.98
Organisations,88,99.99
Organisations,89,99.99
Organisations,90,99.99
Organisations,91,99.99
Organisations,92,99.99
Organisations,93,100.00
Organisations,94,100.00
Organisations,95,100.00
Organisations,96,100.00
Organisations,97,100.00
Organisations,98,100.00
Organisations,99,100.00
Organisations,100,100.00
Patients,1,11.75
Patients,2,17.86
Patients,3,23.02
Patients,4,27.63
Patients,5,31.80
Patients,6,35.62
Patients,7,39.14
Patients,8,42.40
Patients,9,45.42
Patients,10,48.24
Patients,11,50.89
Patients,12,53.40
Patients,13,55.76
Patients,14,58.00
Patients,15,60.11
Patients,16,62.10
Patients,17,63.96
Patients,18,65.69
Patients,19,67.28
Patients,20,68.75
Patients,21,70.10
Patients,22,71.35
Patients,23,72.53
Patients,24,73.63
Patients,25,74.67
Patients,26,75.65
Patients,27,76.59
Patients,28,77.48
Patients,29,78.33
Patients,30,79.14
Patients,31,79.92
Patients,32,80.66
Patients,33,81.37
Patients,34,82.05
Patients,35,82.71
Patients,36,83.34
Patients,37,83.94
Patients,38,84.52
Patients,39,85.09
Patients,40,85.63
Patients,41,86.15
Patients,42,86.65
Patients,43,87.14
Patients,44,87.61
Patients,45,88.06
Patients,46,88.50
Patients,47,88.93
Patients,48,89.34
Patients,49,89.74
Patients,50,90.13
Patients,51,90.51
Patients,52,90.87
Patients,53,91.23
Patients,54,91.58
Patients,55,91.91
Patients,56,92.24
Patients,57,92.56
Patients,58,92.87
Patients,59,93.17
Patients,60,93.47
Patients,61,93.76
Patients,62,94.04
Patients,63,94.31
Patients,64,94.57
Patients,65,94.83
Patients,66,95.09
Patients,67,95.33
Patients,68,95.57
Patients,69,95.80
Patients,70,96.03
Patients,71,96.25
Patients,72,96.47
Patients,73,96.68
Patients,74,96.88
Patients,75,97.08
Patients,76,97.27
Patients,77,97.45
Patients,78,97.64
Patients,79,97.81
Patients,80,97.98
Patients,81,98.14
Patients,82,98.30
Patients,83,98.45
Patients,84,98.60
Patients,85,98.74
Patients,86,98.87
Patients,87,99.00
Patients,88,99.12
Patients,89,99.24
Patients,90,99.34
Patients,91,99.44
Patients,92,99.54
Patients,93,99.63
Patients,94,99.71
Patients,95,99.78
Patients,96,99.85
Patients,97,99.91
Patients,98,99.95
Patients,99,99.98
Patients,100,100.00
