Condition,Rank by total spending,Rank by what patients pay,Places moved (+ = patients pay more than its size suggests),% of the bill patients pay,Total billed,Paid by patients,% of everything patients pay,People affected,Paid per person over 5 years,Pattern
Fracture of forearm,119,110,9,50.6,1508496,763051,0.01,20720,37,Patients carry an unusually large share
Fracture of clavicle,121,111,10,54.3,1286089,698542,0.01,17837,39,Patients carry an unusually large share
Gout,117,112,5,41.8,1566703,655622,0.01,2885,227,Patients carry an unusually large share
Fracture of ankle,123,113,10,53.4,1175573,628277,0.00,16125,39,Patients carry an unusually large share
Fracture subluxation of wrist,124,114,10,54.3,1149409,624380,0.00,15769,40,Patients carry an unusually large share
Opioid abuse (disorder),115,115,0,32.3,1911971,618030,0.00,948,652,About what its size would suggest
Body mass index 40+ - severely obese (finding),131,116,15,59.3,923325,547497,0.00,631,868,Patients carry an unusually large share
Perennial allergic rhinitis with seasonal variation,135,117,18,71.2,764414,544462,0.00,4270,128,Patients carry an unusually large share
Gunshot wound (disorder),127,118,9,49.5,1040724,514908,0.00,1834,281,Patients carry an unusually large share
Perennial allergic rhinitis,137,119,18,70.0,718899,503339,0.00,4096,123,Patients carry an unusually large share
Small cell carcinoma of lung (disorder),106,120,-14,9.5,5039500,480513,0.00,424,1133,Insurers absorb an unusually large share
Localized  primary osteoarthritis of the hand,132,121,11,52.6,890888,468327,0.00,3850,122,Patients carry an unusually large share
Concussion with loss of consciousness,139,122,17,67.9,653037,443599,0.00,9027,49,Patients carry an unusually large share
Cystic Fibrosis,102,123,-21,6.1,6927062,421370,0.00,91,4630,Insurers absorb an unusually large share
Congenital uterine anomaly,111,124,-13,16.0,2569367,411437,0.00,1774,232,Insurers absorb an unusually large share
Pneumonia (disorder),101,125,-24,5.5,7455752,410902,0.00,2028,203,Insurers absorb an unusually large share
Epidermal burn of skin (disorder),129,126,3,42.7,959494,410012,0.00,13306,31,About what its size would suggest
Osteoarthritis of hip,134,127,7,51.6,787098,406390,0.00,3403,119,Patients carry an unusually large share
Atopic dermatitis,120,128,-8,25.8,1351579,348460,0.00,5219,67,Insurers absorb an unusually large share
Kidney transplant failure and rejection (disorder),113,129,-16,12.8,2435429,310683,0.00,1558,199,Insurers absorb an unusually large share
Primary fibromyalgia syndrome,125,130,-5,26.7,1126346,300407,0.00,3456,87,Insurers absorb an unusually large share
Second degree burn,140,131,9,41.9,646754,270988,0.00,8789,31,Patients carry an unusually large share
Fracture of rib,143,132,11,46.2,576170,265959,0.00,7964,33,Patients carry an unusually large share
Seasonal allergic rhinitis,150,133,17,68.4,384364,263028,0.00,2037,129,Patients carry an unusually large share
Tongue tie (disorder),118,134,-16,17.0,1529864,260327,0.00,763,341,Insurers absorb an unusually large share
Contact dermatitis,148,135,13,62.1,410648,254898,0.00,2205,116,Patients carry an unusually large share
Complication occuring during pregnancy,116,136,-20,15.6,1608983,250667,0.00,1079,232,Insurers absorb an unusually large share
Posttraumatic stress disorder,138,137,1,35.0,693574,242552,0.00,356,681,About what its size would suggest
Smokes tobacco daily,141,138,3,37.4,646753,241858,0.00,444,545,About what its size would suggest
Macular edema and retinopathy due to type 2 diabetes mellitus (disorder),126,139,-13,21.3,1059720,226046,0.00,673,336,Insurers absorb an unusually large share
Acquired immune deficiency syndrome (disorder),122,140,-18,18.4,1206890,222038,0.00,59,3763,Insurers absorb an unusually large share
Acute myeloid leukemia  disease (disorder),146,141,5,44.2,439525,194389,0.00,181,1074,Patients carry an unusually large share
Closed fracture of hip,147,142,5,45.1,428175,193110,0.00,5832,33,Patients carry an unusually large share
Alcoholism,145,143,2,40.2,476379,191452,0.00,364,526,About what its size would suggest
Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder),133,144,-11,21.6,832338,179679,0.00,539,333,Insurers absorb an unusually large share
Major depression  single episode,155,145,10,78.8,200123,157710,0.00,286,551,Patients carry an unusually large share
Torus mandibularis (disorder),136,146,-10,18.9,759904,143978,0.00,383,376,Insurers absorb an unusually large share
Major depression disorder,152,147,5,47.7,296512,141486,0.00,255,555,Patients carry an unusually large share
Mitral valve regurgitation (disorder),142,148,-6,23.0,594418,136580,0.00,1035,132,Insurers absorb an unusually large share
Rheumatoid arthritis,154,149,5,50.0,200663,100376,0.00,708,142,Patients carry an unusually large share
Meningomyelocele (disorder),156,150,6,49.5,187511,92741,0.00,121,766,Patients carry an unusually large share
Traumatic injury of spinal cord and/or vertebral column (disorder),157,151,6,56.0,164018,91790,0.00,868,106,Patients carry an unusually large share
Infectious mediastinitis (disorder),130,152,-22,8.5,958964,81415,0.00,1053,77,Insurers absorb an unusually large share
Bullet wound,158,153,5,46.5,162540,75610,0.00,1834,41,Patients carry an unusually large share
Acute renal failure on dialysis (disorder),153,154,-1,13.6,276403,37580,0.00,3,12527,About what its size would suggest
Fracture of vertebral column without spinal cord injury,164,155,9,50.7,69530,35243,0.00,672,52,Patients carry an unusually large share
Renal dysplasia (disorder),168,156,12,69.3,41182,28520,0.00,83,344,Patients carry an unusually large share
Suicidal deliberate poisoning,163,157,6,34.2,82304,28113,0.00,31,907,Patients carry an unusually large share
Third degree burn,165,158,7,40.4,66330,26799,0.00,925,29,Patients carry an unusually large share
Postoperative renal failure (disorder),144,159,-15,4.1,561153,22935,0.00,7,3276,Insurers absorb an unusually large share
Tricuspid valve regurgitation (disorder),160,160,0,18.8,121101,22811,0.00,165,138,About what its size would suggest
Leukemia  disease (disorder),162,161,1,19.6,100706,19761,0.00,812,24,About what its size would suggest
Lupus erythematosus,169,162,7,36.5,38016,13865,0.00,115,121,Patients carry an unusually large share
Fracture of the vertebral column with spinal cord injury,174,163,11,53.0,25017,13259,0.00,220,60,Patients carry an unusually large share
Pulmonic valve regurgitation (disorder),173,164,9,46.1,26457,12205,0.00,55,222,Patients carry an unusually large share
Attempted suicide - cut/stab,171,165,6,40.0,30512,12194,0.00,11,1109,Patients carry an unusually large share
Excessive salivation (disorder),159,166,-7,8.5,136422,11595,0.00,140,83,Insurers absorb an unusually large share
Traumatic brain injury (disorder),175,167,8,44.0,22606,9950,0.00,18,553,Patients carry an unusually large share
Multiple myeloma (disorder),166,168,-2,17.7,51885,9200,0.00,419,22,About what its size would suggest
Attempted suicide - suffocation,172,169,3,17.8,26719,4751,0.00,11,432,About what its size would suggest
Cardiac arrest (disorder),176,170,6,35.5,11737,4168,0.00,92,45,Patients carry an unusually large share
Acute respiratory failure (disorder),170,171,-1,9.6,31461,3036,0.00,17,179,About what its size would suggest
Blindness due to type 2 diabetes mellitus (disorder),167,172,-5,6.1,44326,2721,0.00,20,136,Insurers absorb an unusually large share
Spina bifida occulta (disorder),179,173,6,52.6,2716,1429,0.00,23,62,Patients carry an unusually large share
Postoperative myocardial infarction (disorder),149,174,-25,0.3,384629,1216,0.00,6,203,Insurers absorb an unusually large share
Meningocele (disorder),181,175,6,57.2,1039,594,0.00,9,66,Patients carry an unusually large share
Idiopathic atrophic hypothyroidism,183,176,7,62.4,537,335,0.00,1825,0,Patients carry an unusually large share
Acute respiratory insufficiency (disorder),161,177,-16,0.3,110501,290,0.00,3,97,Insurers absorb an unusually large share
At risk for suicide (finding),184,178,6,56.1,504,283,0.00,3,94,Patients carry an unusually large share
Proteinuria due to type 2 diabetes mellitus (disorder),178,179,-1,7.1,3633,258,0.00,4,64,About what its size would suggest
Non-small cell carcinoma of lung  TNM stage 2 (disorder),128,180,-52,0.0,1004610,233,0.00,1,233,Insurers absorb an unusually large share
Sepsis caused by Staphylococcus aureus,180,181,-1,21.0,1111,233,0.00,1,233,About what its size would suggest
Anticoagulant-induced bleeding (disorder),151,182,-31,0.1,360070,197,0.00,13,15,Insurers absorb an unusually large share
Sepsis caused by Pseudomonas (disorder),177,183,-6,0.8,8776,70,0.00,7,10,Insurers absorb an unusually large share
Mitral valve stenosis (disorder),182,184,-2,0.0,695,0,0.00,1,0,About what its size would suggest
Postoperative complication,185,185,0,0.0,157,0,0.00,1,0,About what its size would suggest
