Rank,Condition Code,Condition,Total Billed,% of Attributable,Cumulative % of Attributable,% of All Spend,Cumulative % of All Spend,Patients,Claims,Cost per Patient,Median Cost per Patient,Cost per Claim,Claims per Patient,% Inpatient,% Borne by Patient
14,109570002,Primary dental caries (disorder),757131663.87,1.04,85.73,0.76,62.87,166232,281343,4554.67,4040.63,2691.13,1.7,0.0,30.3
15,192127007,Child attention deficit disorder,752948402.19,1.04,86.77,0.76,63.63,7232,81096,104113.44,64565.13,9284.66,11.2,0.0,13.3
16,414545008,Ischemic heart disease (disorder),726643398.71,1.00,87.77,0.73,64.37,46534,383463,15615.32,12700.85,1894.95,8.2,0.0,18.4
17,6525002,Dependent drug abuse (disorder),622280744.81,0.86,88.62,0.63,64.99,97898,1424098,6356.42,5953.80,436.96,14.5,2.2,24.7
18,10509002,Acute bronchitis (disorder),587268603.84,0.81,89.43,0.59,65.59,271285,637961,2164.77,653.54,920.54,2.4,0.0,33.3
19,230690007,Stroke,529442721.69,0.73,90.16,0.53,66.12,2597,7487,203867.05,203575.53,70714.94,2.9,0.1,13.3
20,307426000,Acute infective cystitis (disorder),451842220.78,0.62,90.78,0.46,66.58,63850,197391,7076.62,5546.61,2289.07,3.1,0.0,29.8
21,125605004,Fracture of bone (disorder),407234912.26,0.56,91.34,0.41,66.99,82213,199208,4953.41,1536.43,2044.27,2.4,0.0,18.5
22,427898007,Infection of tooth (disorder),352660516.26,0.49,91.83,0.36,67.34,58182,92019,6061.33,5633.57,3832.47,1.6,0.0,26.4
23,88805009,Chronic congestive heart failure (disorder),338872250.23,0.47,92.29,0.34,67.69,9829,508486,34476.78,29858.42,666.43,51.7,27.1,8.5
24,196416002,Impacted molars,318073629.15,0.44,92.73,0.32,68.01,6984,57898,45543.19,37555.62,5493.69,8.3,0.0,19.0
25,363406005,Malignant tumor of colon,288070634.14,0.40,93.13,0.29,68.30,4784,52184,60215.43,64908.43,5520.29,10.9,20.5,7.3
26,82423001,Chronic pain (finding),275377466.01,0.38,93.51,0.28,68.58,31047,242473,8869.70,1266.23,1135.70,7.8,0.0,22.9
27,195662009,Acute viral pharyngitis (disorder),272078917.94,0.37,93.88,0.27,68.85,313989,368489,866.52,82.02,738.36,1.2,0.0,43.5
28,37320007,Loss of teeth (disorder),209508979.54,0.29,94.17,0.21,69.06,106191,211353,1972.94,2012.46,991.28,2.0,0.0,23.7
29,91302008,Sepsis (disorder),203887177.29,0.28,94.45,0.21,69.27,5130,18055,39744.09,6994.18,11292.56,3.5,0.0,25.9
30,109838007,Overlapping malignant neoplasm of colon,169195032.91,0.23,94.68,0.17,69.44,5209,24681,32481.29,16021.97,6855.27,4.7,38.9,7.4
31,26929004,Alzheimer's disease (disorder),163900031.28,0.23,94.91,0.17,69.60,19275,67813,8503.24,4837.93,2416.94,3.5,0.0,4.7
32,22298006,Myocardial infarction (disorder),147703092.32,0.20,95.11,0.15,69.75,12567,41669,11753.25,10325.30,3544.68,3.3,0.0,15.5
33,278558000,Dental filling lost (finding),146903117.27,0.20,95.31,0.15,69.90,34912,54570,4207.81,4040.63,2692.01,1.6,0.0,27.3
34,278602001,Loose dental filling (finding),146545613.79,0.20,95.52,0.15,70.05,34846,54550,4205.52,4040.63,2686.45,1.6,0.0,26.9
35,278598003,Leaking dental filling (finding),146498025.08,0.20,95.72,0.15,70.20,34799,54584,4209.83,4040.63,2683.90,1.6,0.0,27.1
36,278588009,Fractured dental filling (finding),145815254.04,0.20,95.92,0.15,70.34,34683,54231,4204.23,4040.63,2688.78,1.6,0.0,27.2
37,87433001,Pulmonary emphysema (disorder),136317695.19,0.19,96.10,0.14,70.48,5904,11192,23089.04,9101.12,12179.92,1.9,65.5,9.3
38,401314000,Acute non-ST segment elevation myocardial infarction (disorder),130676972.90,0.18,96.28,0.13,70.61,6922,49947,18878.50,14900.59,2616.31,7.2,92.7,9.3
39,64859006,Osteoporosis (disorder),126370795.83,0.17,96.46,0.13,70.74,12486,55210,10121.00,7723.61,2288.91,4.4,0.0,15.2
40,840544004,Suspected COVID-19,123197608.92,0.17,96.63,0.12,70.86,121188,203820,1016.58,76.67,604.44,1.7,0.3,39.0
41,271737000,Anemia (disorder),121478486.16,0.17,96.80,0.12,70.99,67419,129713,1801.84,1462.18,936.52,1.9,0.0,38.9
42,401303003,Acute ST segment elevation myocardial infarction (disorder),109734749.06,0.15,96.95,0.11,71.10,8227,41071,13338.37,11300.09,2671.83,5.0,95.3,9.6
43,185086009,Chronic obstructive bronchitis (disorder),107625431.23,0.15,97.09,0.11,71.21,4815,8998,22352.11,8727.69,11961.04,1.9,64.5,9.2
44,444814009,Viral sinusitis (disorder),105288112.77,0.14,97.24,0.11,71.31,494629,752414,212.86,71.63,139.93,1.5,0.0,51.7
45,43878008,Streptococcal sore throat (disorder),104575266.67,0.14,97.38,0.11,71.42,83554,167955,1251.59,944.46,622.64,2.0,0.0,39.4
46,59621000,Essential hypertension (disorder),91383064.90,0.13,97.51,0.09,71.51,62669,381925,1458.19,1236.54,239.27,6.1,0.0,51.8
47,162864005,Body mass index 30+ - obesity (finding),76393125.36,0.11,97.61,0.08,71.59,59466,125892,1284.65,1075.67,606.81,2.1,0.0,56.0
48,444448004,Injury of medial collateral ligament of knee,68226231.75,0.09,97.71,0.07,71.66,4121,7305,16555.75,12040.53,9339.66,1.8,100.0,24.7
49,55822004,Hyperlipidemia,66444074.55,0.09,97.80,0.07,71.72,111663,996227,595.04,360.88,66.70,8.9,0.0,37.5
50,74400008,Appendicitis,65360250.91,0.09,97.89,0.07,71.79,5515,11053,11851.36,8395.71,5913.35,2.0,98.9,30.0
51,49436004,Atrial fibrillation (disorder),63363449.14,0.09,97.98,0.06,71.85,2642,18474,23983.14,18664.50,3429.87,7.0,0.0,12.2
52,80583007,Severe anxiety (panic) (finding),60576965.16,0.08,98.06,0.06,71.91,40629,136166,1490.98,1145.28,444.88,3.4,0.0,30.1
53,61804006,Alveolitis of jaw (disorder),60030421.06,0.08,98.14,0.06,71.97,23293,23884,2577.19,2544.35,2513.42,1.0,0.0,17.2
54,10939881000119105,Unhealthy alcohol drinking behavior (finding),59549813.84,0.08,98.22,0.06,72.03,39960,130756,1490.24,1160.35,455.43,3.3,0.0,38.1
55,30832001,Rupture of patellar tendon,56240424.28,0.08,98.30,0.06,72.09,3358,5978,16748.19,11780.43,9407.90,1.8,100.0,24.3
56,86406008,Human immunodeficiency virus infection (disorder),55032803.65,0.08,98.38,0.06,72.15,2514,30215,21890.53,21634.40,1821.37,12.0,0.0,33.4
57,431855005,Chronic kidney disease stage 1 (disorder),54504254.06,0.07,98.45,0.05,72.20,31824,130940,1712.68,1322.24,416.25,4.1,0.0,33.6
58,128613002,Seizure disorder,53915126.89,0.07,98.53,0.05,72.26,3868,10190,13938.76,10876.04,5290.98,2.6,0.0,19.8
59,60573004,Aortic valve stenosis (disorder),53214478.24,0.07,98.60,0.05,72.31,3763,22539,14141.50,4858.50,2361.00,6.0,26.2,11.2
60,444470001,Injury of anterior cruciate ligament,48959097.80,0.07,98.67,0.05,72.36,3006,5352,16287.13,11524.40,9147.81,1.8,100.0,24.1
61,431856006,Chronic kidney disease stage 2 (disorder),48255449.05,0.07,98.73,0.05,72.41,30219,123778,1596.86,1272.64,389.85,4.1,0.0,30.6
62,65363002,Otitis media,46826485.86,0.06,98.80,0.05,72.46,79046,279291,592.40,423.73,167.66,3.5,0.0,61.5
63,15777000,Prediabetes,45844293.67,0.06,98.86,0.05,72.50,36093,72690,1270.17,1063.32,630.68,2.0,0.0,51.6
64,433144002,Chronic kidney disease stage 3 (disorder),38117051.34,0.05,98.91,0.04,72.54,24836,102698,1534.75,1231.66,371.16,4.1,0.0,24.8
65,237602007,Metabolic syndrome X (disorder),37067922.33,0.05,98.96,0.04,72.58,25417,88155,1458.39,1079.67,420.49,3.5,0.0,40.3
66,94260004,Secondary malignant neoplasm of colon,34001317.00,0.05,99.01,0.03,72.61,598,7032,56858.39,62870.95,4835.23,11.8,5.2,8.1
67,156073000,Complete miscarriage (disorder),31900369.72,0.04,99.05,0.03,72.64,20828,22099,1531.61,1111.35,1443.52,1.1,0.0,17.3
68,60234000,Aortic valve regurgitation (disorder),31884307.07,0.04,99.10,0.03,72.68,3046,18700,10467.60,3514.77,1705.04,6.1,30.7,18.3
69,79586000,Tubal pregnancy,29230396.20,0.04,99.14,0.03,72.71,4167,8350,7014.73,5654.31,3500.65,2.0,78.9,15.8
70,384709000,Sprain (morphologic abnormality),28910320.62,0.04,99.18,0.03,72.73,85452,175102,338.32,298.59,165.11,2.0,0.0,55.4
71,126906006,Neoplasm of prostate,27681487.51,0.04,99.22,0.03,72.76,2867,9964,9655.21,7466.88,2778.15,3.5,0.0,7.7
72,254637007,Non-small cell lung cancer (disorder),26749895.91,0.04,99.25,0.03,72.79,2340,3480,11431.58,7979.96,7686.75,1.5,0.0,8.6
73,361055000,Misuses drugs (finding),25972158.19,0.04,99.29,0.03,72.82,18264,54028,1422.04,1147.72,480.72,3.0,0.0,43.8
74,36971009,Sinusitis (disorder),22130305.24,0.03,99.32,0.02,72.84,35702,90336,619.86,162.90,244.98,2.5,0.0,39.8
75,39898005,Sleep disorder (disorder),22082500.79,0.03,99.35,0.02,72.86,7676,22889,2876.82,2759.50,964.76,3.0,34.1,30.3
76,93761005,Primary malignant neoplasm of colon,21652997.50,0.03,99.38,0.02,72.88,2147,2572,10085.23,5576.33,8418.74,1.2,41.2,5.3
77,241929008,Acute allergic reaction,21341896.39,0.03,99.41,0.02,72.90,8089,16806,2638.39,1941.21,1269.90,2.1,0.0,33.2
78,46752004,Torus palatinus (disorder),20832131.23,0.03,99.44,0.02,72.92,9560,9576,2179.09,2112.63,2175.45,1.0,0.0,17.0
79,263172003,Fracture of mandible (disorder),20682827.55,0.03,99.47,0.02,72.95,2210,11131,9358.75,7595.63,1858.13,5.0,0.0,31.0
80,44054006,Diabetes mellitus type 2 (disorder),18852313.82,0.03,99.49,0.02,72.96,10947,31530,1722.14,1057.86,597.92,2.9,0.0,39.4
81,75498004,Acute bacterial sinusitis (disorder),18827800.26,0.03,99.52,0.02,72.98,35307,81158,533.26,145.39,231.99,2.3,0.0,39.2
82,714628002,Prediabetes (finding),18460497.43,0.03,99.54,0.02,73.00,13859,27665,1332.02,1112.25,667.29,2.0,0.0,62.2
83,230265002,Familial Alzheimer's disease of early onset (disorder),18098656.76,0.02,99.57,0.02,73.02,3284,11558,5511.16,1491.28,1565.90,3.5,0.0,8.7
84,55680006,Drug overdose,16337160.86,0.02,99.59,0.02,73.04,74549,135687,219.15,217.72,120.40,1.8,0.0,50.1
85,195967001,Asthma,15536331.17,0.02,99.61,0.02,73.05,40633,127420,382.36,356.73,121.93,3.1,0.0,57.5
86,35999006,Blighted ovum,15143408.18,0.02,99.63,0.02,73.07,10165,10468,1489.76,1111.35,1446.64,1.0,0.0,17.6
87,307731004,Injury of tendon of the rotator cuff of shoulder,14896255.45,0.02,99.65,0.02,73.08,8596,11015,1732.93,71.43,1352.36,1.3,95.8,24.5
88,81629009,Traumatic dislocation of temporomandibular joint (disorder),14184060.09,0.02,99.67,0.01,73.10,2248,10332,6309.64,6238.83,1372.83,4.6,0.0,34.8
89,65275009,Acute Cholecystitis,14009933.92,0.02,99.69,0.01,73.11,1252,16130,11190.04,7414.41,868.56,12.9,0.0,20.6
90,1255252008,Resorption of alveolar process due to dental trauma (disorder),13288872.37,0.02,99.71,0.01,73.13,6532,6557,2034.43,2056.03,2026.67,1.0,0.0,17.3
91,233678006,Childhood asthma,12609303.28,0.02,99.73,0.01,73.14,21822,72530,577.83,429.29,173.85,3.3,0.0,53.0
92,45816000,Pyelonephritis,12037111.19,0.02,99.74,0.01,73.15,1768,5284,6808.32,5527.50,2278.03,3.0,0.0,29.6
93,302870006,Hypertriglyceridemia (disorder),12020683.14,0.02,99.76,0.01,73.16,8397,23895,1431.54,1046.19,503.06,2.8,0.0,40.1
94,4557003,Preinfarction syndrome (disorder),11841306.36,0.02,99.78,0.01,73.17,609,4483,19443.85,14911.17,2641.38,7.4,94.5,10.4
95,48333001,Burn injury (morphologic abnormality),11296078.02,0.02,99.79,0.01,73.19,23049,63264,490.09,367.63,178.55,2.7,0.0,50.7
96,80394007,Hyperglycemia (disorder),11291330.83,0.02,99.81,0.01,73.20,5969,22488,1891.66,1054.04,502.10,3.8,0.0,36.7
97,368581000119106,Neuropathy due to type 2 diabetes mellitus (disorder),11144686.29,0.02,99.82,0.01,73.21,3989,13530,2793.85,1086.84,823.70,3.4,42.7,22.1
98,125601008,Injury of knee (disorder),10815322.94,0.01,99.84,0.01,73.22,13210,26270,818.72,786.47,411.70,2.0,0.0,45.5
99,90460009,Injury of neck (disorder),9148052.46,0.01,99.85,0.01,73.23,27424,54780,333.58,298.59,167.00,2.0,0.0,54.2
100,6072007,Bleeding from anus,8354290.49,0.01,99.86,0.01,73.24,752,1502,11109.43,7638.98,5562.11,2.0,0.0,24.7
101,233604007,Pneumonia (disorder),7455751.66,0.01,99.87,0.01,73.24,2028,6044,3676.41,2839.13,1233.58,3.0,0.0,5.5
102,190905008,Cystic Fibrosis,6927062.39,0.01,99.88,0.01,73.25,91,1501,76121.56,36811.62,4614.96,16.5,56.9,6.1
103,128188000,Cerebral palsy (disorder),6874878.39,0.01,99.89,0.01,73.26,1749,12330,3930.75,3983.77,557.57,7.0,0.0,15.4
104,267253006,Fetus with chromosomal abnormality,6173014.67,0.01,99.90,0.01,73.26,4197,4244,1470.82,1111.35,1454.53,1.0,0.0,16.1
105,110030002,Concussion injury of brain (disorder),5904521.18,0.01,99.91,0.01,73.27,45319,48312,130.29,118.71,122.22,1.1,0.0,61.8
106,254632001,Small cell carcinoma of lung (disorder),5039499.78,0.01,99.92,0.01,73.28,424,637,11885.61,8388.69,7911.30,1.5,0.0,9.5
107,422034002,Retinopathy due to type 2 diabetes mellitus (disorder),4803187.95,0.01,99.92,0.00,73.28,3131,10896,1534.07,1052.16,440.82,3.5,0.0,32.7
108,197927001,Recurrent urinary tract infection (disorder),4319555.00,0.01,99.93,0.00,73.28,1766,2915,2445.95,1434.50,1481.84,1.7,0.0,28.7
109,124171000119105,Chronic intractable migraine without aura,3669108.94,0.01,99.93,0.00,73.29,6944,57197,528.39,488.08,64.15,8.2,0.0,53.9
110,1551000119108,Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder),3014196.32,0.00,99.94,0.00,73.29,1932,6932,1560.14,1045.31,434.82,3.6,0.0,28.1
111,37849005,Congenital uterine anomaly,2569367.04,0.00,99.94,0.00,73.29,1774,1780,1448.35,1111.35,1443.46,1.0,0.0,16.0
112,62106007,Concussion with no loss of consciousness,2489932.49,0.00,99.94,0.00,73.30,34102,34575,73.01,71.63,72.02,1.0,0.0,67.6
113,213150003,Kidney transplant failure and rejection (disorder),2435429.17,0.00,99.95,0.00,73.30,1558,4663,1563.18,1527.12,522.29,3.0,0.0,12.8
114,239873007,Osteoarthritis of knee,2150161.04,0.00,99.95,0.00,73.30,9285,9311,231.57,199.44,230.93,1.0,0.0,51.8
115,5602001,Opioid abuse (disorder),1911970.73,0.00,99.95,0.00,73.30,948,4233,2016.85,2178.10,451.68,4.5,0.0,32.3
116,609496007,Complication occuring during pregnancy,1608983.26,0.00,99.96,0.00,73.30,1079,1082,1491.18,1111.35,1487.05,1.0,0.0,15.6
117,90560007,Gout,1566703.16,0.00,99.96,0.00,73.31,2885,6239,543.05,445.98,251.11,2.2,0.0,41.8
118,67787004,Tongue tie (disorder),1529864.09,0.00,99.96,0.00,73.31,763,763,2005.06,2056.03,2005.06,1.0,0.0,17.0
119,65966004,Fracture of forearm,1508496.30,0.00,99.96,0.00,73.31,20720,21041,72.80,71.43,71.69,1.0,0.0,50.6
120,24079001,Atopic dermatitis,1351578.92,0.00,99.96,0.00,73.31,5219,8661,258.97,218.85,156.05,1.7,0.0,25.8
121,58150001,Fracture of clavicle,1286088.65,0.00,99.97,0.00,73.31,17837,18002,72.10,71.43,71.44,1.0,0.0,54.3
122,62479008,Acquired immune deficiency syndrome (disorder),1206890.02,0.00,99.97,0.00,73.31,59,714,20455.76,21375.08,1690.32,12.1,0.0,18.4
123,16114001,Fracture of ankle,1175572.55,0.00,99.97,0.00,73.31,16125,16311,72.90,71.43,72.07,1.0,0.0,53.4
124,263102004,Fracture subluxation of wrist,1149409.36,0.00,99.97,0.00,73.32,15769,15981,72.89,71.43,71.92,1.0,0.0,54.3
125,95417003,Primary fibromyalgia syndrome,1126345.75,0.00,99.97,0.00,73.32,3456,9867,325.91,276.59,114.15,2.9,0.0,26.7
126,97331000119101,Macular edema and retinopathy due to type 2 diabetes mellitus (disorder),1059719.94,0.00,99.97,0.00,73.32,673,2535,1574.62,1021.84,418.04,3.8,0.0,21.3
127,283545005,Gunshot wound (disorder),1040724.30,0.00,99.97,0.00,73.32,1834,3570,567.46,671.35,291.52,1.9,0.0,49.5
128,425048006,Non-small cell carcinoma of lung  TNM stage 2 (disorder),1004609.77,0.00,99.98,0.00,73.32,1,180,1004609.77,1004609.77,5581.17,180.0,100.0,0.0
129,403190006,Epidermal burn of skin (disorder),959493.88,0.00,99.98,0.00,73.32,13306,13414,72.11,71.43,71.53,1.0,0.0,42.7
130,312157006,Infectious mediastinitis (disorder),958964.23,0.00,99.98,0.00,73.32,1053,1058,910.70,819.20,906.39,1.0,100.0,8.5
131,408512008,Body mass index 40+ - severely obese (finding),923325.07,0.00,99.98,0.00,73.32,631,1070,1463.27,1291.26,862.92,1.7,0.0,59.3
132,201834006,Localized  primary osteoarthritis of the hand,890887.86,0.00,99.98,0.00,73.32,3850,3877,231.40,199.44,229.79,1.0,0.0,52.6
133,1501000119109,Proliferative diabetic retinopathy due to type II diabetes mellitus (disorder),832337.89,0.00,99.98,0.00,73.32,539,2017,1544.23,1035.77,412.66,3.7,0.0,21.6
134,239872002,Osteoarthritis of hip,787097.91,0.00,99.98,0.00,73.33,3403,3419,231.30,199.44,230.21,1.0,0.0,51.6
135,232353008,Perennial allergic rhinitis with seasonal variation,764414.32,0.00,99.98,0.00,73.33,4270,5276,179.02,71.63,144.89,1.2,0.0,71.2
136,11625007,Torus mandibularis (disorder),759903.79,0.00,99.99,0.00,73.33,383,383,1984.08,2012.46,1984.08,1.0,0.0,18.9
137,446096008,Perennial allergic rhinitis,718898.77,0.00,99.99,0.00,73.33,4096,5037,175.51,71.63,142.72,1.2,0.0,70.0
138,47505003,Posttraumatic stress disorder,693573.70,0.00,99.99,0.00,73.33,356,8757,1948.24,1401.03,79.20,24.6,0.0,35.0
139,62564004,Concussion with loss of consciousness,653036.96,0.00,99.99,0.00,73.33,9027,9076,72.34,71.63,71.95,1.0,0.0,67.9
140,403191005,Second degree burn,646754.06,0.00,99.99,0.00,73.33,8789,8871,73.59,71.43,72.91,1.0,0.0,41.9
141,449868002,Smokes tobacco daily,646753.37,0.00,99.99,0.00,73.33,444,1168,1456.65,1108.79,553.73,2.6,0.0,37.4
142,48724000,Mitral valve regurgitation (disorder),594417.54,0.00,99.99,0.00,73.33,1035,1087,574.32,485.85,546.84,1.1,4.5,23.0
143,33737001,Fracture of rib,576170.46,0.00,99.99,0.00,73.33,7964,8021,72.35,71.43,71.83,1.0,0.0,46.2
144,275408006,Postoperative renal failure (disorder),561152.65,0.00,99.99,0.00,73.33,7,15,80164.66,82728.04,37410.18,2.1,100.0,4.1
145,7200002,Alcoholism,476378.86,0.00,99.99,0.00,73.33,364,1007,1308.73,1097.78,473.07,2.8,0.0,40.2
146,91861009,Acute myeloid leukemia  disease (disorder),439524.61,0.00,99.99,0.00,73.33,181,389,2428.31,1336.46,1129.88,2.1,70.8,44.2
147,359817006,Closed fracture of hip,428174.74,0.00,99.99,0.00,73.33,5832,5912,73.42,71.43,72.42,1.0,0.0,45.1
148,40275004,Contact dermatitis,410648.45,0.00,99.99,0.00,73.33,2205,2205,186.24,138.32,186.24,1.0,0.0,62.1
149,129574000,Postoperative myocardial infarction (disorder),384628.52,0.00,100.00,0.00,73.33,6,10,64104.75,27505.08,38462.85,1.7,100.0,0.3
150,367498001,Seasonal allergic rhinitis,384364.16,0.00,100.00,0.00,73.33,2037,2560,188.69,71.63,150.14,1.3,0.0,68.4
151,278365007,Anticoagulant-induced bleeding (disorder),360069.54,0.00,100.00,0.00,73.33,13,21,27697.66,13878.27,17146.17,1.6,100.0,0.1
152,370143000,Major depression disorder,296512.32,0.00,100.00,0.00,73.33,255,776,1162.79,682.52,382.10,3.0,0.0,47.7
153,129721000119106,Acute renal failure on dialysis (disorder),276402.84,0.00,100.00,0.00,73.34,3,7,92134.28,55283.04,39486.12,2.3,100.0,13.6
154,69896004,Rheumatoid arthritis,200663.40,0.00,100.00,0.00,73.34,708,1430,283.42,202.05,140.32,2.0,0.0,50.0
155,36923009,Major depression  single episode,200123.14,0.00,100.00,0.00,73.34,286,833,699.73,687.95,240.24,2.9,0.0,78.8
156,414667000,Meningomyelocele (disorder),187511.25,0.00,100.00,0.00,73.34,121,679,1549.68,595.25,276.16,5.6,26.3,49.5
157,262521009,Traumatic injury of spinal cord and/or vertebral column (disorder),164017.83,0.00,100.00,0.00,73.34,868,868,188.96,118.71,188.96,1.0,0.0,56.0
158,262574004,Bullet wound,162540.26,0.00,100.00,0.00,73.34,1834,1840,88.63,71.63,88.34,1.0,0.0,46.5
159,53827007,Excessive salivation (disorder),136421.57,0.00,100.00,0.00,73.34,140,351,974.44,736.57,388.67,2.5,0.0,8.5
160,111287006,Tricuspid valve regurgitation (disorder),121101.37,0.00,100.00,0.00,73.34,165,189,733.95,496.15,640.75,1.1,21.4,18.8
161,111282000,Acute respiratory insufficiency (disorder),110500.79,0.00,100.00,0.00,73.34,3,7,36833.60,33224.52,15785.83,2.3,100.0,0.3
162,93143009,Leukemia  disease (disorder),100706.28,0.00,100.00,0.00,73.34,812,813,124.02,118.71,123.87,1.0,100.0,19.6
163,86849004,Suicidal deliberate poisoning,82304.27,0.00,100.00,0.00,73.34,31,64,2654.98,2098.81,1286.00,2.1,0.0,34.2
164,15724005,Fracture of vertebral column without spinal cord injury,69529.89,0.00,100.00,0.00,73.34,672,1152,103.47,85.86,60.36,1.7,0.0,50.7
165,403192003,Third degree burn,66330.32,0.00,100.00,0.00,73.34,925,930,71.71,71.43,71.32,1.0,0.0,40.4
166,109989006,Multiple myeloma (disorder),51884.88,0.00,100.00,0.00,73.34,419,419,123.83,118.71,123.83,1.0,100.0,17.7
167,60951000119105,Blindness due to type 2 diabetes mellitus (disorder),44326.21,0.00,100.00,0.00,73.34,20,83,2216.31,931.96,534.05,4.2,0.0,6.1
168,204949001,Renal dysplasia (disorder),41181.59,0.00,100.00,0.00,73.34,83,83,496.16,451.22,496.16,1.0,0.0,69.3
169,200936003,Lupus erythematosus,38015.87,0.00,100.00,0.00,73.34,115,418,330.57,293.23,90.95,3.6,0.0,36.5
170,65710008,Acute respiratory failure (disorder),31461.23,0.00,100.00,0.00,73.34,17,32,1850.66,1806.76,983.16,1.9,0.0,9.6
171,287185009,Attempted suicide - cut/stab,30512.17,0.00,100.00,0.00,73.34,11,24,2773.83,2650.14,1271.34,2.2,0.0,40.0
172,287182007,Attempted suicide - suffocation,26718.94,0.00,100.00,0.00,73.34,11,22,2428.99,2032.28,1214.50,2.0,0.0,17.8
173,91434003,Pulmonic valve regurgitation (disorder),26456.99,0.00,100.00,0.00,73.34,55,55,481.04,485.85,481.04,1.0,0.0,46.1
174,1734006,Fracture of the vertebral column with spinal cord injury,25017.14,0.00,100.00,0.00,73.34,220,305,113.71,111.12,82.02,1.4,0.0,53.0
175,127295002,Traumatic brain injury (disorder),22605.95,0.00,100.00,0.00,73.34,18,31,1255.89,1195.39,729.22,1.7,0.0,44.0
176,410429000,Cardiac arrest (disorder),11736.57,0.00,100.00,0.00,73.34,92,92,127.57,131.50,127.57,1.0,0.0,35.5
177,448813005,Sepsis caused by Pseudomonas (disorder),8776.38,0.00,100.00,0.00,73.34,7,12,1253.77,1242.51,731.37,1.7,0.0,0.8
178,157141000119108,Proteinuria due to type 2 diabetes mellitus (disorder),3633.35,0.00,100.00,0.00,73.34,4,18,908.34,772.23,201.85,4.5,0.0,7.1
179,76916001,Spina bifida occulta (disorder),2715.79,0.00,100.00,0.00,73.34,23,23,118.08,119.05,118.08,1.0,0.0,52.6
180,448417001,Sepsis caused by Staphylococcus aureus,1111.01,0.00,100.00,0.00,73.34,1,1,1111.01,1111.01,1111.01,1.0,0.0,21.0
181,171131006,Meningocele (disorder),1039.42,0.00,100.00,0.00,73.34,9,9,115.49,115.10,115.49,1.0,0.0,57.2
182,79619009,Mitral valve stenosis (disorder),695.04,0.00,100.00,0.00,73.34,1,5,695.04,695.04,139.01,5.0,0.0,0.0
183,83664006,Idiopathic atrophic hypothyroidism,536.78,0.00,100.00,0.00,73.34,1825,1825,0.29,0.27,0.29,1.0,0.0,62.4
184,225444004,At risk for suicide (finding),503.97,0.00,100.00,0.00,73.34,3,8,167.99,132.72,63.00,2.7,93.2,56.1
185,385486001,Postoperative complication,156.90,0.00,100.00,0.00,73.34,1,1,156.90,156.90,156.90,1.0,0.0,0.0
