Procedure Code,Procedure Name,Payer Name,Payer Type,Total Billed,Total Paid,Gap: Billed Minus Paid,Gap as % of Billed,Number of Claims
446987006,Determination of susceptibility of Human immunodeficiency virus 1 to panel of antiretroviral drugs using genotypic technique (procedure),Cigna Health,Commercial,"$23,903","$23,903",$0,0.0%,49
854905,(no description on file),Medicare,Government,"$5,721","$5,721",$0,0.0%,22
108219001,Physician visit with evaluation AND/OR management service (procedure),Aetna,Commercial,"$2,272","$2,272",$0,0.0%,19
387685009,Surgical manipulation of shoulder joint,Anthem,Commercial,"$901,536","$901,536",$0,0.0%,56
418891003,Computed tomography of chest and abdomen,UnitedHealthcare,Commercial,"$390,580","$390,580",$0,0.0%,53
197905,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,"$1,614","$1,614",$0,0.0%,7
856457,(no description on file),Dual Eligible,Government,"$2,587","$2,587",$0,0.0%,11
167252002,Urine pregnancy test (procedure),Anthem,Commercial,"$8,915","$8,915",$0,0.0%,16
801095,(no description on file),UnitedHealthcare,Commercial,"$1,413","$1,413",$0,0.0%,5
429609002,Lung volume reduction surgery (procedure),Anthem,Commercial,"$245,611","$245,611",$0,0.0%,9
200346,(no description on file),UnitedHealthcare,Commercial,"$5,721","$5,721",$0,0.0%,22
180030006,Amputation of right foot,Anthem,Commercial,"$169,384","$169,384",$0,0.0%,9
113120007,Interstitial brachytherapy (procedure),Dual Eligible,Government,"$135,063","$135,063",$0,0.0%,8
225415001,Close observation (regime/therapy),Cigna Health,Commercial,"$2,669","$2,669",$0,0.0%,6
349353,(no description on file),Medicaid,Government,"$3,067","$3,067",$0,0.0%,13
349201,(no description on file),UnitedHealthcare,Commercial,$339,$339,$0,0.0%,2
859426,(no description on file),Medicare,Government,$757,$757,$0,0.0%,3
1373463,(no description on file),Anthem,Commercial,"$17,519","$17,519",$0,0.0%,3
896762,(no description on file),Anthem,Commercial,$470,$470,$0,0.0%,2
856448,(no description on file),Blue Cross Blue Shield,Commercial,$522,$522,$0,0.0%,2
861646,(no description on file),Blue Cross Blue Shield,Commercial,$308,$308,$0,0.0%,1
709640007,Doppler ultrasonography of renal vein (procedure),UnitedHealthcare,Commercial,$484,$484,$0,0.0%,1
1373463,(no description on file),Aetna,Commercial,"$15,337","$15,337",$0,0.0%,2
33879002,Administration of vaccine to produce active immunity (procedure),Aetna,Commercial,"$15,376,592","$15,376,592",$0,0.0%,"131,453"
225362009,Dental care (regime/therapy),Medicare,Government,"$456,461,554","$456,461,554",$0,0.0%,"933,303"
183460006,Obstetric emergency hospital admission,Medicaid,Government,"$8,285,689","$8,285,689",$0,0.0%,"66,125"
310798,(no description on file),Medicaid,Government,"$511,432","$511,432",$0,0.0%,"524,741"
424619006,Prenatal visit,Aetna,Commercial,"$12,971,024","$12,971,024",$0,0.0%,"109,275"
630208,(no description on file),Aetna,Commercial,"$6,379,445","$6,379,445",$0,0.0%,"24,504"
979464,(no description on file),UnitedHealthcare,Commercial,$261,$261,$0,0.0%,1
207,(no description on file),Medicaid,Government,"$22,407,360","$22,407,360",$0,0.0%,"164,747"
243063003,Postoperative procedure education (procedure),Humana,Commercial,"$681,556","$681,556",$0,0.0%,"1,352"
106892,(no description on file),Anthem,Commercial,"$59,130,694","$59,130,694",$0,0.0%,"119,201"
715252007,Depression screening using Patient Health Questionnaire Nine Item score (procedure),Aetna,Commercial,"$2,416","$2,416",$0,0.0%,"50,441"
305336008,Admission to hospice (procedure),Dual Eligible,Government,"$1,490,339","$1,490,339",$0,0.0%,"12,257"
183452005,Emergency hospital admission (procedure),Medicaid,Government,"$993,835","$993,835",$0,0.0%,"13,506"
173291009,Simple extraction of tooth (procedure),Medicaid,Government,"$11,493,259","$11,493,259",$0,0.0%,"24,958"
386478007,Triage emergency center (procedure),Medicaid,Government,"$3,322,827","$3,322,827",$0,0.0%,"7,150"
410770002,Administration of anesthesia for procedure (procedure),Medicare,Government,"$3,792,184","$3,792,184",$0,0.0%,"7,731"
212,(no description on file),Blue Cross Blue Shield,Commercial,"$416,840","$416,840",$0,0.0%,"3,065"
895996,(no description on file),Blue Cross Blue Shield,Commercial,"$2,964,915","$2,964,915",$0,0.0%,"11,645"
76746007,Cardiovascular stress testing (procedure),Medicare,Government,"$629,664","$629,664",$0,0.0%,"1,287"
290045001,Kitchen practice,Cigna Health,Commercial,"$707,245","$707,245",$0,0.0%,"1,448"
2103182,(no description on file),Dual Eligible,Government,"$29,481","$29,481",$0,0.0%,"2,845"
225386006,Pre-discharge assessment (procedure),Medicare,Government,"$13,738,635","$13,738,635",$0,0.0%,"28,038"
389221,(no description on file),Cigna Health,Commercial,"$285,542","$285,542",$0,0.0%,"5,555"
10,(no description on file),Anthem,Commercial,"$2,593,384","$2,593,384",$0,0.0%,"19,069"
854252,(no description on file),Blue Cross Blue Shield,Commercial,"$70,956","$70,956",$0,0.0%,"4,109"
117010004,Urine culture,Anthem,Commercial,"$32,116,523","$32,116,523",$0,0.0%,"16,835"
133899007,Postoperative care (regime/therapy),NO_INSURANCE,Self-Pay / Uninsured,"$1,356,217","$1,356,217",$0,0.0%,"2,606"
542347,(no description on file),Dual Eligible,Government,$259,$259,$0,0.0%,"1,694"
183478001,Emergency hospital admission for asthma,Aetna,Commercial,"$264,742","$264,742",$0,0.0%,"2,191"
855332,(no description on file),Aetna,Commercial,"$19,632","$19,632",$0,0.0%,"1,720"
104435004,Screening for occult blood in feces (procedure),Medicaid,Government,"$27,095,792","$27,095,792",$0,0.0%,"5,004"
314098000,Rubella screening test (procedure),Blue Cross Blue Shield,Commercial,"$2,434,730","$2,434,730",$0,0.0%,"4,784"
308283009,Discharge from hospital (procedure),Aetna,Commercial,"$1,406,835","$1,406,835",$0,0.0%,"2,790"
304531008,Treatment side effects education (procedure),Medicare,Government,"$443,326","$443,326",$0,0.0%,901
71493000,Transfusion of packed red blood cells (procedure),Cigna Health,Commercial,"$1,410,970","$1,410,970",$0,0.0%,"1,045"
409023009,Professional / ancillary services care (regime/therapy),Blue Cross Blue Shield,Commercial,"$9,143,408","$9,143,408",$0,0.0%,"3,410"
168594001,Clavicle X-ray,Medicaid,Government,"$1,953,985","$1,953,985",$0,0.0%,"4,195"
54550000,Electroencephalogram (procedure),Blue Cross Blue Shield,Commercial,"$2,893,887","$2,893,887",$0,0.0%,300
351136,(no description on file),Dual Eligible,Government,"$945,579","$945,579",$0,0.0%,"4,134"
90470006,Prostatectomy,Medicaid,Government,"$1,132,275","$1,132,275",$0,0.0%,181
1870230,(no description on file),Anthem,Commercial,"$251,752","$251,752",$0,0.0%,"1,183"
1505002,Hospital admission for isolation (procedure),Cigna Health,Commercial,"$215,498","$215,498",$0,0.0%,"1,786"
165829005,Gonorrhea infection titer test (procedure),Medicare,Government,"$21,184,896","$21,184,896",$0,0.0%,"11,029"
757594,(no description on file),Blue Cross Blue Shield,Commercial,"$3,691,803","$3,691,803",$0,0.0%,"4,228"
439708006,Home visit (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$226,199","$226,199",$0,0.0%,"1,809"
1648755,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,"$419,568","$419,568",$0,0.0%,"1,628"
542347,(no description on file),Medicaid,Government,$370,$370,$0,0.0%,"2,460"
745752,(no description on file),Aetna,Commercial,"$2,036,579","$2,036,579",$0,0.0%,"7,801"
1049504,(no description on file),Blue Cross Blue Shield,Commercial,"$2,608,158","$2,608,158",$0,0.0%,"10,212"
1870230,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,"$282,149","$282,149",$0,0.0%,"1,358"
25656009,Physical examination  complete (procedure),Humana,Commercial,"$229,391","$229,391",$0,0.0%,459
1290407002,Plain X-ray of knee region (procedure),UnitedHealthcare,Commercial,"$121,922","$121,922",$0,0.0%,236
71493000,Transfusion of packed red blood cells (procedure),Humana,Commercial,"$1,567,056","$1,567,056",$0,0.0%,"1,125"
1263416007,Removal of intrauterine contraceptive device (procedure),Aetna,Commercial,"$729,442","$729,442",$0,0.0%,"1,401"
23745001,Documentation procedure (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$488,103","$488,103",$0,0.0%,999
855332,(no description on file),UnitedHealthcare,Commercial,"$9,601","$9,601",$0,0.0%,962
60027007,Radiography of wrist (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$328,073","$328,073",$0,0.0%,688
713024005,Plain X-ray of wrist region (procedure),Blue Cross Blue Shield,Commercial,"$151,901","$151,901",$0,0.0%,295
1648756,(no description on file),Cigna Health,Commercial,"$40,489","$40,489",$0,0.0%,148
392021009,Lumpectomy of breast (procedure),Anthem,Commercial,"$4,607,409","$4,607,409",$0,0.0%,144
2003249,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,"$89,042","$89,042",$0,0.0%,340
698354004,Magnetic resonance imaging for measurement of brain volume (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$1,033,303","$1,033,303",$0,0.0%,97
483438,(no description on file),Medicaid,Government,"$1,689","$1,689",$0,0.0%,82
45595009,Laparoscopic Removal of Gall Bladder,Dual Eligible,Government,"$546,804","$546,804",$0,0.0%,128
1536144,(no description on file),Aetna,Commercial,"$12,290","$12,290",$0,0.0%,43
26212005,Replacement of aortic valve (procedure),UnitedHealthcare,Commercial,"$15,152","$15,152",$0,0.0%,31
205532,(no description on file),Medicaid,Government,"$71,415","$71,415",$0,0.0%,81
205326,(no description on file),Medicare,Government,"$10,836","$10,836",$0,0.0%,44
313191000,Injection of epinephrine (procedure),Blue Cross Blue Shield,Commercial,"$1,505,850","$1,505,850",$0,0.0%,596
24623002,Screening mammography (procedure),Blue Cross Blue Shield,Commercial,"$14,181","$14,181",$0,0.0%,120
197884,(no description on file),Medicaid,Government,"$24,466","$24,466",$0,0.0%,109
1723208,(no description on file),Humana,Commercial,$877,$877,$0,0.0%,304
33,(no description on file),Blue Cross Blue Shield,Commercial,"$18,632","$18,632",$0,0.0%,137
727762,(no description on file),Medicare,Government,"$28,314","$28,314",$0,0.0%,136
483438,(no description on file),Dual Eligible,Government,"$9,647","$9,647",$0,0.0%,426
15081005,Pulmonary rehabilitation (regime/therapy),Anthem,Commercial,"$589,550","$589,550",$0,0.0%,291
417511005,Referral to home health care service (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$48,373","$48,373",$0,0.0%,98
866514,(no description on file),Dual Eligible,Government,"$43,742","$43,742",$0,0.0%,186
47505003,posttraumatic stress disorder,Dual Eligible,Government,"$19,630","$19,630",$0,0.0%,161
1290407002,Plain X-ray of knee region (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$133,770","$133,770",$0,0.0%,258
171121004,Human immunodeficiency virus screening (procedure),Aetna,Commercial,"$22,249","$22,249",$0,0.0%,45
58390007,Allogeneic bone marrow transplantation (procedure),Dual Eligible,Government,"$10,044","$10,044",$0,0.0%,23
999999,(no description on file),Cigna Health,Commercial,"$20,595","$20,595",$0,0.0%,82
252480006,Simple walk test (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$25,804","$25,804",$0,0.0%,53
165355002,Patient informed - test result (situation),Blue Cross Blue Shield,Commercial,"$73,799","$73,799",$0,0.0%,146
180325003,Direct current cardioversion (procedure),Anthem,Commercial,"$1,224,077","$1,224,077",$0,0.0%,52
310261,(no description on file),Dual Eligible,Government,"$411,144","$411,144",$0,0.0%,36
349199,(no description on file),Cigna Health,Commercial,"$3,820","$3,820",$0,0.0%,14
859747,(no description on file),Dual Eligible,Government,"$10,313","$10,313",$0,0.0%,48
42839003,Repair of myelomeningocele (procedure),Medicaid,Government,"$4,299","$4,299",$0,0.0%,9
187,(no description on file),Anthem,Commercial,"$5,168","$5,168",$0,0.0%,38
200064,(no description on file),Blue Cross Blue Shield,Commercial,"$8,531","$8,531",$0,0.0%,23
387685009,Surgical manipulation of shoulder joint,NO_INSURANCE,Self-Pay / Uninsured,"$776,888","$776,888",$0,0.0%,47
751616,(no description on file),Medicaid,Government,"$3,267","$3,267",$0,0.0%,15
399217008,Cardioassist by aortic balloon pump (procedure),Aetna,Commercial,"$18,455","$18,455",$0,0.0%,37
859747,(no description on file),Cigna Health,Commercial,"$5,422","$5,422",$0,0.0%,19
199885,(no description on file),Medicaid,Government,"$4,519","$4,519",$0,0.0%,18
1809104,(no description on file),Humana,Commercial,"$1,307","$1,307",$0,0.0%,251
384692006,Intracavitary brachytherapy (procedure),Medicaid,Government,"$256,267","$256,267",$0,0.0%,14
617320,(no description on file),Aetna,Commercial,"$2,450","$2,450",$0,0.0%,9
305411003,Admission to thoracic surgery department,Aetna,Commercial,"$1,739","$1,739",$0,0.0%,15
198188,(no description on file),Medicare,Government,"$3,425","$3,425",$0,0.0%,13
596926,(no description on file),Cigna Health,Commercial,$89,$89,$0,0.0%,4
751623,(no description on file),Medicaid,Government,"$1,458","$1,458",$0,0.0%,7
859753,(no description on file),Medicaid,Government,"$1,045","$1,045",$0,0.0%,5
225415001,Close observation (regime/therapy),UnitedHealthcare,Commercial,"$1,617","$1,617",$0,0.0%,3
827075,(no description on file),Cigna Health,Commercial,$565,$565,$0,0.0%,2
860518,(no description on file),UnitedHealthcare,Commercial,$380,$380,$0,0.0%,2
213432,(no description on file),UnitedHealthcare,Commercial,$233,$233,$0,0.0%,1
308429,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,$209,$209,$0,0.0%,1
861356,(no description on file),UnitedHealthcare,Commercial,$283,$283,$0,0.0%,1
282755,(no description on file),Dual Eligible,Government,$283,$283,$0,0.0%,1
314076,(no description on file),Humana,Commercial,"$378,569","$378,569",$0,0.0%,"209,206"
198440,(no description on file),Cigna Health,Commercial,$871,$871,$0,0.0%,"23,553"
44608003,Blood group typing (procedure),Medicaid,Government,"$105,580,879","$105,580,879",$0,0.0%,"58,044"
454711000124102,Depression screening using Patient Health Questionnaire Two-Item score (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$10,398","$10,398",$0,0.0%,"225,981"
308283009,Discharge from hospital (procedure),Blue Cross Blue Shield,Commercial,"$1,034,970","$1,034,970",$0,0.0%,"2,041"
117010004,Urine culture,Medicare,Government,"$21,204,253","$21,204,253",$0,0.0%,"11,029"
265764009,Renal dialysis (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$448,090,747","$448,090,747",$0,0.0%,"595,625"
52,(no description on file),UnitedHealthcare,Commercial,"$1,215,024","$1,215,024",$0,0.0%,"8,934"
762993000,Assessment using Morse Fall Scale (procedure),Cigna Health,Commercial,"$219,345","$219,345",$0,0.0%,"4,789"
448337001,Telemedicine consultation with patient,Cigna Health,Commercial,"$413,787","$413,787",$0,0.0%,"4,137"
197604,(no description on file),Medicare,Government,"$132,982,330","$132,982,330",$0,0.0%,"101,876"
433236007,Transthoracic echocardiography (procedure),Medicare,Government,"$5,000,205","$5,000,205",$0,0.0%,"9,944"
831533,(no description on file),Humana,Commercial,"$5,076,077","$5,076,077",$0,0.0%,"5,723"
71651007,Mammography (procedure),Dual Eligible,Government,"$1,742,639","$1,742,639",$0,0.0%,"15,815"
449214001,Transfer to stepdown unit (procedure),Humana,Commercial,"$424,395","$424,395",$0,0.0%,573
849574,(no description on file),Blue Cross Blue Shield,Commercial,"$1,399,910","$1,399,910",$0,0.0%,"5,924"
44608003,Blood group typing (procedure),Medicare,Government,"$37,629,285","$37,629,285",$0,0.0%,"19,631"
71493000,Transfusion of packed red blood cells (procedure),Medicaid,Government,"$3,388,835","$3,388,835",$0,0.0%,"2,688"
896001,(no description on file),Blue Cross Blue Shield,Commercial,"$1,494,800","$1,494,800",$0,0.0%,"5,861"
167271000,Urine protein test,Anthem,Commercial,"$31,914,193","$31,914,193",$0,0.0%,"16,835"
308335008,Patient encounter procedure,NO_INSURANCE,Self-Pay / Uninsured,"$10,657,557","$10,657,557",$0,0.0%,"90,135"
228557008,Cognitive and behavioral therapy (regime/therapy),Blue Cross Blue Shield,Commercial,"$74,127,007","$74,127,007",$0,0.0%,"7,420"
1535362,(no description on file),Blue Cross Blue Shield,Commercial,"$22,391,339","$22,391,339",$0,0.0%,"87,000"
10383002,Counseling for termination of pregnancy,Medicare,Government,"$1,457,757","$1,457,757",$0,0.0%,"2,949"
398171003,Hearing examination (procedure),Medicaid,Government,"$7,185,598","$7,185,598",$0,0.0%,"2,631"
868187001,Assessment using Car  Relax  Alone  Forget  Friends  Trouble Screening Test (procedure),UnitedHealthcare,Commercial,"$2,897","$2,897",$0,0.0%,"25,639"
21,(no description on file),NO_INSURANCE,Self-Pay / Uninsured,"$1,419,704","$1,419,704",$0,0.0%,"10,439"
831533,(no description on file),UnitedHealthcare,Commercial,"$2,554,649","$2,554,649",$0,0.0%,"2,883"
44608003,Blood group typing (procedure),Dual Eligible,Government,"$11,734,270","$11,734,270",$0,0.0%,"6,568"
284053004,Tooth socket procedure (procedure),Medicare,Government,"$3,011,176","$3,011,176",$0,0.0%,"6,178"
397821002,Patient transfer to intensive care unit (procedure),NO_INSURANCE,Self-Pay / Uninsured,"$119,110","$119,110",$0,0.0%,977
433236007,Transthoracic echocardiography (procedure),Cigna Health,Commercial,"$914,453","$914,453",$0,0.0%,"1,877"
228557008,Cognitive and behavioral therapy (regime/therapy),Humana,Commercial,"$98,277,350","$98,277,350",$0,0.0%,"9,815"
904419,(no description on file),Anthem,Commercial,"$47,503","$47,503",$0,0.0%,"4,679"
197319,(no description on file),Dual Eligible,Government,"$83,814","$83,814",$0,0.0%,310
162676008,Brief general examination (procedure),Anthem,Commercial,"$884,144","$884,144",$0,0.0%,"6,438"
1719286,(no description on file),Cigna Health,Commercial,$178,$178,$0,0.0%,"1,568"
65677008,Pulmonary catheterization with Swan-Ganz catheter (procedure),Anthem,Commercial,"$493,109","$493,109",$0,0.0%,"1,014"
392091000,Care regimes assessment (procedure),Medicaid,Government,"$1,499,852","$1,499,852",$0,0.0%,"2,733"
