Dimension,Rank,Condition,Segment,Claims,Cost per Claim
Payer type,13,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),Commercial,10639,5836.81
Payer type,13,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),Government,116977,5657.04
Payer type,13,Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),Self-Pay / Uninsured,8035,5621.20
Payer type,14,Primary dental caries (disorder),Commercial,111057,2760.67
Payer type,14,Primary dental caries (disorder),Government,152259,2636.01
Payer type,14,Primary dental caries (disorder),Self-Pay / Uninsured,18024,2728.78
Payer type,15,Child attention deficit disorder,Commercial,38642,9468.42
Payer type,15,Child attention deficit disorder,Government,36377,9064.96
Payer type,15,Child attention deficit disorder,Self-Pay / Uninsured,6077,9431.27
Payer type,16,Ischemic heart disease (disorder),Commercial,117656,1948.38
Payer type,16,Ischemic heart disease (disorder),Government,248330,1861.01
Payer type,16,Ischemic heart disease (disorder),Self-Pay / Uninsured,17466,2018.74
Payer type,17,Dependent drug abuse (disorder),Commercial,378090,454.27
Payer type,17,Dependent drug abuse (disorder),Government,959846,428.56
Payer type,17,Dependent drug abuse (disorder),Self-Pay / Uninsured,86148,454.69
Payer type,18,Acute bronchitis (disorder),Commercial,289784,956.59
Payer type,18,Acute bronchitis (disorder),Government,304270,883.79
Payer type,18,Acute bronchitis (disorder),Self-Pay / Uninsured,43902,937.42
Payer type,19,Stroke,Commercial,2013,70830.62
Payer type,19,Stroke,Government,5051,70998.95
Payer type,19,Stroke,Self-Pay / Uninsured,423,66773.02
Payer type,20,Acute infective cystitis (disorder),Commercial,89362,2316.70
Payer type,20,Acute infective cystitis (disorder),Government,93995,2246.98
Payer type,20,Acute infective cystitis (disorder),Self-Pay / Uninsured,14022,2397.12
