Hospital,Patients,Visits,Actual cost per visit,Cost per visit if all prices were equal,"% of it that is pricing, not case mix"
"FAIRWAY OAKS CENTER (TAMPA, FL)",1030,2129,5690,4409,22.5
"SILVERADO HOSPICE- AUSTIN (AUSTIN, TX)",1170,1904,5626,4986,11.4
"CENTER HOME HISPANIC ELDERLY (CHICAGO, IL)",1028,1903,5581,5291,5.2
"MIAMI JEWISH HEALTH SYSTEMS  INC (MIAMI, FL)",1092,2319,5536,4239,23.4
"MOUNTAIN VIEW REGIONAL HOME HEALTH (YORK, PA)",2148,16143,5532,5949,-7.5
"FARMBROOK INTERNAL MEDICINE INC (BINGHAM FARMS, MI)",4211,33218,5401,5653,-4.7
"PARK MANOR BEE CAVE (BEE CAVE, TX)",1320,2255,5377,4951,7.9
"SAINT FRANCIS HOSPITAL-BARTLETT  INC. (MILLINGTON, TN)",3823,29684,5343,5857,-9.6
"CHELSEA JEWISH HOSPICE AND PALLIATIVE CARE (CHELSEA, MA)",1874,2971,5304,5806,-9.5
"KAISER FOUNDATION HOSPITAL HOSPICE-SAN FRANCISCO (SAN FRANCISCO, CA)",2601,5108,4960,3894,21.5
"CALIFORNIA PACIFIC MEDICAL CTR- DAVIES CAMPUS HOSP (SAN FRANCISCO, CA)",1444,3014,4904,3945,19.6
"FLORIDEAN NURSING AND REHABILITATION CENTER  THE (MIAMI, FL)",1483,3451,4888,3749,23.3
"COMMUNITY OF HOPE  INC (WASHINGTON, DC)",7314,43843,4854,4256,12.3
"AUSTIN HEALTHCARE AND REHABILITATION CENTER (AUSTIN, TX)",2028,3769,4806,4337,9.8
"MARIN GENERAL HOSPITAL (LARKSPUR, CA)",1672,20446,4730,3807,19.5
"WINDMOOR HEALTHCARE OF CLEARWATER (TAMPA, FL)",1172,12623,4723,3785,19.9
"SAN FRANCISCO POST ACUTE (SAN FRANCISCO, CA)",3031,6399,4706,3671,22.0
"CHILDRENS HOSPITAL (WASHINGTON, DC)",2104,37703,4699,3940,16.2
"SOUTHPARK MEADOWS NURSING AND REHABILITATION CENTE (AUSTIN, TX)",1051,1832,4677,3926,16.0
"BRIDGEPOINT SUB-ACUTE AND REHAB CAPITOL HILL (WASHINGTON, DC)",5463,10643,4621,3676,20.5
"SEVEN HILLS HEALTH & REHAB CENTER (SEVEN HILLS, OH)",1106,2173,4610,5412,-17.4
"PRESENCE ST JOSEPH HOSPITAL - CHICAGO (CHICAGO, IL)",1489,3006,4605,4372,5.1
"M & Y CARE LLC (LYNDHURST, OH)",28847,211903,4601,5568,-21.0
"LUCY WEBB HAYES NATIONAL TRAINING SCHOOL FOR DEACONESSES & MISSIONARIE (WASHINGTON, DC)",2202,41543,4539,3838,15.5
"SOUTHPOINT NURSING & REHAB CENTER (CHICAGO, IL)",2748,5659,4503,4236,5.9
"KENTFIELD HOSPITAL (SAN FRANCISCO, CA)",1760,33020,4498,3641,19.1
"JOHNS HOPKINS ALL CHILDREN'S HOSPITAL  INC (TAMPA, FL)",1139,11149,4459,3518,21.1
"VILLA AT WINDSOR PARK (CHICAGO, IL)",2031,4250,4450,4164,6.4
"Fitchburg Outpatient Clinic (Fitchburg, MA)",3498,28893,4446,5412,-21.7
"MEDSTAR NATIONAL REHABILITATION HOSPITAL (WASHINGTON, DC)",8628,165888,4440,3744,15.7
"JOHNS HOPKINS UNIVERSITY (WASHINGTON, DC)",9768,162067,4436,3739,15.7
"SAN FRANCISCO SURGERY CENTER  LP (SAN FRANCISCO, CA)",5252,97119,4416,3602,18.4
"CITY & COUNTY OF SAN FRANCISCO (SAN FRANCISCO, CA)",13954,178884,4386,3564,18.8
"DISTRICT HOSPITAL PARTNERS L P (WASHINGTON, DC)",4489,80501,4383,3694,15.7
"DIGNITY HEALTH (SAN FRANCISCO, CA)",3838,54145,4377,3560,18.7
"LAGUNA HONDA HOSPITAL & REHABILITATION CENTER (SAN FRANCISCO, CA)",7669,97968,4375,3583,18.1
"BROOKDALE LAKEWAY 2 (LAKEWAY, TX)",1420,2943,4374,3882,11.3
"PACIFIC HEIGHTS SURGERY CENTER OF SAN FRANCISCO LP (SAN FRANCISCO, CA)",6556,125596,4374,3555,18.7
"DEPARTMENT OF BEHAVIORAL HEALTH - ST ELIZABETHS HOSPITAL (WASHINGTON, DC)",7059,129912,4350,3669,15.7
"NEW HOPE MANOR (CEDAR PARK, TX)",1064,2074,4349,3936,9.5
"BELHAVEN NURSING & REHAB CENTER (CHICAGO, IL)",1148,2325,4333,4090,5.6
"MARIN GENERAL HOSPITAL (GREENBRAE, CA)",1690,21235,4331,3528,18.6
"HEBREW HOME FOR AGED DISABLED (SAN FRANCISCO, CA)",8081,156220,4318,3513,18.7
"RIVERSIDE CARE CENTER (MIAMI, FL)",1203,2868,4312,3335,22.7
"BRIDGEPOINT HOSPITAL CAPITOL HILL (WASHINGTON, DC)",11078,214772,4308,3632,15.7
"SUTTER BAY HOSPITALS (SAN FRANCISCO, CA)",6260,113624,4304,3509,18.5
"CHINESE HOSPITAL (SAN FRANCISCO, CA)",11555,217660,4293,3502,18.4
"NOT-FOR-PROFIT HOSPITAL CORPORATION (WASHINGTON, DC)",2700,52893,4282,3612,15.6
"PSYCHIATRIC INSTITUTE OF WASHINGTON (WASHINGTON, DC)",7166,134660,4280,3610,15.7
"KAISER FOUNDATION HOSPITAL - SAN FRANCISCO (SAN FRANCISCO, CA)",1862,20710,4276,3458,19.1
"NORTH AUSTIN MEDICAL CENTER (PFLUGERVILLE, TX)",1801,17280,4254,3993,6.1
"HOWARD UNIVERSITY HOSPITAL (WASHINGTON, DC)",4330,82711,4248,3591,15.5
"WEST FLORIDA MHT LLC (TAMPA, FL)",1319,15498,4246,3393,20.1
"AHMC SETON MEDICAL CENTER LLC (DALY CITY, CA)",4312,85805,4243,3448,18.7
"UNIVERSITY OF CALIFORNIA SAN FRANCISCO (SAN FRANCISCO, CA)",5363,101006,4231,3448,18.5
"KINDRED HOSPITALS EAST LLC (TAMPA, FL)",5203,94039,4230,3379,20.1
"CEDAR PARK REGIONAL MEDICAL CENTER (LEANDER, TX)",2155,35626,4219,3973,5.8
"MIAMI JEWISH HEALTH SYSTEMS INC (MIAMI, FL)",5352,99110,4211,3360,20.2
"BAYLOR SCOTT & WHITE MEDICAL CENTERS - CAPITOL AREA (AUSTIN, TX)",2272,36847,4200,3931,6.4
"ADVENTHEALTH CARROLLWOOD (TAMPA, FL)",5486,90898,4199,3341,20.4
"TAMPA GENERAL HOSPITAL (TAMPA, FL)",3040,52544,4198,3359,20.0
"ST MARY'S MEDICAL CENTER (SAN FRANCISCO, CA)",5319,54005,4188,3401,18.8
"ST DAVIDS HEALTHCARE PARTNERSHIP LP LLP (ROUND ROCK, TX)",1581,18694,4186,3854,7.9
"AUSTIN EMERGENCY CENTER LLC (AUSTIN, TX)",2843,46750,4182,3914,6.4
"AUSTIN LAKES HOSPITAL (AUSTIN, TX)",1764,28523,4170,3944,5.4
"ENCOMPASS HEALTH REHABILITATION HOSPITAL OF AUSTIN (AUSTIN, TX)",2508,40709,4158,3911,5.9
"ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR (SAN FRANCISCO, CA)",7310,86155,4157,3389,18.5
"LAKEWAY COMPLETE CARE LLC (LAKEWAY, TX)",2243,39567,4145,3908,5.7
"JUNIPER VILLAGE AT SPICEWOOD SUMMIT (AUSTIN, TX)",3060,5620,4140,3746,9.5
"CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS (SAN FRANCISCO, CA)",5786,89557,4134,3359,18.7
"ST MARK'S HOSPITAL (WEST VALLEY, UT)",1751,25441,4116,4081,0.8
"GEORGE WASHINGTON UNIV HOSPITAL (WASHINGTON, DC)",9363,148862,4110,3458,15.9
"BIOSPINE LLC (TAMPA, FL)",3850,71960,4089,3285,19.7
"PLAINS ER MANAGEMENT AUSTIN LTD (AUSTIN, TX)",7506,124937,4072,3834,5.8
"BAYSHORE POINTE NURSING AND REHAB CENTER (TAMPA, FL)",2628,5445,4050,3147,22.3
"MEASE COUNTRYSIDE HOSPITAL (TAMPA, FL)",1250,12087,4048,3264,19.4
"LIFE CARE CENTER OF SALT LAKE CITY (SALT LAKE CITY, UT)",1656,3242,4046,3769,6.9
"ASCENSION SETON NORTHWEST (AUSTIN, TX)",3616,59824,4039,3832,5.1
"UNIVERSITY COMMUNITY HOSPITAL INC (TAMPA, FL)",4007,80841,4028,3236,19.7
"ASCENSION SETON (AUSTIN, TX)",15644,256340,4028,3805,5.5
"ST DAVIDS HEALTHCARE PARTNERSHIP LP LLP (AUSTIN, TX)",3614,63287,4006,3772,5.8
"HCA FLORIDA BRANDON HOSPITAL (TEMPLE TERRACE, FL)",6239,118992,4001,3199,20.0
"STEWARD CGH INC (CORAL GABLES, FL)",5223,103461,4000,3198,20.0
"TERRACES AT THE CLARE (CHICAGO, IL)",3469,7702,3998,3693,7.6
"TRANSITIONAL HOSPITALS OF TAMPA LLC (TAMPA, FL)",2286,44353,3994,3229,19.1
"ST DAVID'S SOUTH AUSTIN MEDICAL CENTER (BEE CAVE, TX)",5752,96363,3992,3756,5.9
"USA EMERGENCY CENTERS - BURNET  LLC (AUSTIN, TX)",1916,31597,3990,3758,5.8
"SOUTH AUSTIN EMERGENCY CENTER  LLC (AUSTIN, TX)",4749,79629,3982,3748,5.9
"PFLUGERVILLE EMERGENCY CENTER  LLC (PFLUGERVILLE, TX)",1329,16334,3980,3732,6.2
"USA EMERGENCY CENTERS - SOUTH AUSTIN LLC (AUSTIN, TX)",1691,29974,3978,3745,5.9
"ST DAVID'S MEDICAL CENTER (WEST LAKE HILLS, TX)",3001,45700,3943,3709,5.9
"BRIDGEPOINT -NATIONAL HARBOR (WASHINGTON, DC)",1168,12078,3937,3336,15.3
"MOUNT SINAI MEDICAL CENTER OF FLORIDA  INC (MIAMI BEACH, FL)",3733,54667,3936,3161,19.7
"STEWARD NSMC INC (MIAMI, FL)",2487,49512,3935,3145,20.1
"STEWARD HH  INC. (HIALEAH, FL)",2888,55848,3928,3131,20.3
"GEORGETOWN UNIVERSITY HOSP (WASHINGTON, DC)",3534,15417,3925,3251,17.2
"SELECT SPECIALTY HOSPITAL-MIAMI (MIAMI, FL)",6438,88782,3915,3138,19.9
"THE HEALTH CENTER AT RICHLAND PLACE (NASHVILLE, TN)",1402,2804,3908,4266,-9.2
"HERITAGE MANOR NURSING AND REHAB CENTER (DETROIT, MI)",1628,3907,3905,3809,2.5
"NORRIDGE GARDENS (NORRIDGE, IL)",1985,3899,3900,3652,6.3
"AUSTIN BEHAVIORAL HOSPITAL LLC (AUSTIN, TX)",4414,76591,3866,3653,5.5
"WESTLAKE COMPLETE CARE  LLC (AUSTIN, TX)",1570,27768,3866,3566,7.8
"BAYLOR SCOTT & WHITE MEDICAL CENTERS - CAPITOL AREA (BUDA, TX)",3276,56630,3865,3651,5.5
"WARREN BARR GOLD COAST (CHICAGO, IL)",2304,5077,3861,3664,5.1
"WEST KENDALL BAPTIST HOSPITAL (MIAMI, FL)",6450,87515,3859,3088,20.0
"IMMACULATE HEALTH CARE SERVICES INC (WASHINGTON, DC)",2131,3932,3856,3006,22.0
"HCA FLORIDA SOUTH TAMPA HOSPITAL (TAMPA, FL)",1760,19540,3855,3075,20.2
"LAKELINE EMERGENCY CENTER  LLC (CEDAR PARK, TX)",1988,33954,3843,3609,6.1
"NORTHERN UTAH HEALTHCARE CORPORATION (SALT LAKE CITY, UT)",1457,15119,3823,3819,0.1
"BAYLOR SCOTT & WHITE MEDICAL CENTERS - CAPITOL AREA (PFLUGERVILLE, TX)",2092,36526,3823,3580,6.4
"ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTH TAMPA  LLC (LUTZ, FL)",1372,28380,3811,3080,19.2
"WOODBRIDGE NURSING PAVILION (CHICAGO, IL)",2310,4589,3809,3543,7.0
"MIAMI MEDICAL CENTER  THE (MIAMI, FL)",2478,49319,3805,3060,19.6
"SUTTER VISITING NURSE ASSOCIATION AND HOSPICE (SAN FRANCISCO, CA)",6773,15028,3790,2996,21.0
"LAKE TRAVIS ER  LLC (AUSTIN, TX)",4016,71074,3783,3570,5.6
"SALT LAKE BEHAVIORAL HEALTH (SALT LAKE CITY, UT)",1726,27431,3758,3730,0.7
"LARKIN COMMUNITY HOSPITAL INC (SOUTH MIAMI, FL)",1945,38807,3757,3023,19.5
"PRESENCE RESURRECTION MEDICAL CENTER (PARK RIDGE, IL)",3157,31801,3746,3630,3.1
"MARBRIDGE VILLA (MANCHACA, TX)",1557,2890,3740,3242,13.3
"ASCENSION RESURRECTION LIFE (CHICAGO, IL)",1039,2053,3737,3530,5.5
"NORTHWEST HILLS SURGICAL HOSPITAL (AUSTIN, TX)",1349,24100,3733,3529,5.5
"ST JOSEPHS HOSPITAL (TAMPA, FL)",1263,12471,3730,3005,19.4
"MOUNT SINAI MEDICAL CENTER (MIAMI BEACH, FL)",2734,32860,3729,3000,19.5
"COMMON SENSE CARE LLC (CEDAR PARK, TX)",1353,24000,3725,3540,5.0
"GOTTLIEB MEMORIAL HOSPITAL (MELROSE PARK, IL)",3909,48363,3716,3597,3.2
"ASCENSION SETON MEDICAL CENTER AUSTIN (AUSTIN, TX)",2416,37750,3707,3492,5.8
"CARNEY HOSPITAL (QUINCY, MA)",1416,16022,3690,4101,-11.1
"JORDAN VALLEY MEDICAL CENTER LP (WEST VALLEY CITY, UT)",3247,50571,3684,3677,0.2
"PLANTATION GENERAL HOSPITAL LP (MIAMI, FL)",6728,133501,3682,2960,19.6
"ASAP SERVICES CORPORATION (WASHINGTON, DC)",4527,9202,3637,2873,21.0
"AMERICARE IN HOME NURSING (WASHINGTON, DC)",2553,5168,3635,2937,19.2
"UNIVERSITY OF UTAH (SALT LAKE CITY, UT)",5155,85662,3623,3605,0.5
"ROUND ROCK MEDICAL CENTER (ROUND ROCK, TX)",2275,22233,3621,3388,6.5
"BOULEVARD TEMPLE CARE CENTER  LLC (DETROIT, MI)",1929,4425,3621,3568,1.5
"KINDRED HOSPICE (NASHVILLE, TN)",1104,2051,3615,3885,-7.5
"BOSTON HOME  INC (THE) (BOSTON, MA)",2434,4359,3598,3929,-9.2
"BETH ISRAEL DEACONESS HOSPITAL MILTON INC (MILTON, MA)",3796,67131,3571,3986,-11.6
"TEXAS NEURO REHABILITATION CENTER (AUSTIN, TX)",1593,27224,3562,3350,6.0
"FAIRLANE SENIOR CARE AND REHAB CENTER (DETROIT, MI)",1558,3811,3554,3350,5.7
"BOSTON MEDICAL CENTER CORPORATION- (WINTHROP, MA)",7726,133128,3550,3976,-12.0
"PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER (CHICAGO, IL)",6825,74932,3549,3424,3.5
"SWEDISH COVENANT HEALTH (CHICAGO, IL)",11459,208101,3549,3446,2.9
"MARIAN MANOR (SOUTH BOSTON, MA)",3627,7414,3543,3816,-7.7
"THOREK MEMORIAL HOSPITAL (CHICAGO, IL)",3924,71169,3543,3421,3.4
"MEDSTAR WASHINGTON HOSPITAL CENTER (WASHINGTON, DC)",2547,13354,3543,2914,17.8
"SALT LAKE REGIONAL MEDICAL CENTER LP (SALT LAKE CITY, UT)",3091,51283,3525,3521,0.1
"REFORMED PRESBYTERIAN HOME (PITTSBURGH, PA)",1162,2246,3524,3486,1.1
"KINDRED CHICAGO NORTHLAKE  LLC (NORTHLAKE, IL)",6990,130890,3518,3421,2.8
"BRIGHAM AND WOMEN'S FAULKNER HOSPITAL  INC. (BOSTON, MA)",1906,22204,3514,3959,-12.6
"NHC PLACE AT THE TRACE (NASHVILLE, TN)",1765,3791,3504,3783,-8.0
"BOSTONIAN NURSING CARE & REHABILITATION CTR  THE (DORCHESTER, MA)",1202,2528,3497,3514,-0.5
"GARFIELD PARK HOSPITAL LLC (CHICAGO, IL)",6824,123545,3492,3401,2.6
"PROMEDICA SKILLED NURSING & REHABILITATION PARMA (CLEVELAND, OH)",3160,7559,3491,4014,-15.0
"SELECT SPECIALTY HOSPITAL - MACOMB COUNTY INC (DETROIT, MI)",2091,25413,3485,3478,0.2
"COMMUNITY FIRST MEDICAL CENTER (CHICAGO, IL)",10257,184557,3483,3381,2.9
"NEW ENGLAND BAPTIST HOSPITAL (DEDHAM, MA)",1657,31461,3482,3907,-12.2
"ST CATHERINE'S REHABILITATION HOSPITAL (NORTH MIAMI, FL)",1146,24923,3468,2797,19.4
"SOUTH SHORE HOSPITAL CORPORATION (CHICAGO, IL)",7037,129170,3467,3372,2.7
"LORETTO HOSPITAL (CHICAGO, IL)",4131,78283,3466,3386,2.3
"THE VILLA AT THE PARK (HIGHLAND PARK, MI)",1642,3780,3463,3368,2.7
"ALEXIAN BROTHERS MEDICAL CENTER (ELK GROVE VILLAGE, IL)",4216,77434,3460,3374,2.5
"JACKSON PARK HOSPITAL FOUNDATION (CHICAGO, IL)",3512,66867,3460,3376,2.4
"VALLEY MEDICAL FACILITIES INC (PITTSBURGH, PA)",1525,16334,3458,3542,-2.4
"KINDRED THC NORTH SHORE LLC (CHICAGO, IL)",6646,122654,3458,3376,2.4
"BENJAMIN HEALTHCARE CENTER (BOSTON, MA)",1661,3312,3446,3865,-12.2
"UNIVERSITY OF ILLINOIS HOSPITAL (CHICAGO, IL)",6392,64676,3445,3355,2.6
"THE SHRINERS HOSPITAL FOR CHILDREN (BOSTON, MA)",7463,128408,3443,3851,-11.8
"ROSELAND COMMUNITY HOSPITAL ASSOCIATION (CHICAGO, IL)",12754,241357,3434,3346,2.5
"SOMERFIELD AT THE HERITAGE (BRENTWOOD, TN)",1098,2261,3431,3696,-7.7
"BRIGHAM AND WOMEN'S FAULKNER HOSPITAL  INC. (JAMAICA PLAIN, MA)",1910,22740,3431,3823,-11.4
"BOTSFORD GENERAL HOSPITAL (FARMINGTON HILLS, MI)",2431,48724,3429,3445,-0.5
"ALLIANCE HEALTH AT MARINA BAY (QUINCY, MA)",1584,3215,3427,3803,-11.0
"SHRINERS HOSPITALS FOR CHILDREN (CHICAGO, IL)",3286,57654,3425,3328,2.8
"INSIGHT CHICAGO INC (CHICAGO, IL)",12100,178387,3421,3321,2.9
"NORTHWESTERN MEMORIAL HOSPITAL (CHICAGO, IL)",13353,243311,3421,3327,2.7
"SAINT ANTHONY HOSPITAL (CHICAGO, IL)",9826,177829,3421,3336,2.5
"SWEDISH HOSPITAL (NILES, IL)",4662,84405,3420,3340,2.3
"WATERFRONT TERRACE (CHICAGO, IL)",1426,3005,3417,3210,6.0
"HARTGROVE HOSPITAL (OAK PARK, IL)",2210,25357,3414,3313,3.0
"ST CLAIR MEMORIAL HOSPITAL (PITTSBURGH, PA)",2431,30344,3414,3483,-2.0
"PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO (CHICAGO, IL)",10463,199944,3410,3311,2.9
"PRESENCE SAINT FRANCIS HOSPITAL (SKOKIE, IL)",5538,104100,3410,3302,3.2
"NORTHSHORE UNIVERSITY HEALTHSYSTEM (EVANSTON, IL)",2119,38818,3403,3300,3.0
"OHIO VALLEY GENERAL HOSPITAL (MCKEES ROCKS, PA)",1749,18713,3401,3535,-3.9
"NORTH EAST MEDICAL SERVICES - TARAVAL (SAN FRANCISCO, CA)",4731,11411,3392,2563,24.4
"ARBOUR HOSPITAL  THE (QUINCY, MA)",1375,16362,3387,3775,-11.5
"LOYOLA GOTTLIEB MEMORIAL HOSPITAL (MELROSE PARK, IL)",2507,28657,3386,3291,2.8
"VALLEY MEDICAL FACILITIES INC (MC KEES ROCKS, PA)",2959,37163,3386,3489,-3.1
"ILLINOIS DEPARTMENT OF HUMAN SERVICES (CHICAGO, IL)",5439,99731,3385,3297,2.6
"LARABIDA CHILDRENS HOSPITAL (CHICAGO, IL)",4797,89876,3385,3287,2.9
"2014 HEALTH LLC (DES PLAINES, IL)",3256,62596,3384,3302,2.4
"AHN EMERUS WESTMORELAND LLC (PITTSBURGH, PA)",1487,15509,3371,3466,-2.8
"SPAULDING HOSPITAL FOR CONTINUING MED CARE-CAMB (CAMBRIDGE, MA)",3210,58113,3365,3766,-11.9
"FRANCISCAN HOSPITAL FOR CHILDREN INC (BOSTON, MA)",4171,76618,3364,3760,-11.8
"VHS DETROIT RECEIVING HOSPITAL INC (DETROIT, MI)",4996,99046,3358,3364,-0.2
"GOTTLIEB COMMUNITY HEALTH SERVICES CORPORATION (BERWYN, IL)",4715,88164,3357,3279,2.3
"CAMBRIDGE PUBLIC HEALTH COMMISSION (SOMERVILLE, MA)",3470,61756,3356,3746,-11.6
"HEBREW REHABILITATION CENTER (ROSLINDALE, MA)",2346,29608,3346,3719,-11.1
"INSIGHT HOSPITAL AND MEDICAL CENTER CHICAGO (CHICAGO, IL)",8962,86500,3339,3234,3.2
"BORINQUEN HEALTH CARE CENTER (MIAMI, FL)",1117,2481,3338,2545,23.8
"METHODIST HOSPITAL OF CHICAGO (CHICAGO, IL)",3699,69709,3330,3258,2.1
"ADVOCATE HEALTH AND HOSPITALS CORPORATION (OAK LAWN, IL)",6862,134300,3328,3239,2.7
"DIVINE HEALTH CARE CORP (MIAMI, FL)",2845,7343,3327,2429,27.0
"ROYAL OAK NURSING & REHAB CTR (CLEVELAND, OH)",6374,14449,3327,3840,-15.4
"DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER (DETROIT, MI)",7637,147656,3321,3337,-0.5
"HEBREW SENIORLIFE AFFILIATED MEDICAL GROUP INC (ROSLINDALE, MA)",2302,27123,3318,3726,-12.3
"ADVOCATE HEALTH AND HOSPITALS CORPORATION (PARK RIDGE, IL)",5103,65102,3317,3212,3.2
"PRESENCE CHICAGO HOSPITALS NETWORK (CHICAGO, IL)",14261,238421,3317,3239,2.3
"MOUNT SINAI HOSPITAL MEDICAL CENTER (CHICAGO, IL)",6230,83028,3316,3237,2.4
"CUMBERLAND BEHAVIORAL HEALTH  LLC (NASHVILLE, TN)",6365,113762,3313,3656,-10.4
"CAMBRIDGE REHABILITATION & NURSING CENTER (CAMBRIDGE, MA)",2488,4625,3310,3734,-12.8
"ST JOSEPH VILLAGE OF CHICAGO (CHICAGO, IL)",3127,6783,3310,3122,5.7
"ST BERNARD HOSPITAL (CHICAGO, IL)",9050,175825,3310,3218,2.8
"PARKSHORE ESTATES NURSING & REHAB (CHICAGO, IL)",1520,3612,3310,3196,3.4
"LAKEVIEW  REHAB & NURSING CENTER (CHICAGO, IL)",2751,5746,3304,2925,11.5
"COOK COUNTY (CHICAGO, IL)",6249,118490,3291,3216,2.3
"VANDERBILT STALLWORTH REHABILITATION HOSPITAL LP (NASHVILLE, TN)",4457,78660,3290,3640,-10.6
"HOLY CROSS HOSPITAL (CHICAGO, IL)",13101,251208,3289,3216,2.2
"DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER (BOSTON, MA)",10055,183460,3284,3680,-12.0
"MOUNT AUBURN HOSPITAL (CAMBRIDGE, MA)",2053,39610,3280,3645,-11.1
"TUFTS MEDICAL CENTER  INC (BOSTON, MA)",6084,113952,3278,3666,-11.9
"HUMBOLDT PARK HEALTH (CHICAGO, IL)",5190,99076,3259,3162,3.0
"HENRY FORD WYANDOTTE HOSPITAL (WYANDOTTE, MI)",2324,35285,3259,3265,-0.2
"SAINT THOMAS WEST HOSPITAL (NASHVILLE, TN)",9228,166125,3252,3597,-10.6
"ASCENSION CASA SCALABRINI (NORTHLAKE, IL)",2385,5217,3250,3008,7.4
"WEST PENN ALLEGHENY HEALTH SYSTEM  INC. (PITTSBURGH, PA)",1653,30027,3249,3366,-3.6
"JOHN H STROGER JR HOSPITAL (ROBBINS, IL)",2659,51308,3249,3161,2.7
"RUSH UNIVERSITY MEDICAL CENTER (CHICAGO, IL)",5847,112425,3239,3159,2.5
"HCA HEALTH SERVICES OF TENNESSEE  INC (NASHVILLE, TN)",6982,92920,3239,3589,-10.8
"UPMC PRESBYTERIAN SHADYSIDE (WILKINSBURG, PA)",1894,36750,3237,3327,-2.8
"LEONARD FLORENCE CENTER FOR LIVING (CHELSEA, MA)",1068,2051,3229,3502,-8.4
"MT SINAI HOSPITAL MEDICAL CENTER (CHICAGO, IL)",6246,82157,3229,3150,2.5
"JEFFERSON REGIONAL MEDICAL CENTER (JEFFERSON HILLS, PA)",1513,31247,3228,3334,-3.3
"LEMUEL SHATTUCK HOSPITAL (JAMAICA PLAIN, MA)",6052,114530,3228,3595,-11.4
"INGALLS MEMORIAL HOSPITAL (HARVEY, IL)",2793,56043,3226,3121,3.3
"HTI MEMORIAL HOSPITAL CORPORATION (MADISON, TN)",3931,69174,3221,3554,-10.3
"METRO NASHVILLE GENERAL HOSPITAL (NASHVILLE, TN)",2368,31846,3220,3543,-10.0
"HTI MEMORIAL HOSPITAL CORPORATION (NASHVILLE, TN)",4388,52843,3217,3559,-10.6
"TRISTAR ASHLAND CITY MEDICAL CENTER (ASHLAND CITY, TN)",3135,35971,3213,3542,-10.3
"MADISON COMMUNITY HOSPITAL INC. (DETROIT, MI)",6479,128197,3207,3209,0.0
"PARK VIEW REHAB CENTER (CHICAGO, IL)",1465,2860,3206,3033,5.4
"LIFECARE 2.2  LLC (PITTSBURGH, PA)",1585,33837,3205,3309,-3.2
"AMEDISYS HOME HEALTH (WASHINGTON, DC)",1497,3509,3201,2589,19.1
"BERKELEY NURSING & REHAB CENTER (OAK PARK, IL)",1581,3309,3200,3080,3.7
"PIPELINE - WEISS MEMORIAL HOSPITAL  LLC (CHICAGO, IL)",3060,59934,3197,3119,2.4
"INSIGHT SURGICAL HOSPITAL (WARREN, MI)",2950,56805,3196,3212,-0.5
