Condition,Condition Code,Hospitals,Claims,Mean Cost per Claim,Median Cost per Claim,SD,CV,Robust CV (IQR/median),Min,Max,Max/Min,Variability Band,Outlier Driven
Injury of tendon of the rotator cuff of shoulder,307731004,112,7881,1410.40,1305.97,643.73,0.456,0.462,68,4841,70.9,2 Moderate,False
Acute bacterial sinusitis (disorder),75498004,349,79697,244.60,227.60,107.78,0.441,0.427,73,934,12.8,2 Moderate,False
Retinopathy due to type 2 diabetes mellitus (disorder),422034002,68,4168,418.20,352.30,181.5,0.434,0.323,246,1125,4.6,2 Moderate,False
Acute Cholecystitis,65275009,160,12630,854.39,778.50,357.63,0.419,0.523,311,2250,7.2,2 Moderate,False
Sinusitis (disorder),36971009,352,88877,249.67,244.58,103.09,0.413,0.479,67,651,9.8,2 Moderate,False
Metabolic syndrome X (disorder),237602007,720,73890,434.60,394.68,170.92,0.393,0.325,164,2487,15.2,2 Moderate,False
Sepsis (disorder),91302008,192,14024,11441.76,11058.63,4276.34,0.374,0.494,2428,32682,13.5,2 Moderate,False
Overlapping malignant neoplasm of colon,109838007,213,21020,7272.69,6495.58,2673.43,0.368,0.323,3840,18003,4.7,2 Moderate,False
Malignant tumor of colon,363406005,308,49163,5975.45,5583.74,2192.09,0.367,0.222,3269,18207,5.6,2 Moderate,False
Anemia (disorder),271737000,730,118040,860.66,849.73,313.04,0.364,0.631,374,1743,4.7,2 Moderate,False
Nonproliferative diabetic retinopathy due to type 2 diabetes mellitus (disorder),1551000119108,33,1805,387.12,335.39,138.85,0.359,0.457,236,815,3.5,2 Moderate,False
Suspected COVID-19,840544004,751,190949,576.19,553.67,202.25,0.351,0.311,163,3976,24.5,2 Moderate,False
Atrial fibrillation (disorder),49436004,149,9543,3353.64,3221.40,1166.91,0.348,0.446,1403,6991,5.0,2 Moderate,False
COVID-19,840539006,478,855496,1096.95,1080.10,376.81,0.344,0.344,111,2490,22.4,2 Moderate,False
Severe anxiety (panic) (finding),80583007,903,122045,485.92,460.80,164.86,0.339,0.437,213,1467,6.9,2 Moderate,False
Hypertriglyceridemia (disorder),302870006,191,12696,494.71,457.83,165.74,0.335,0.365,235,1367,5.8,2 Moderate,False
Acute infective cystitis (disorder),307426000,769,185700,2271.99,2395.74,758.97,0.334,0.273,241,4264,17.7,2 Moderate,False
Misuses drugs (finding),361055000,477,39492,491.18,465.73,155.99,0.318,0.358,230,1243,5.4,2 Moderate,False
Chronic kidney disease stage 1 (disorder),431855005,887,117632,431.71,404.83,128.22,0.297,0.307,225,1475,6.6,2 Moderate,False
Opioid abuse (disorder),5602001,31,1534,431.23,379.74,127.64,0.296,0.234,308,1024,3.3,2 Moderate,False
Unhealthy alcohol drinking behavior (finding),10939881000119105,913,116487,474.77,456.28,136.93,0.288,0.337,225,1163,5.2,2 Moderate,False
Neoplasm of prostate,126906006,53,9679,2960.30,2794.02,804.23,0.272,0.302,1260,5398,4.3,2 Moderate,False
Chronic kidney disease stage 3 (disorder),433144002,547,91959,380.83,363.22,102.4,0.269,0.284,193,1330,6.9,2 Moderate,False
Gout,90560007,57,3274,241.03,232.55,64.15,0.266,0.346,95,406,4.3,2 Moderate,False
Prediabetes (finding),714628002,265,22134,669.20,641.52,177.03,0.265,0.31,325,2077,6.4,2 Moderate,False
Osteoporosis (disorder),64859006,479,41721,2356.55,2311.00,615.51,0.261,0.341,940,4675,5.0,2 Moderate,False
Pyelonephritis,45816000,27,1327,2234.54,2078.30,559.3,0.25,0.253,1523,4205,2.8,2 Moderate,False
Chronic kidney disease stage 2 (disorder),431856006,757,109704,403.13,384.58,100.61,0.25,0.312,205,996,4.9,2 Moderate,False
Atopic dermatitis,24079001,88,5521,157.23,153.49,37.26,0.237,0.267,64,271,4.2,2 Moderate,False
Acute viral pharyngitis (disorder),195662009,432,367681,737.09,760.13,173.34,0.235,0.269,238,1137,4.8,2 Moderate,False
Fracture of mandible (disorder),263172003,99,5206,1850.29,1778.82,426.4,0.23,0.334,723,2992,4.1,2 Moderate,False
Osteoarthritis of knee,239873007,92,5958,237.12,240.11,52.12,0.22,0.291,117,365,3.1,2 Moderate,False
Perennial allergic rhinitis,446096008,34,2054,141.26,131.96,30.88,0.219,0.282,97,207,2.1,2 Moderate,False
Secondary malignant neoplasm of colon,94260004,77,4810,4659.71,4530.13,1007.41,0.216,0.33,2743,7484,2.7,2 Moderate,False
Body mass index 30+ - obesity (finding),162864005,932,112891,615.94,604.61,133.01,0.216,0.253,302,1232,4.1,2 Moderate,False
Prediabetes,15777000,517,65287,645.71,627.41,138.23,0.214,0.261,323,1595,4.9,2 Moderate,False
Streptococcal sore throat (disorder),43878008,388,166831,667.27,632.79,141.03,0.211,0.287,299,1249,4.2,2 Moderate,False
Fracture of bone (disorder),125605004,535,197836,2111.74,2040.92,444.83,0.211,0.264,1000,4176,4.2,2 Moderate,False
Seizure disorder,128613002,106,5836,5218.77,4884.39,1057.58,0.203,0.322,3157,7961,2.5,2 Moderate,False
Otitis media,65363002,388,278221,174.50,175.45,34.95,0.2,0.243,92,352,3.8,2 Moderate,False
Acute bronchitis (disorder),10509002,453,637437,960.33,948.59,186.85,0.195,0.248,174,1945,11.2,1 Low,False
Fetus with chromosomal abnormality,267253006,35,1750,1421.80,1345.48,276.0,0.194,0.255,1047,2075,2.0,1 Low,False
Childhood asthma,233678006,380,67591,172.03,175.45,33.26,0.193,0.209,104,293,2.8,1 Low,False
Tubal pregnancy,79586000,89,5464,3616.57,3557.22,693.95,0.192,0.296,2309,5308,2.3,1 Low,False
Burn injury (morphologic abnormality),48333001,390,60314,185.86,184.76,34.81,0.187,0.26,106,315,3.0,1 Low,False
Second degree burn,403191005,94,5761,74.09,71.43,13.87,0.187,0.064,60,178,3.0,1 Low,False
Injury of anterior cruciate ligament,444470001,45,2441,9242.17,8906.89,1643.98,0.178,0.231,6560,12687,1.9,1 Low,False
Primary fibromyalgia syndrome,95417003,91,5216,106.41,100.96,18.5,0.174,0.252,76,171,2.2,1 Low,False
Rupture of patellar tendon,30832001,53,2851,9299.03,9228.15,1563.9,0.168,0.226,7010,13380,1.9,1 Low,False
Perennial allergic rhinitis with seasonal variation,232353008,39,2306,139.16,133.73,23.38,0.168,0.159,105,225,2.1,1 Low,False
Impacted molars,196416002,347,55558,5846.60,5673.50,958.76,0.164,0.238,3865,9687,2.5,1 Low,False
Human immunodeficiency virus infection (disorder),86406008,238,27805,1887.33,1833.11,306.51,0.162,0.238,1178,2621,2.2,1 Low,False
Acute allergic reaction,241929008,188,12649,1286.03,1264.34,208.61,0.162,0.247,872,1929,2.2,1 Low,False
Blighted ovum,35999006,113,7557,1476.23,1433.61,237.34,0.161,0.224,1061,2435,2.3,1 Low,False
Complete miscarriage (disorder),156073000,198,19478,1485.57,1459.32,232.79,0.157,0.237,1010,2318,2.3,1 Low,False
Injury of medial collateral ligament of knee,444448004,74,4185,9338.39,9135.23,1448.45,0.155,0.237,6671,12698,1.9,1 Low,False
Concussion injury of brain (disorder),110030002,351,42991,121.48,118.71,18.57,0.153,0.046,72,170,2.4,1 Low,False
Resorption of alveolar process due to dental trauma (disorder),1255252008,50,3168,2000.83,1949.16,304.34,0.152,0.192,1544,2578,1.7,1 Low,False
Viral sinusitis (disorder),444814009,457,751866,144.06,144.08,21.49,0.149,0.178,92,276,3.0,1 Low,False
Torus palatinus (disorder),46752004,95,6264,2241.31,2225.49,328.33,0.146,0.294,1695,2835,1.7,1 Low,False
Child attention deficit disorder,192127007,312,80045,9713.59,9586.07,1403.82,0.145,0.206,7171,13222,1.8,1 Low,False
Polyp of colon,68496003,327,63722,20920.44,20653.51,3012.79,0.144,0.188,13893,29423,2.1,1 Low,False
Aortic valve stenosis (disorder),60573004,22,20902,2361.49,2228.11,336.72,0.143,0.091,2041,3238,1.6,1 Low,False
Injury of neck (disorder),90460009,372,51649,171.65,173.41,24.35,0.142,0.197,114,242,2.1,1 Low,False
Primary small cell malignant neoplasm of lung  TNM stage 1 (disorder),67811000119102,194,135543,5907.47,5818.70,826.46,0.14,0.207,4153,7685,1.9,1 Low,False
Laceration - injury (disorder),312608009,520,171954,4966.15,4887.88,683.89,0.138,0.175,3466,7468,2.2,1 Low,False
Sprain (morphologic abnormality),384709000,526,173456,171.23,172.32,23.52,0.137,0.178,116,237,2.0,1 Low,False
Non-small cell carcinoma of lung  TNM stage 1 (disorder),424132000,352,609772,5808.82,5760.23,793.59,0.137,0.202,3882,7544,1.9,1 Low,False
Leaking dental filling (finding),278598003,322,52652,2798.73,2750.06,381.44,0.136,0.19,2219,3986,1.8,1 Low,False
Localized  primary osteoarthritis of the hand,201834006,24,1293,208.67,196.69,28.12,0.135,0.171,179,283,1.6,1 Low,False
Infection of tooth (disorder),427898007,363,90482,4019.84,3947.62,540.38,0.134,0.202,3127,5526,1.8,1 Low,False
Allergy to substance (finding),419199007,420,842739,10740.04,10584.16,1443.6,0.134,0.209,7798,14514,1.9,1 Low,False
Loose dental filling (finding),278602001,315,52582,2793.94,2767.43,371.39,0.133,0.171,2077,3719,1.8,1 Low,False
Gingival disease (disorder),18718003,424,253589,3908.79,3835.69,516.55,0.132,0.227,3009,5053,1.7,1 Low,False
Fractured dental filling (finding),278588009,318,52292,2793.41,2765.49,366.31,0.131,0.171,1752,3770,2.2,1 Low,False
Dental filling lost (finding),278558000,316,52464,2795.40,2774.16,365.48,0.131,0.166,2159,3711,1.7,1 Low,False
Primary dental caries (disorder),109570002,430,280602,2829.63,2775.85,369.35,0.131,0.212,2236,3760,1.7,1 Low,False
Drug overdose,55680006,472,132326,121.96,118.71,15.73,0.129,0.049,103,173,1.7,1 Low,False
Sleep disorder (disorder),39898005,205,19992,993.14,981.98,127.79,0.129,0.165,769,1253,1.6,1 Low,False
Dependent drug abuse (disorder),6525002,475,1423912,475.47,465.56,61.15,0.129,0.226,377,593,1.6,1 Low,False
Loss of teeth (disorder),37320007,415,210466,1041.03,1024.42,133.78,0.129,0.231,816,1293,1.6,1 Low,False
Injury of knee (disorder),125601008,260,22520,418.48,421.05,53.55,0.128,0.203,329,547,1.7,1 Low,False
Alveolitis of jaw (disorder),61804006,212,20919,2603.12,2599.80,331.76,0.127,0.148,1983,3186,1.6,1 Low,False
Kidney transplant failure and rejection (disorder),213150003,39,2064,495.38,452.64,62.57,0.126,0.238,422,628,1.5,1 Low,False
Chronic intractable migraine without aura,124171000119105,347,54853,65.26,63.68,8.15,0.125,0.061,56,94,1.7,1 Low,False
Cerebral palsy (disorder),128188000,131,9659,568.71,568.04,68.97,0.121,0.18,450,698,1.5,1 Low,False
Asthma,195967001,560,122443,122.24,118.91,14.6,0.119,0.067,99,170,1.7,1 Low,False
Closed fracture of hip,359817006,45,2806,73.02,71.63,8.53,0.117,0.036,60,113,1.9,1 Low,False
Fracture of ankle,16114001,155,13125,71.68,71.43,7.38,0.103,0.047,55,109,2.0,1 Low,False
Fracture of forearm,65966004,192,18050,71.38,71.43,7.12,0.1,0.047,60,120,2.0,1 Low,False
Concussion with no loss of consciousness,62106007,253,31976,71.61,71.74,7.08,0.099,0.046,60,127,2.1,1 Low,False
Fracture of rib,33737001,79,4854,72.03,71.43,6.81,0.095,0.037,60,101,1.7,1 Low,False
Fracture subluxation of wrist,263102004,153,12669,71.22,71.43,6.61,0.093,0.047,60,88,1.5,1 Low,False
Epidermal burn of skin (disorder),403190006,136,10217,71.37,71.43,6.52,0.091,0.04,60,88,1.5,1 Low,False
Fracture of clavicle,58150001,176,14901,70.65,71.43,6.29,0.089,0.047,60,86,1.4,1 Low,False
Concussion with loss of consciousness,62564004,90,5855,72.71,71.95,5.94,0.082,0.033,60,95,1.6,1 Low,False
Posttraumatic stress disorder,47505003,42,8535,78.91,78.80,3.17,0.04,0.056,72,86,1.2,1 Low,False
